@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z5.0-no-replacement

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
86,44,77,155,60,7,152,44,19,141,174,345,161,72,9,0,187,192,opel
96,48,83,177,59,8,171,39,21,152,195,438,196,67,15,0,195,201,opel
101,52,105,162,53,10,212,31,24,163,226,669,204,74,12,11,186,194,opel
100,45,100,209,65,8,201,32,23,147,231,611,189,72,5,5,189,195,opel
80,39,60,122,56,6,139,49,18,131,151,281,142,80,0,5,179,186,opel
89,42,75,140,55,6,145,46,19,139,170,312,166,71,15,26,191,198,opel
91,35,66,159,59,7,147,45,19,131,169,322,123,64,1,1,197,203,opel
86,36,66,128,57,8,131,52,18,127,148,252,139,76,5,27,183,187,opel
86,39,84,149,57,8,156,43,20,133,185,358,157,74,0,23,183,190,opel
104,52,101,206,62,10,198,33,23,161,207,587,204,64,2,5,195,204,opel
85,38,75,132,54,7,147,46,19,131,171,318,145,75,7,25,183,188,saab
102,48,105,214,64,10,201,33,23,152,214,600,178,64,0,25,192,204,saab
92,37,86,167,60,7,158,42,20,131,181,373,144,68,9,21,190,196,saab
91,39,83,170,60,8,172,38,21,134,197,445,152,72,0,10,188,194,saab
108,49,109,204,61,11,212,31,24,159,229,665,215,71,16,11,190,199,saab
100,47,88,190,60,10,171,38,21,155,186,440,169,59,15,18,201,210,saab
106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab
111,50,103,199,60,11,211,31,24,156,223,663,188,68,9,9,190,200,saab
93,34,72,144,56,6,133,50,18,123,158,263,125,63,5,20,200,206,saab
103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191,199,saab
79,47,74,141,61,7,153,43,19,149,175,349,199,77,6,10,183,189,bus
80,43,71,133,60,7,150,45,19,146,170,330,176,81,6,15,180,184,bus
86,44,70,140,64,6,148,45,19,145,170,322,185,82,10,1,181,183,bus
88,44,70,151,61,8,143,46,18,143,163,311,173,68,7,8,196,203,bus
94,37,73,186,71,7,154,42,19,127,171,362,132,67,2,8,197,206,bus
105,50,93,173,54,4,222,30,25,159,254,735,206,83,4,12,186,184,bus
108,56,102,246,75,6,239,28,26,167,264,855,228,82,9,13,186,185,bus
99,51,92,203,65,5,209,31,24,159,232,671,214,78,5,11,191,189,bus
93,49,79,180,65,7,173,37,21,158,189,463,194,70,5,10,197,202,bus
98,46,77,199,71,7,166,39,20,150,184,422,180,69,13,9,200,203,bus
96,39,77,160,62,8,140,47,18,150,161,294,124,62,15,3,201,208,van
88,44,84,135,55,12,155,44,20,158,176,351,164,75,7,11,183,195,van
97,45,91,161,63,10,151,45,19,148,166,334,171,65,18,20,197,205,van
92,40,62,144,59,8,127,52,17,139,149,241,150,62,13,1,204,210,van
89,42,89,147,61,11,151,44,19,145,170,338,163,72,11,23,187,199,van
86,39,58,125,55,5,117,57,17,134,140,204,148,69,7,6,190,194,van
97,35,66,151,64,8,128,52,18,129,148,246,112,66,6,2,195,200,van
86,44,78,164,68,9,142,46,18,147,168,305,171,70,1,11,190,201,van
83,37,49,112,55,5,122,55,17,128,144,219,146,85,8,16,180,184,van
