@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-V

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
103,54,107,189,56,11,223,30,25,174,225,729,200,70,0,29,187,201,opel
101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel
93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel
101,48,107,222,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel
87,38,85,177,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel
94,46,79,181,62,8,167,40,20,148,190,418,193,67,12,15,191,198,opel
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel
100,51,109,224,67,9,217,30,24,162,238,704,206,72,6,18,189,199,opel
88,38,77,156,56,7,163,41,20,129,184,395,140,67,1,9,192,198,opel
77,38,63,135,59,5,130,52,18,130,145,247,139,79,13,21,183,187,opel
93,43,78,166,59,7,151,44,19,141,182,342,174,68,15,2,193,197,opel
106,53,98,203,63,11,220,30,25,167,228,710,214,71,10,24,188,197,opel
96,55,98,161,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel
106,53,98,192,58,11,217,31,24,166,228,693,191,71,11,24,188,198,opel
104,57,103,222,72,12,221,30,25,177,223,718,218,72,11,12,186,195,opel
73,37,53,111,54,6,126,55,18,128,135,227,147,82,1,15,176,184,opel
89,38,78,153,61,7,146,46,19,127,166,314,142,69,0,9,187,194,opel
102,43,96,197,63,10,185,36,22,142,202,513,139,65,8,12,195,204,opel
106,55,98,224,68,11,215,31,24,170,222,679,214,68,2,29,189,201,opel
90,41,78,145,55,7,138,48,18,138,161,284,158,67,0,1,192,197,opel
97,37,76,169,60,8,161,41,20,131,189,391,136,72,0,0,188,192,opel
95,46,105,219,68,9,201,33,23,148,223,602,201,69,5,38,191,202,opel
99,46,105,209,64,11,197,34,23,152,212,575,159,65,0,33,194,205,opel
105,52,107,207,60,11,218,31,24,167,221,701,197,66,0,20,191,203,opel
100,51,109,231,70,11,220,30,25,163,238,722,206,73,11,19,189,198,opel
82,40,73,141,57,8,153,44,19,133,173,342,153,75,11,9,181,187,opel
104,56,96,231,74,11,220,30,25,172,223,713,218,73,6,16,186,195,opel
102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187,195,opel
97,37,78,181,62,8,161,41,20,131,182,389,117,62,2,28,203,211,opel
101,56,100,204,62,12,227,30,25,178,231,757,204,73,0,11,186,197,opel
104,55,105,223,70,10,223,30,25,177,237,737,218,75,14,11,188,196,opel
87,44,98,211,70,10,189,35,22,141,214,535,178,71,2,21,187,194,opel
85,36,78,149,55,7,147,45,19,128,168,321,134,64,10,24,197,203,opel
85,36,72,127,56,7,127,54,18,125,144,233,123,70,3,30,184,194,opel
82,38,53,125,59,5,133,51,18,128,152,259,146,87,0,0,177,183,opel
90,40,83,178,61,8,178,37,21,132,199,472,157,71,1,14,187,193,opel
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel
103,54,91,179,57,11,220,31,25,170,220,707,198,72,1,32,186,198,opel
108,51,103,197,60,11,211,31,24,160,222,661,187,67,7,3,190,200,opel
84,39,90,180,60,7,177,37,21,131,209,469,145,71,4,38,190,198,opel
106,55,96,196,60,12,221,30,25,173,225,717,214,72,9,13,186,196,opel
104,55,105,216,68,11,205,32,23,169,221,623,216,71,9,18,189,196,opel
86,40,75,146,62,6,140,48,18,135,158,290,162,72,3,21,183,190,opel
103,41,83,194,63,9,175,38,21,142,199,455,138,65,7,30,197,206,opel
97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199,203,opel
92,42,69,153,58,8,140,48,18,138,165,290,151,64,10,21,199,206,opel
97,55,96,170,54,10,216,31,24,173,219,685,218,75,0,4,184,193,opel
92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191,198,opel
80,38,64,130,59,8,134,51,18,126,152,259,135,76,1,23,179,188,opel
98,48,101,195,61,11,207,31,23,152,227,650,193,71,5,7,189,196,opel
89,36,72,141,56,7,138,48,18,126,163,286,130,72,1,1,187,192,opel
102,52,98,225,71,10,214,31,24,164,228,682,199,71,0,16,187,196,opel
99,52,104,177,55,10,210,32,24,166,219,657,215,73,3,2,187,194,opel
100,57,107,207,63,11,227,30,25,180,234,756,205,72,6,19,186,198,opel
100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188,197,opel
87,49,86,190,64,9,177,37,21,153,197,471,209,67,11,7,192,199,opel
95,43,96,202,65,10,189,35,22,143,217,534,166,71,6,27,190,197,opel
103,55,103,211,65,11,212,31,24,165,229,673,249,72,5,16,188,196,opel
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,opel
102,52,101,213,64,10,203,33,23,157,214,616,186,65,0,19,193,203,opel
103,48,101,204,62,12,200,33,23,158,215,595,164,66,8,22,192,202,opel
103,56,100,185,59,11,216,31,24,173,219,684,219,75,15,11,186,194,opel
88,40,79,183,62,7,176,38,21,138,200,462,150,66,0,29,189,199,opel
89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187,193,opel
87,37,60,132,57,6,128,52,18,129,154,243,132,71,1,14,186,192,saab
106,53,98,193,60,10,215,31,24,169,224,681,218,73,8,21,188,197,saab
93,45,81,177,64,7,160,41,20,147,180,383,188,70,11,11,192,199,saab
104,54,100,186,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab
109,54,103,220,66,11,214,31,24,167,229,677,212,70,1,23,188,201,saab
95,45,105,208,64,10,187,36,22,150,202,520,158,64,7,32,198,211,saab
113,48,98,208,62,9,203,33,23,151,216,613,183,64,17,29,193,204,saab
104,54,101,197,64,11,213,31,24,172,218,669,222,74,14,4,187,196,saab
93,39,87,183,64,8,169,40,20,134,200,422,149,72,7,25,188,195,saab
106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab
106,48,107,202,61,10,207,32,24,153,227,635,200,70,5,28,190,203,saab
96,50,94,215,67,9,187,35,22,158,214,525,214,67,8,6,193,201,saab
91,45,79,176,59,9,163,40,20,148,184,404,179,62,0,10,199,208,saab
78,38,63,115,51,6,142,47,19,130,162,299,146,77,2,4,181,185,saab
92,38,71,174,66,7,154,43,19,133,181,355,130,70,4,24,189,195,saab
86,38,86,175,60,9,170,39,21,134,191,433,138,68,1,28,191,199,saab
91,39,83,170,60,8,172,38,21,134,197,445,152,72,0,10,188,194,saab
86,36,78,146,58,7,135,50,18,124,155,270,148,66,0,25,190,195,saab
108,51,100,206,63,10,196,34,23,159,214,576,201,65,7,16,194,205,saab
93,39,63,146,58,7,128,52,18,134,149,246,158,63,9,7,198,204,saab
101,48,85,191,60,11,175,38,21,153,192,458,187,62,5,22,197,210,saab
89,38,80,169,59,7,161,41,20,131,186,389,137,68,5,15,192,197,saab
84,38,83,141,54,7,149,45,19,132,177,327,149,74,6,29,185,191,saab
89,37,54,119,53,5,134,50,18,127,151,266,146,79,16,14,184,185,saab
104,53,101,199,65,11,213,31,24,168,216,667,221,72,12,12,187,198,saab
100,46,104,184,60,9,197,34,23,147,222,578,198,73,13,13,189,197,saab
108,53,104,181,56,11,220,31,25,167,226,712,214,72,15,18,189,199,saab
101,52,101,197,62,9,188,35,22,162,208,527,203,67,14,15,193,202,saab
104,53,108,204,64,11,220,31,25,172,226,707,203,71,14,30,189,203,saab
102,55,101,213,67,12,222,30,25,177,226,719,213,71,2,21,187,199,saab
90,36,85,184,64,6,160,41,20,125,187,385,139,66,9,31,195,203,saab
96,40,100,178,58,8,181,37,21,134,205,486,160,68,5,34,192,202,saab
106,49,106,211,64,9,208,32,24,158,224,645,184,68,1,24,190,202,saab
89,35,52,121,57,4,122,55,17,125,139,220,128,82,5,13,181,184,saab
98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197,205,saab
104,55,100,201,66,10,214,31,24,173,224,680,221,74,1,1,185,194,saab
97,41,88,184,59,9,175,38,21,140,192,459,147,63,1,5,196,205,saab
115,52,100,203,62,10,217,31,24,165,229,697,214,72,14,4,188,197,saab
92,37,80,180,67,8,154,43,19,129,180,353,144,69,6,9,190,195,saab
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,saab
100,54,102,206,65,10,198,33,23,164,224,587,240,72,4,11,187,196,saab
105,54,108,234,70,12,215,31,24,168,226,687,228,68,4,22,189,201,saab
94,38,88,179,60,7,170,39,21,131,188,435,144,66,2,28,195,204,saab
90,39,89,181,62,8,175,38,21,132,200,458,154,70,11,15,189,195,saab
97,55,104,219,71,9,211,32,24,171,222,658,223,74,1,24,186,196,saab
109,53,103,210,63,11,219,30,25,172,229,707,212,71,6,3,188,199,saab
79,38,55,120,55,5,142,48,19,128,153,295,145,81,4,2,180,183,saab
107,53,108,211,63,11,219,31,25,168,228,704,198,69,10,21,190,203,saab
107,53,108,213,64,12,206,32,23,163,216,627,202,65,21,22,194,205,saab
107,51,103,182,56,11,213,31,24,162,226,673,217,72,2,4,188,198,saab
104,51,108,193,59,11,217,31,24,163,232,694,203,72,15,22,190,201,saab
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,saab
101,55,108,228,69,12,215,31,24,168,229,684,214,71,2,16,188,199,saab
92,46,83,154,56,6,160,41,20,148,185,382,184,71,10,5,186,191,saab
85,34,53,127,58,6,116,58,17,121,137,197,127,70,3,20,185,189,saab
