@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
109,49,103,186,57,11,206,32,23,156,212,630,186,65,12,21,192,201,opel
78,36,51,116,56,4,120,57,17,124,135,209,135,84,1,12,177,184,opel
103,49,107,179,54,12,208,32,24,159,214,644,183,66,1,12,191,200,opel
92,39,91,191,62,8,176,37,21,137,196,466,151,67,3,23,192,200,opel
105,54,96,185,57,10,219,30,25,170,231,706,217,75,5,12,187,195,opel
83,39,69,127,54,5,135,49,18,131,155,274,162,69,16,6,187,190,opel
100,44,93,193,62,8,186,35,22,147,202,521,151,66,0,2,193,198,opel
88,44,77,167,59,6,151,44,19,145,175,343,177,64,9,12,202,208,opel
99,57,109,220,66,11,221,30,25,176,234,725,236,70,10,25,188,200,opel
101,53,108,184,54,12,216,31,24,172,220,685,187,68,4,24,190,201,opel
85,38,72,130,53,9,134,51,18,132,145,261,123,65,1,24,188,198,opel
96,54,104,175,58,10,215,31,24,175,221,682,222,75,13,23,186,194,opel
103,55,100,194,62,11,212,31,24,175,217,666,219,73,10,14,187,194,opel
93,45,73,164,59,7,159,42,20,146,182,379,188,65,11,15,195,201,opel
