@relation vehicle_EM

@attribute CLUSTER1DIST numeric
@attribute CLUSTER2DIST numeric
@attribute CLUSTER3DIST numeric
@attribute CLUSTER4DIST numeric
@attribute Class {van,saab,bus,opel}

@data
88.200797,118.20262,46.672668,315.016232,van
31.465763,54.999928,101.850362,373.309404,van
350.784691,378.482918,231.689234,50.669752,saab
27.530369,63.490582,127.090087,399.133288,van
132.497291,146.657399,139.456373,375.852096,bus
679.534667,702.680111,562.65453,290.454007,bus
63.012975,97.678752,65.288423,337.481465,bus
36.699118,42.101231,147.340189,421.66077,van
103.663474,91.99606,222.073807,495.005384,van
208.619293,241.518281,94.489909,193.14986,saab
54.752902,50.664967,173.016038,446.294325,van
101.394528,87.001075,219.582908,492.348006,saab
64.244328,89.61218,76.403731,346.284573,bus
43.979107,68.773001,86.116957,357.148336,van
179.05547,208.914339,65.586857,225.529516,bus
346.308657,372.022992,228.072681,69.893048,opel
128.100647,97.218102,244.593884,515.382191,van
187.347954,220.076812,75.161765,215.017897,bus
398.685935,424.25299,280.684513,21.225583,saab
368.499653,395.962172,249.208626,38.901501,opel
61.904645,81.709022,76.314,345.028079,bus
109.273452,78.404892,225.249602,496.853965,van
51.679137,84.263949,84.28197,355.786761,bus
16.979848,41.692746,127.340048,400.523237,bus
341.601598,370.221593,222.48672,65.523675,saab
34.436057,57.158839,103.256255,375.948131,van
94.028245,60.505752,208.32795,479.057044,saab
409.820047,436.875798,291.272012,22.216291,saab
273.724417,302.888933,157.347972,128.337083,bus
43.220077,32.33582,127.01662,394.889857,saab
58.518939,85.954908,69.527993,341.917229,van
23.135653,41.807964,136.084853,410.149923,saab
33.508578,58.977847,137.202213,408.172543,opel
357.988363,387.548864,239.187237,54.606084,opel
103.236986,139.844108,53.331729,304.095639,opel
72.595806,103.158881,64.124717,332.841404,van
65.302489,62.334896,106.792131,366.665381,bus
216.341823,242.676081,191.36302,371.66155,van
403.824091,428.885431,286.419771,32.153512,saab
55.494577,75.630359,92.109553,362.104956,bus
341.366223,369.866088,222.240775,60.243086,opel
130.333362,97.805737,245.699901,515.627436,van
80.319227,95.916918,74.203014,333.16385,van
105.140227,140.376074,40.382099,297.346772,saab
394.979641,423.12529,276.375276,39.021255,saab
82.865772,100.825387,65.708549,326.640572,van
65.483861,41.600027,180.635449,453.690696,van
54.447874,38.719843,124.568024,389.39945,bus
67.36037,83.728433,81.472896,346.491841,van
106.084325,138.623288,26.643347,291.653204,saab
52.897669,26.096534,148.771535,415.207686,saab
