@relation vehicle_EM-weka.filters.unsupervised.instance.Resample-S1-Z40.0-no-replacement

@attribute CLUSTER1DIST numeric
@attribute CLUSTER2DIST numeric
@attribute CLUSTER3DIST numeric
@attribute CLUSTER4DIST numeric
@attribute Class {van,saab,bus,opel}

@data
63.811186,75.238028,94.302263,360.173641,bus
55.209452,88.186808,74.186574,346.754506,van
69.340046,109.048393,77.018486,342.833056,bus
414.722202,440.459214,298.121288,44.085727,opel
34.899149,51.493591,121.493428,394.565145,van
64.540394,57.266336,180.613847,453.000204,van
251.504314,283.064576,134.326272,150.754554,saab
377.882833,402.429348,261.698657,44.285722,opel
55.469294,42.67381,120.88035,384.731533,bus
52.127348,82.144244,82.278558,355.874033,bus
424.805577,450.006252,307.340696,41.842528,opel
129.729526,104.699568,248.254254,521.287773,saab
24.267959,67.227425,116.379079,390.017123,van
302.296671,328.543559,184.84255,95.809078,bus
284.118404,312.618965,165.240196,114.684987,opel
85.167842,69.201707,202.129007,473.943475,van
102.822869,72.1079,218.480356,489.484392,saab
202.635348,233.877875,84.916506,195.900056,opel
74.897078,34.7557,183.146322,452.015479,van
72.595806,103.158881,64.124717,332.841404,van
51.815853,37.640195,122.878368,388.179516,bus
69.565357,104.808305,67.010021,337.061647,bus
52.655893,88.367172,71.716381,345.067862,van
36.699118,42.101231,147.340189,421.66077,van
62.968049,52.612442,117.44806,377.465174,bus
374.761792,403.992628,255.724881,33.997517,saab
111.586006,79.604456,227.926996,499.301629,van
151.565523,121.587859,268.075688,539.286003,saab
427.842287,456.195114,309.059175,41.258754,saab
52.897669,26.096534,148.771535,415.207686,saab
54.702337,93.463764,76.215674,348.664441,saab
130.333362,97.805737,245.699901,515.627436,van
66.593335,79.226654,83.297117,346.46496,van
348.515594,375.940253,230.383724,53.27908,saab
94.028245,60.505752,208.32795,479.057044,saab
42.561746,38.598514,121.714084,389.872302,saab
59.464035,64.097859,175.114751,447.804233,van
215.514565,246.823952,98.779998,182.647139,saab
109.273452,78.404892,225.249602,496.853965,van
427.038129,455.718577,308.329743,43.278442,saab
162.993736,194.635066,55.306225,238.288187,opel
262.694006,291.867691,143.779699,135.684734,saab
35.24698,57.319086,128.986822,401.217562,van
57.277828,24.186572,164.441034,433.583745,opel
72.091711,61.103184,188.188233,461.723865,van
399.874551,425.951833,282.29395,27.785424,saab
27.530369,63.490582,127.090087,399.133288,van
739.520016,763.299735,622.479663,349.055379,bus
59.358742,63.421883,175.478979,448.123264,van
110.471706,144.269497,22.687546,288.050092,opel
23.77455,60.552949,111.857176,385.493083,van
42.259669,59.045908,103.595477,374.320559,van
378.6903,404.891783,260.373255,24.869378,opel
449.316334,473.962722,332.736016,69.667626,opel
24.649504,65.979675,113.694642,386.548227,van
134.385199,168.291649,42.018386,267.739312,saab
96.665334,69.552156,213.533557,487.075849,van
79.08591,74.675828,194.380685,465.677473,opel
51.182439,50.222484,112.573785,379.958523,bus
261.176771,292.000453,145.052302,139.837381,opel
96.504573,130.455605,34.430799,304.246974,saab
61.130106,33.11674,173.70673,445.818628,saab
50.294801,81.511315,85.450337,354.792598,saab
40.69929,56.753441,98.837748,370.750151,bus
54.822045,20.663157,154.743414,423.859403,van
103.663474,91.99606,222.073807,495.005384,van
128.753456,164.467304,45.740002,277.737855,bus
166.676139,197.209047,54.977229,237.633598,saab
206.92285,236.95097,89.84065,190.231808,opel
35.66862,62.280688,112.689045,385.479109,van
52.462152,94.50851,96.718875,365.500984,bus
392.742529,421.843898,273.788628,32.8652,saab
347.043497,375.56461,228.574015,52.982121,saab
60.649623,49.835333,118.801796,381.354742,bus
28.771104,40.280579,115.892215,387.541747,opel
54.371702,23.774429,164.457234,434.782908,saab
48.587305,44.386508,117.153145,385.064565,bus
79.115835,52.713494,194.877761,467.969806,van
51.328252,51.039989,106.590008,372.518482,bus
447.487444,475.925634,328.616562,59.082911,opel
552.600834,575.68695,436.875321,170.492993,bus
379.495432,407.116387,260.759322,22.932496,saab
390.188498,416.455697,271.766919,19.862678,opel
89.583494,49.261501,198.898618,467.741904,van
227.804902,258.031328,110.232991,170.362111,bus
59.940899,56.220675,174.538226,446.49955,opel
55.557281,49.89792,173.409196,447.385898,van
130.38377,167.112,46.747814,275.087257,saab
135.261315,166.424485,28.963991,265.138308,saab
114.758404,151.074438,49.246831,293.056559,bus
130.339865,164.004979,28.415551,269.84315,bus
39.124369,68.446922,98.724246,368.991472,saab
180.962716,215.32831,74.865563,224.354292,saab
35.875962,57.177648,117.95914,391.428885,van
468.979615,497.337729,350.201918,80.218639,opel
90.718119,119.221156,45.198944,310.294738,van
110.173198,148.913298,61.474859,306.102176,bus
82.932543,112.461972,54.051492,322.115331,bus
63.012975,97.678752,65.288423,337.481465,bus
43.180887,54.669672,101.125965,371.72297,bus
87.122661,110.344395,49.658934,314.481462,saab
461.682574,488.367659,343.471317,71.823155,opel
152.204923,187.621846,45.276934,251.689563,bus
53.316133,93.227468,94.984956,360.866289,saab
59.480567,46.743154,174.110878,447.390389,van
56.405734,64.812991,93.614021,360.515989,bus
40.901763,78.563011,107.695962,376.361226,saab
44.62323,39.124438,159.408271,432.109312,van
75.988548,93.779525,71.709123,334.176825,van
78.646745,105.368825,56.407561,324.413822,van
39.349819,55.763356,148.548985,422.236349,van
168.190495,196.083417,52.924572,230.237921,saab
609.815915,632.756976,493.535811,223.508036,bus
125.021655,158.08382,32.343203,276.326335,saab
651.890267,676.193578,534.015778,259.930557,bus
97.88875,119.893105,48.320931,307.050663,opel
27.241597,65.466519,97.08639,371.505627,van
71.618142,41.913521,185.787823,457.610377,van
40.016052,55.233805,101.883942,371.104408,opel
77.61408,93.019524,74.114128,334.558598,van
225.115935,255.951385,107.943588,173.007345,saab
31.609338,35.029112,123.199711,393.398034,saab
75.450053,92.99448,71.548583,333.99391,van
16.865362,52.822717,108.941008,383.123363,bus
45.209862,42.731025,118.043512,386.266526,saab
325.018585,353.698108,206.130855,74.586332,saab
29.723432,40.85081,120.69531,393.433371,saab
535.610243,560.284248,418.331341,145.342937,bus
118.54506,91.366865,236.580994,509.687023,van
416.349764,444.763225,297.99288,30.790206,saab
132.969186,106.126613,250.794966,523.181809,saab
58.675121,88.419093,65.366205,338.524213,bus
56.759748,52.904,173.607357,447.272573,opel
58.897144,58.762594,105.514981,369.299184,bus
29.482629,52.577855,114.208986,388.207202,bus
85.275708,60.948108,202.417945,474.677332,opel
124.725184,157.824496,38.24542,276.701844,saab
35.880887,71.582515,107.53174,378.35928,van
82.865772,100.825387,65.708549,326.640572,van
46.246576,87.194864,80.915224,354.22144,van
93.235125,131.710534,54.197105,312.911498,bus
348.629119,376.086882,229.801364,49.15312,saab
361.079794,389.053412,242.087829,57.2704,saab
73.484292,82.406608,88.832478,347.94911,van
358.290136,385.878264,240.244276,42.014526,opel
588.423915,611.718269,471.666991,200.83567,bus
131.502872,97.898212,246.908753,517.531125,van
91.007258,126.519536,56.699511,313.758598,opel
24.273809,55.10265,101.743385,375.63601,bus
435.878489,461.298744,319.623596,59.54334,opel
66.743933,59.766844,113.088321,372.75602,bus
230.260345,260.263107,111.730698,169.605089,bus
31.465763,54.999928,101.850362,373.309404,van
189.606928,220.271272,78.428928,211.923747,saab
284.592616,314.057138,165.498292,114.831037,opel
335.957021,363.906718,218.998178,64.922962,opel
360.593575,386.390017,242.816928,42.981407,opel
58.518939,85.954908,69.527993,341.917229,van
46.000481,47.433333,110.085823,376.898086,opel
437.728042,462.760271,320.824998,58.456929,opel
69.046082,107.237555,78.787626,341.911028,saab
309.498899,340.597288,192.790941,98.977368,opel
51.802307,42.670459,167.0182,441.280249,van
88.200797,118.20262,46.672668,315.016232,van
123.662044,91.45267,239.569519,510.740304,opel
28.77654,49.988123,120.38612,394.533906,bus
