@relation vehicle_KMeans-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute CLUSTER1DIST numeric
@attribute CLUSTER2DIST numeric
@attribute CLUSTER3DIST numeric
@attribute CLUSTER4DIST numeric
@attribute Class {van,saab,bus,opel}

@data
38.447588,108.126797,59.821528,388.273428,bus
51.188628,88.548395,45.980444,371.169679,saab
73.246136,199.153811,103.734238,486.979153,van
44.530882,97.410568,51.205066,382.340536,bus
166.173716,48.004972,135.358864,260.747826,saab
50.522645,131.434867,31.998031,417.494651,van
42.916995,96.518607,39.545331,381.688825,saab
404.032687,273.265178,377.00294,24.655142,saab
443.833554,312.756326,415.834613,29.550049,saab
413.543953,284.731021,385.38725,36.729936,opel
83.295686,59.502521,62.970508,345.571231,van
307.981482,177.688986,280.544013,115.047632,saab
368.455634,238.273181,341.933958,55.128216,bus
87.287555,77.153547,46.450834,355.709902,saab
40.157963,141.662283,47.82343,425.388577,saab
208.011241,85.426237,175.998271,223.061808,bus
58.065596,97.180645,71.505305,371.805482,bus
79.464602,69.447325,71.308373,345.969628,van
99.532024,41.760074,74.714454,328.109022,saab
139.5961,41.593747,105.871619,291.940555,opel
53.681556,100.019705,64.090419,375.047449,opel
54.956068,153.832504,50.121329,439.031981,van
257.95626,128.223798,223.304161,180.374426,bus
483.905181,353.070872,455.917858,66.347027,opel
40.049245,112.363166,42.944693,399.202351,saab
42.711739,156.219333,57.562853,443.303428,saab
261.710852,129.846132,234.423992,162.300251,opel
25.859946,122.441815,36.057319,407.714879,saab
65.34633,86.971921,66.868147,368.553223,bus
408.268629,278.742251,380.513913,31.390031,saab
92.656488,222.825284,121.652779,509.48138,van
380.656372,248.265506,350.434511,58.826861,opel
60.455117,168.792334,63.956775,454.414282,saab
44.425146,176.602929,84.768918,460.776224,opel
189.343681,58.487701,162.182926,235.047763,bus
134.707197,26.14589,102.053049,296.460521,bus
409.396275,280.867147,382.99818,28.664065,bus
96.536617,227.93554,127.403772,514.063691,van
81.710023,67.911467,72.150378,348.757314,van
56.816723,175.692896,80.715048,464.451142,van
36.4157,166.039445,77.073426,451.341557,van
89.07561,48.953253,65.19049,336.570284,opel
43.544075,145.651771,43.329651,431.652777,van
70.549013,99.955546,28.267406,381.231375,saab
234.39496,104.663959,199.813053,198.4699,saab
320.171719,190.08601,295.032382,109.173359,saab
59.63204,86.332162,35.706403,373.314051,opel
428.497306,298.088085,399.832691,26.734024,opel
92.589414,219.297833,117.694065,505.70694,saab
390.022009,258.493657,362.511062,40.062516,opel
43.153392,171.984775,81.509757,458.370485,van
115.566346,34.84,87.288116,309.399617,saab
64.533447,179.423203,74.272773,465.879885,van
49.641052,181.154329,91.388787,466.111938,van
81.465275,203.234314,102.211956,491.29691,van
250.517905,117.589647,220.901689,177.50409,bus
108.861328,240.572684,141.617975,526.766725,van
30.644008,161.414776,73.790645,447.388602,opel
68.665457,70.866819,60.020635,354.780818,bus
179.333423,62.519845,145.680763,252.193867,bus
91.711798,225.233601,129.441409,510.138538,van
43.374859,99.381619,56.530385,380.852738,bus
331.866358,198.943604,303.331464,103.973228,opel
154.023447,45.578664,119.098612,279.060405,opel
153.02613,55.581245,113.627108,291.395236,bus
305.047195,175.912668,274.586348,126.705903,bus
