CLUSTER1DIST,CLUSTER2DIST,CLUSTER3DIST,CLUSTER4DIST,Class
88.2007971957,118.202619533,46.672668123,315.016232224,van
31.4657627583,54.9999278594,101.850361559,373.309403531,van
350.78469098,378.482918062,231.689233996,50.66975197,saab
27.5303691577,63.490582487,127.090086748,399.133288219,van
132.497291391,146.657398942,139.456372926,375.852095597,bus
679.534666684,702.680111476,562.654530373,290.454006625,bus
63.0129750604,97.6787523699,65.2884227847,337.481465217,bus
36.6991175093,42.1012311523,147.340188508,421.660769535,van
103.663473924,91.996060049,222.073807437,495.005383773,van
208.619293034,241.518281015,94.4899092481,193.149859862,saab
54.7529015301,50.6649668365,173.016038418,446.294325266,van
101.394527594,87.0010750769,219.582908146,492.348006358,saab
64.2443275781,89.6121803358,76.4037312552,346.284572808,bus
43.9791066981,68.7730009854,86.1169573877,357.14833552,van
179.05546969,208.914339059,65.5868565318,225.52951595,bus
346.308657452,372.022992387,228.072681288,69.8930480427,opel
128.10064725,97.2181015271,244.593883713,515.382190966,van
187.347953888,220.076811737,75.1617652116,215.017896847,bus
398.685935074,424.25298993,280.684513199,21.2255827882,saab
368.499653224,395.962172265,249.208626154,38.9015008027,opel
61.9046446235,81.7090219287,76.3139996968,345.028079386,bus
109.273451606,78.4048918406,225.249601886,496.853965431,van
51.6791372409,84.2639487832,84.2819704903,355.786760525,bus
16.9798476424,41.6927459463,127.340048491,400.523237234,bus
341.601597809,370.22159292,222.48671994,65.5236748412,saab
34.4360570617,57.1588389013,103.256254773,375.948131482,van
94.0282448308,60.505752326,208.327949996,479.057044374,saab
409.820046637,436.875798213,291.272011614,22.2162905252,saab
273.724416569,302.888932555,157.347972182,128.337083357,bus
43.2200766538,32.3358201464,127.016619974,394.889856751,saab
58.5189390365,85.9549083214,69.5279925621,341.917228821,van
23.1356527023,41.8079641281,136.084852756,410.149922546,saab
33.5085783936,58.9778472356,137.202213356,408.172542639,opel
357.988362976,387.548864357,239.187236595,54.6060835869,opel
103.236985746,139.844108437,53.3317292962,304.095638516,opel
72.5958058428,103.158880687,64.1247171512,332.841403621,van
65.3024886659,62.3348960418,106.792130561,366.665381192,bus
216.341823109,242.676080536,191.363019807,371.661549753,van
403.824090695,428.885430931,286.419770529,32.1535124784,saab
55.4945765455,75.6303594104,92.1095529775,362.104955731,bus
341.366223323,369.866088016,222.240774724,60.2430856174,opel
130.333361907,97.8057373805,245.69990059,515.627436202,van
80.3192270005,95.9169175096,74.2030144248,333.163850027,van
105.140227439,140.37607369,40.3820993724,297.346772245,saab
394.97964128,423.125289559,276.3752763,39.0212552937,saab
82.8657723427,100.825387004,65.7085485285,326.640572135,van
65.4838608052,41.600027218,180.635449316,453.69069592,van
54.4478743934,38.7198432918,124.568023785,389.39944962,bus
67.3603698473,83.7284328322,81.4728957981,346.491840546,van
106.084325072,138.623287598,26.6433471944,291.653203591,saab
52.8976693812,26.0965335733,148.771535415,415.207686303,saab
57.6947244205,94.5069069674,81.3849909364,350.389107086,saab
386.609228842,414.216150173,267.49593109,50.4542878723,opel
45.6135728261,83.5849392208,88.1893754923,360.31516505,bus
673.351313525,697.67162438,556.391372462,283.608482533,bus
59.4640347265,64.097858502,175.114750806,447.804232634,van
215.514564765,246.823952372,98.7799977208,182.647139492,saab
66.1588182026,79.2927579577,85.4319913716,348.122227622,van
368.510092163,397.504442572,249.57464765,40.2140667516,opel
85.4475407836,53.4150827439,201.084898363,472.574376966,van
277.518299624,308.618705954,159.054778456,122.643078748,opel
77.6890714706,51.7858481107,193.539728091,466.105510335,opel
62.4916300472,32.0867459325,172.003389355,442.051927227,van
37.3228592951,59.0099861425,96.7424237329,369.447536417,bus
228.46581019,258.595645873,110.222021165,169.461563679,bus
28.7711040101,40.2805792478,115.892215225,387.541747125,opel
51.4658238636,42.9286159169,117.575231021,383.098596662,bus
463.128962629,490.465410263,344.391815741,71.3487670861,opel
28.275604785,52.5108471131,120.141394822,394.447520419,van
272.055429694,301.507960201,153.449880905,131.978494327,bus
394.979574441,418.526011933,278.70488756,46.078619388,opel
