CLUSTER1DIST,CLUSTER2DIST,CLUSTER3DIST,CLUSTER4DIST,Class
110.786643717,37.352718456,85.5534898095,320.280454318,van
48.1789271997,92.7464855186,34.9131181448,378.568559733,van
371.767715417,240.001968275,344.147730515,55.4838825075,saab
58.1613017917,119.836930769,23.0738947425,404.443740239,van
140.796188251,135.889933314,133.836347898,380.909149034,bus
696.731636734,570.7639829,672.947538682,285.183731335,bus
90.1978992334,56.5256541408,59.3434901113,342.773956155,bus
38.5721353584,138.132546404,48.9577615766,426.937239671,van
95.549296314,214.266192331,108.901277397,500.300618647,van
234.394960326,104.663959299,199.813052673,198.469899527,saab
51.5832339633,165.048126242,60.6555044377,451.589068754,van
90.8863049425,211.711289203,107.035471777,497.639030642,saab
82.2741078719,66.4179853357,66.1266150547,351.533080688,bus
61.785935504,76.9533233594,44.2287193867,362.407039968,van
201.710334455,71.6869037973,173.776117515,230.756224224,bus
365.432499411,235.437524146,340.834025324,73.7700333341,opel
103.808774321,236.030569156,136.513133502,520.606458679,van
212.915556562,85.8576005724,178.340981321,220.332031757,bus
417.896694921,288.792912268,392.152020036,20.2608543282,saab
389.233932778,257.522432374,361.957203573,42.8583646224,opel
74.7732480645,66.0565861671,64.124839326,350.25810914,bus
84.6162208215,216.619277019,118.276011171,502.091590467,van
76.9820435304,75.3481889368,51.0750332216,361.062090253,bus
35.8068795919,119.179785098,23.1174267294,405.812172092,bus
363.363293999,230.700025089,335.068019689,70.1596566277,saab
49.8590495909,93.3677127065,41.9841781936,381.207028553,van
67.0439797902,199.616510279,103.453239768,484.28286261,saab
430.346511809,299.851199391,402.745916948,18.9397945636,saab
296.129446739,167.008525459,265.531926176,133.535731616,bus
28.1259173381,118.453575615,50.4969842524,400.101373677,saab
78.5680891082,59.5218294078,58.2400568217,347.183232628,van
36.8582124649,126.997088849,35.158290894,415.433591105,saab
54.9724715299,130.487051373,28.6567063458,413.477238331,opel
380.656371845,248.265506215,350.434510884,58.8268613655,opel
132.71797778,55.3367814031,92.2327415758,309.413601217,opel
95.9165888995,54.1120557367,71.4443616991,338.105865992,van
58.0655958904,97.1806450691,71.5053048283,371.805481963,bus
235.929865905,192.117554055,214.181574881,376.367523331,van
422.612401884,294.495414864,397.286746593,30.647923553,saab
68.4902608121,82.5198265634,59.9238318083,367.347202001,bus
363.040994966,231.142154477,334.155293567,65.2888552366,opel
104.642780095,237.137177128,138.820264438,520.837879976,van
89.9179427373,63.8129593112,82.4412761824,338.3313125,van
