@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1-weka.filters.unsupervised.instance.Resample-S1-Z30.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.MLPAutoencoder -N 15 -L 0.01 -O 1.0E-6 -P 1 -E 1 -weights-file \"C:\\\\Program Files\\\\Weka-3-8\" -S 1 -seed 1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 30.0 -no-replacement-Fweka.filters.AllFilter'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute Class {opel,saab,bus,van}

@data
0.541717,0,0.786935,0.559094,0.000628,0.983766,0.071847,0.072744,0.965336,1,0.000323,0.207396,0,0.15685,0.719208,opel
0.197889,0,0.440737,0.320593,0.003279,0.292155,0.123834,0.795172,0.720983,1,0.00114,0.344739,0,0.681293,0.076939,van
0.993727,0,0.002052,0.814892,0.000004,0.111503,0.125854,0.588064,0.853389,1,0.301819,0.277477,0.000113,0.132008,0.120923,saab
0.767476,0,0.000144,0.387358,0.000288,0.042643,0.972324,0.721562,0.141127,0.999998,0.887093,0.716974,0.002775,0.173294,0.924273,saab
0.935806,0,0.004517,0.903756,0.000043,0.474446,0.080105,0.11117,0.769978,1,0.157333,0.914891,0.000048,0.552829,0.094392,bus
0.938289,0,0.000494,0.485801,0.000053,0.138818,0.947557,0.313876,0.155694,0.999999,0.682087,0.990375,0.000832,0.327737,0.808518,bus
0.039654,0,0.067354,0.751275,0.022294,0.956897,0.092163,0.041858,0.927091,1,0.016177,0.083369,0.000003,0.355961,0.565043,saab
0.989966,0,0.000172,0.664277,0.000008,0.073886,0.111205,0.629805,0.856287,0.999998,0.84252,0.337573,0.001779,0.146959,0.134692,saab
0.251376,0,0.025213,0.818631,0.002697,0.120751,0.948814,0.789463,0.23379,1,0.043156,0.115348,0.00001,0.898531,0.079941,van
0.32009,0,0,0.736169,0.002561,0.289056,0.861702,0.181987,0.409645,0.21378,1,0.036901,0.999863,0.749229,0.039322,opel
0.1387,0,0.00015,0.013347,0.007158,0.070456,0.939267,0.905866,0.049183,0.999999,0.840356,0.921639,0.002525,0.234416,0.510192,van
0.977743,0,0.006514,0.869469,0.000013,0.559134,0.03196,0.046924,0.366398,1,0.102964,0.967947,0.000032,0.637644,0.20485,bus
0.544563,0,0.001745,0.797813,0.000676,0.185277,0.851586,0.725315,0.351235,1,0.390074,0.572895,0.000176,0.939977,0.353807,bus
0.946388,0,0.005047,0.431947,0.000044,0.044757,0.87559,0.874975,0.407741,1,0.153809,0.963071,0.000053,0.488646,0.677347,bus
0.000345,0,0.03897,0.907559,0.798194,0.172716,0.770761,0.691486,0.161736,1,0.031717,0.112622,0.000006,0.933078,0.07726,bus
0.008185,0,0.000712,0.298623,0.144487,0.087798,0.737886,0.874028,0.48137,1,0.614605,0.453295,0.000465,0.59029,0.801742,saab
0.071044,0,0,0.530032,0.018903,0.051951,0.959063,0.823102,0.167602,0.463147,1,0.114075,0.999585,0.448777,0.090242,opel
0.92936,0,0.000492,0.948298,0.000052,0.181228,0.35533,0.082249,0.210786,1,0.667564,0.424808,0.000548,0.851821,0.240179,bus
0.9947,0,0.122872,0.79293,0.000003,0.457271,0.063537,0.458139,0.963842,1,0.006353,0.476669,0.000001,0.042311,0.484272,saab
0.729169,0,0.440333,0.180693,0.000337,0.101972,0.961935,0.934703,0.511599,1,0.001537,0.916867,0,0.171305,0.798757,van
0.000113,0,0.01508,0.879008,0.930744,0.355518,0.693025,0.774486,0.227602,1,0.073705,0.207126,0.000016,0.950578,0.078155,bus
0.904937,0,0.170102,0.713298,0.00007,0.703592,0.066906,0.207787,0.918322,1,0.004762,0.262719,0.000001,0.138892,0.248436,saab
0.026667,0,0.437358,0.330632,0.035575,0.158124,0.209931,0.669424,0.479644,1,0.001141,0.523324,0,0.46043,0.334335,van
0.010307,0,0.000675,0.430169,0.10889,0.946998,0.635268,0.721385,0.86908,1,0.640099,0.053728,0.000559,0.543853,0.245551,van
0.172836,0,0.000245,0.085522,0.005031,0.581644,0.922262,0.698716,0.199061,0.999999,0.797751,0.480731,0.001597,0.32919,0.637091,van
0.992101,0,0.072725,0.104443,0.000006,0.256386,0.964768,0.654985,0.528511,1,0.011513,0.939715,0.000003,0.07116,0.899631,van
0.252979,0,0.000037,0.601186,0.003122,0.324044,0.911892,0.500886,0.388171,0.999992,0.970367,0.4554,0.012156,0.129432,0.953106,saab
0.000023,0,0,0.92163,0.990818,0.214327,0.1419,0.913116,0.950981,0.055551,1,0.703967,0.999971,0.728785,0.699637,bus
0.129478,0,0.000845,0.64846,0.005609,0.788979,0.039818,0.06955,0.300542,1,0.500525,0.425033,0.000288,0.39447,0.728734,saab
0.000361,0,0,0.776011,0.840855,0.155418,0.440747,0.840256,0.447088,0.003326,1,0.910851,0.999999,0.893034,0.942133,bus
0.012592,0,0.000507,0.517385,0.089178,0.565426,0.852721,0.734098,0.532669,1,0.713671,0.296927,0.000741,0.441054,0.854448,opel
0.260975,0,0.014238,0.489229,0.002648,0.153555,0.529215,0.604358,0.380965,1,0.06008,0.184447,0.000015,0.704487,0.082195,van
0.000306,0,0.456123,0.040757,0.828695,0.395066,0.251989,0.883242,0.435656,1,0.001238,0.860613,0,0.588799,0.470865,van
0.016697,0,0.016432,0.200092,0.067626,0.296057,0.686189,0.701467,0.785048,1,0.062791,0.314319,0.000015,0.286041,0.898191,opel
0.001916,0,0.000305,0.071974,0.45086,0.623918,0.895343,0.910758,0.52179,0.999999,0.79116,0.176668,0.001415,0.52229,0.253265,van
0.544154,0,0.000013,0.697347,0.000728,0.241151,0.094013,0.4244,0.463755,0.999973,0.98747,0.525431,0.03274,0.440323,0.453793,saab
0.001327,0,0.105646,0.31094,0.496956,0.737473,0.137212,0.536266,0.495749,1,0.008581,0.649492,0.000002,0.409465,0.733634,saab
0.007972,0,0.001086,0.068778,0.141704,0.319689,0.966197,0.862172,0.043747,1,0.478469,0.719592,0.000345,0.168068,0.7887,van
0.133939,0,0.075258,0.772723,0.005648,0.293683,0.323912,0.51018,0.551495,1,0.012168,0.47716,0.000002,0.619022,0.224962,bus
0.000211,0,0.084504,0.181795,0.892301,0.104208,0.813906,0.889088,0.020222,1,0.012905,0.94096,0.000003,0.50545,0.946495,saab
0.667599,0,0,0.592976,0.000467,0.238417,0.228845,0.723485,0.137589,0.996378,0.999892,0.540851,0.866104,0.601601,0.754221,saab
0.005215,0,0.026905,0.10478,0.196816,0.298389,0.744987,0.422429,0.069522,1,0.03509,0.811156,0.000009,0.467872,0.963651,saab
0.00251,0,0,0.64714,0.409097,0.176089,0.562219,0.808382,0.843015,0.152482,1,0.720993,0.999916,0.652123,0.607625,bus
0.024837,0,0.980939,0.272431,0.042543,0.220143,0.775529,0.884996,0.80235,1,0.000032,0.484207,0,0.670952,0.544895,van
0.702215,0,0,0.215304,0.000469,0.617244,0.485427,0.310618,0.505485,0.694746,0.999999,0.518598,0.998817,0.144209,0.629322,saab
0.001135,0,0.997487,0.208863,0.526821,0.941776,0.280586,0.111802,0.55859,1,0.000004,0.664421,0,0.525006,0.871255,saab
0.022975,0,0.011933,0.836277,0.042498,0.278046,0.491259,0.248409,0.348078,1,0.074765,0.551101,0.000018,0.72514,0.44623,bus
0.977998,0,0.587282,0.252624,0.000017,0.068746,0.926476,0.87878,0.754817,1,0.000773,0.939959,0,0.050058,0.919232,opel
0.000201,0,0.017914,0.745031,0.884614,0.413652,0.813767,0.90874,0.413513,1,0.069269,0.1014,0.000016,0.883024,0.178795,bus
0.080533,0,0.03158,0.695339,0.010281,0.172479,0.826468,0.603402,0.151955,1,0.036381,0.237776,0.000008,0.941717,0.197555,bus
0.003584,0,0.957331,0.60083,0.233288,0.795609,0.106899,0.304392,0.704163,1,0.000064,0.032268,0,0.454864,0.573154,opel
0.439286,0,0.003046,0.902058,0.001031,0.705298,0.025358,0.134997,0.898191,1,0.251253,0.12301,0.000074,0.342618,0.422191,saab
0.921948,0,0.008031,0.333676,0.000065,0.847198,0.676789,0.127427,0.976781,1,0.107082,0.060506,0.000028,0.12767,0.168162,van
0.00415,0,0.000413,0.360578,0.257276,0.470016,0.834063,0.955728,0.504226,0.999999,0.734286,0.089319,0.000914,0.72709,0.059477,van
0.932348,0,0.00645,0.178313,0.000058,0.087889,0.676663,0.702004,0.256809,1,0.112194,0.692557,0.000037,0.278317,0.454408,van
0.964328,0,0.015234,0.941118,0.000024,0.217821,0.104368,0.125176,0.6184,1,0.056679,0.419427,0.000013,0.462946,0.201138,bus
0.340314,0,0,0.503602,0.00198,0.649241,0.196342,0.738048,0.521563,0.978836,0.999979,0.493613,0.975394,0.707621,0.612413,saab
0.604721,0,0,0.844642,0.000606,0.944273,0.651839,0.243003,0.624957,0.809027,0.999998,0.043333,0.997493,0.872189,0.44448,saab
