@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N12-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.114774,0.299097,0.518429,0.000358,0.194791,0.01194,0.999563,0.062007,0.061451,0.121958,0.797142,0.04136,8
0.218603,0.016238,0.022824,0.999435,0.023474,0.503155,0.717029,0.091046,0.576824,0.006018,0.493995,0.060777,2
0.547362,0.937709,0.031586,0.993171,0.973904,0.90365,0.000693,0.275548,0.959434,0.925106,0.115687,0.980691,1
0.881321,0.189281,0.007265,0.990084,0.014246,0.030189,0.642844,0.913664,0.074107,0.523187,0.073412,0.062271,4
0.644437,0.667676,0.047332,0.998057,0.89454,0.841919,0.003754,0.095424,0.989401,0.48932,0.696606,0.926946,1
0.180071,0.705657,0.996074,0.999208,0.014272,0.26858,0.872523,0.101788,0.416741,0.002968,0.974672,0.033487,6
0.924499,0.265986,0.004195,0.049804,0.042167,0.205435,0.285762,0.790992,0.029121,0.998913,0.176852,0.937702,4
0.354223,0.980809,0.013275,0.000008,0.864816,0.961569,0.978843,0.996375,0.756812,0.991456,0.003279,0.72701,0
0.56727,0.041663,0.032056,0.000074,0.96747,0.986284,0.998559,0.035853,0.064765,0.119245,0.836204,0.488289,5
0.767742,0.729232,0.519049,0.001824,0.138844,0.033748,0.999694,0.97279,0.01235,0.165507,0.12589,0.131579,0
0.649812,0.810826,0.832112,0.998488,0.008257,0.014223,0.022677,0.907957,0.173967,0.883759,0.020503,0.676227,9
0.068402,0.907359,0.686978,0.000073,0.438893,0.007197,0.998651,0.52294,0.240217,0.573801,0.990389,0.081979,8
0.981136,0.983735,0.984081,0.999888,0.028327,0.861516,0.115709,0.803591,0.306704,0.026444,0.778037,0.452038,5
0.44007,0.827176,0.980547,0.999416,0.024351,0.042476,0.035467,0.951873,0.58336,0.699987,0.047884,0.056328,9
0.822172,0.036178,0.025189,0.998897,0.268888,0.268848,0.638544,0.324527,0.964952,0.004775,0.417082,0.97872,7
0.803598,0.981658,0.304213,0.999764,0.455373,0.402372,0.03991,0.512161,0.984585,0.010282,0.697034,0.944355,3
0.806748,0.976083,0.578957,0.999491,0.066383,0.147085,0.110718,0.934297,0.935391,0.039512,0.743885,0.852525,3
0.812163,0.971174,0.988154,0.999497,0.055931,0.135104,0.033555,0.91696,0.709663,0.292881,0.097998,0.940963,9
0.034785,0.023055,0.159735,0.996793,0.034489,0.969918,0.823865,0.105569,0.937163,0.005072,0.642483,0.091577,2
0.451492,0.024359,0.023729,0.999782,0.377056,0.903481,0.014911,0.008537,0.930198,0.071683,0.222106,0.686342,2
0.606082,0.061248,0.05613,0.000081,0.9763,0.994467,0.998285,0.031417,0.415684,0.102417,0.790387,0.321795,5
0.055849,0.10649,0.057021,0.993019,0.9721,0.153528,0.000902,0.856369,0.993462,0.983062,0.167817,0.982054,1
0.725241,0.043934,0.101659,0.000076,0.919042,0.98168,0.998375,0.049454,0.353494,0.246546,0.914486,0.100252,5
0.840299,0.021195,0.987542,0.701262,0.634734,0.831633,0.99276,0.743717,0.962019,0.004955,0.004535,0.928253,8
0.847128,0.819803,0.278121,0.793158,0.031003,0.588871,0.99531,0.991152,0.019653,0.025938,0.478526,0.038216,6
0.820065,0.197461,0.008173,0.558979,0.042525,0.1431,0.200835,0.836443,0.014167,0.989376,0.078668,0.955959,4
0.698206,0.471275,0.208135,0.001381,0.180786,0.011545,0.999851,0.945783,0.049146,0.068087,0.021976,0.10899,0
0.977876,0.976983,0.161303,0.979355,0.177793,0.831646,0.009922,0.086457,0.032647,0.921832,0.120254,0.97908,4
0.86513,0.020763,0.970618,0.981391,0.66817,0.982065,0.972948,0.751229,0.975766,0.001787,0.01358,0.332881,8
0.952615,0.978932,0.977864,0.999619,0.132195,0.997319,0.05492,0.048874,0.07882,0.08043,0.092492,0.00956,1
0.207332,0.960073,0.479877,0.898698,0.881313,0.062518,0.915816,0.219762,0.997779,0.002443,0.298625,0.899083,8
0.716274,0.047914,0.514023,0.000052,0.766011,0.920529,0.998992,0.041179,0.153201,0.461927,0.989505,0.17125,5
0.91539,0.022693,0.029284,0.98665,0.194249,0.484555,0.931183,0.041712,0.85501,0.006822,0.748027,0.841753,7
0.630834,0.975671,0.032416,0.000008,0.816537,0.751311,0.9943,0.994352,0.016978,0.969852,0.04376,0.924869,0
