@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.182458,0.803337,0.815522,0.003853,0.824499,0.1569,0.997568,0.014821,0.475058,0.985804,0.616334,0.104791,0.398823,0.013238,0.84361,8
0.095293,0.632199,0.936795,0.993955,0.649015,0.105872,0.854409,0.40392,0.668338,0.019676,0.034724,0.000443,0.946513,0.127794,0.302977,2
0.624942,0.142852,0.013546,0.947025,0.066099,0.355394,0.001602,0.89683,0.673813,0.00491,0.851569,0.928502,0.936149,0.952243,0.113489,1
0.518219,0.758957,0.991965,0.990033,0.85651,0.016319,0.234522,0.208597,0.019401,0.602835,0.223674,0.037869,0.943541,0.863413,0.712774,4
0.740599,0.413512,0.019031,0.979186,0.091284,0.44445,0.016238,0.760278,0.784815,0.002991,0.456845,0.291848,0.871129,0.671365,0.023309,1
0.24563,0.795636,0.930448,0.994359,0.898498,0.916614,0.946849,0.157425,0.786189,0.016929,0.833089,0.000337,0.009155,0.022169,0.573828,6
0.69241,0.937158,0.95646,0.467445,0.043084,0.025758,0.010594,0.226278,0.203974,0.977216,0.284484,0.980224,0.933465,0.952656,0.81722,4
0.601879,0.03476,0.86661,0.000452,0.162275,0.407654,0.495729,0.988276,0.021528,0.999686,0.950297,0.996812,0.985673,0.971164,0.214981,0
0.502393,0.918829,0.101883,0.000185,0.409334,0.272973,0.993187,0.943367,0.983555,0.958072,0.051224,0.422627,0.954695,0.105619,0.879088,5
0.563332,0.752993,0.983997,0.014744,0.902611,0.197718,0.995221,0.218015,0.02748,0.995789,0.834573,0.145047,0.381016,0.846662,0.967878,0
