@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N18-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute hidden_unit_15output numeric
@attribute hidden_unit_16output numeric
@attribute hidden_unit_17output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.494573,0.884149,0.805996,0.054302,0.974356,0.36273,0.99342,0.396152,0.854353,0.930548,0.048401,0.180772,0.624638,0.000248,0.615386,0.75443,0.218097,0.942545,8
0.17965,0.60408,0.882034,0.999872,0.913668,0.119637,0.888709,0.963755,0.834402,0.615621,0.061548,0.002226,0.867925,0.857831,0.062975,0.76921,0.52307,0.393277,2
0.219059,0.191533,0.202817,0.999876,0.040374,0.963538,0.004674,0.121256,0.424994,0.329266,0.836341,0.884917,0.939218,0.901374,0.036766,0.12828,0.942976,0.385997,1
0.791686,0.844873,0.788205,0.999095,0.72622,0.023701,0.29251,0.774424,0.023286,0.395896,0.130912,0.08965,0.894423,0.451214,0.034719,0.84022,0.018596,0.775393,4
0.175311,0.100861,0.499503,0.999944,0.159532,0.982492,0.030746,0.456975,0.881644,0.236062,0.617115,0.385299,0.812827,0.950596,0.054538,0.268494,0.853203,0.609854,1
0.177201,0.674479,0.810699,0.999817,0.965919,0.136693,0.925792,0.138968,0.980989,0.830044,0.173589,0.002358,0.020449,0.821445,0.980389,0.887048,0.467396,0.603474,6
0.561835,0.787159,0.917324,0.820046,0.084806,0.333895,0.013245,0.686018,0.009129,0.183375,0.133253,0.9819,0.93353,0.010412,0.039196,0.947107,0.283496,0.80442,4
0.985875,0.031546,0.685616,0.009429,0.154937,0.228306,0.437448,0.067197,0.013158,0.191731,0.902919,0.992546,0.978558,0.00006,0.045387,0.045867,0.528077,0.08301,0
0.414996,0.883583,0.53688,0.01056,0.671236,0.883484,0.990486,0.958884,0.964591,0.084599,0.715658,0.315906,0.882813,0.0001,0.069989,0.73281,0.975142,0.579511,5
0.917369,0.912369,0.705539,0.109038,0.591177,0.026642,0.987737,0.224809,0.046372,0.720979,0.556049,0.166821,0.408933,0.000372,0.52867,0.736534,0.036368,0.813375,0
0.731129,0.750386,0.923491,0.999914,0.166636,0.030197,0.014355,0.127428,0.015192,0.952152,0.183248,0.499083,0.592783,0.886029,0.848323,0.533436,0.168381,0.821234,9
0.782304,0.469184,0.492698,0.028509,0.950569,0.857451,0.973077,0.047571,0.899116,0.947055,0.077633,0.648951,0.198824,0.000145,0.707147,0.923095,0.055779,0.881332,8
0.736279,0.64405,0.938075,0.999984,0.363,0.16914,0.245105,0.048294,0.614852,0.186448,0.963763,0.020299,0.060682,0.978775,0.962535,0.897266,0.480861,0.657821,5
