@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N3-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.999935,0.983315,0.999579,8
0.000113,0.130084,0.998739,2
0.000476,0.000331,0.000013,1
0.037137,0.990861,0.235504,4
0.000027,0.000256,0.002657,1
0.000006,0.997716,0.999903,6
0.996727,0.54972,0.000248,4
1,0.247608,0.000399,0
0.999999,0.000869,0.998248,5
0.999967,0.999812,0.969935,0
0.000125,0.999334,0.00173,9
0.999954,0.99554,0.978971,8
0.000001,0.996818,0.570955,5
0.000015,0.999745,0.041766,9
0.000106,0.003795,0.720107,7
0.000001,0.117921,0.030141,3
0.000004,0.951996,0.041634,3
0.000005,0.995665,0.00485,9
0.000192,0.015582,0.999718,2
0.000008,0.000157,0.530806,2
0.999996,0.000286,0.998557,5
0.000441,0.000664,0.000012,1
0.999995,0.00312,0.999133,5
0.176758,0.137183,0.98865,8
0.704158,0.999654,0.990037,6
0.91126,0.732857,0.000702,4
0.999978,0.999064,0.982468,0
0.009215,0.308997,0.000302,4
0.00466,0.07289,0.99842,8
0.000026,0.948057,0.928302,1
0.002148,0.054034,0.644569,8
0.999994,0.04356,0.999529,5
0.003605,0.004441,0.99061,7
1,0.913393,0.002556,0
0.999998,0.000057,0.000001,9
0.000005,0.907323,0.073316,3
0.999999,0.011292,0.999496,5
0.069464,0.999942,0.700104,4
0.038027,0.626884,0.000903,9
0.000007,0.001944,0.99462,2
0.000226,0.000882,0.991264,7
0.999998,0.005471,0.998857,5
0.845268,0.999903,0.979158,6
0.000003,0.164835,0.010092,3
0.000004,0.014349,0.000854,3
0.002459,0.999974,0.999845,6
0.000002,0.694452,0.1191,3
0.000026,0.001704,0.99692,2
1,0.001938,0.996099,5
0.001602,0.355298,0.000429,4
0.000003,0.812885,0.032508,3
0.000002,0.005573,0.005618,1
0.999995,0.999531,0.681792,0
0.00002,0.001288,0.000694,1
0.995833,0.882819,0.00106,4
0.999998,0.080986,0.999405,5
0.000005,0.241597,0.012946,3
0.000107,0.001712,0.99734,2
0.999999,0.948034,0.07419,0
0.01737,0.999975,0.997091,6
0.00006,0.05277,0.994383,8
0,0.701491,0.032435,5
1,0.022005,0.00001,0
0.000023,0.796053,0.119564,3
0.000019,0.000889,0.956383,7
0.001494,0.426195,0.999916,8
0,0.350226,0.05787,5
0.044325,0.999762,0.998352,6
0.258707,0.355944,0.999694,8
0.999988,0.871862,0.725736,8
0.000003,0.991461,0.02894,9
1,0.96245,0.003033,0
0.796994,0.997676,0.289923,4
0.001109,0.01112,0.000011,1
0.000008,0.999696,0.068459,9
0.022847,0.00643,0.999068,7
1,0.998413,0.750944,0
