@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N6-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.994783,0.92229,0.995526,0.000076,0.023578,0.211884,8
0.731728,0.600043,0.990494,0.999852,0.002688,0.98413,2
0.000939,0.903025,0.000551,0.995908,0.995046,0.996355,1
0.958906,0.97554,0.019076,0.997882,0.002211,0.15899,4
0.006793,0.495877,0.032704,0.998916,0.969385,0.999552,1
0.997577,0.006882,0.999694,0.999495,0.826926,0.226073,6
0.047286,0.997987,0.00012,0.184094,0.031632,0.099909,4
0.022203,0.997993,0.00058,0.000001,0.658911,0.062031,0
0.003244,0.846574,0.994063,0.000002,0.028131,0.799092,5
0.992275,0.769412,0.306835,0.000186,0.013124,0.000947,0
0.944105,0.879222,0.001343,0.999965,0.644867,0.01344,9
0.99924,0.925708,0.959254,0.000006,0.729187,0.342305,8
0.810574,0.000766,0.213545,0.999919,0.96617,0.016053,5
0.989746,0.84567,0.114036,0.999987,0.94869,0.01559,9
0.09255,0.047455,0.109888,0.99833,0.008891,0.998281,7
0.520098,0.004263,0.01445,0.999521,0.946246,0.993503,3
0.954313,0.011966,0.010131,0.999567,0.894343,0.819012,3
0.804885,0.033415,0.003579,0.99992,0.982131,0.038816,9
0.338588,0.369997,0.99947,0.999037,0.03834,0.992715,2
0.003839,0.656399,0.740248,0.999976,0.119592,0.999245,2
0.002152,0.749913,0.997164,0.000003,0.077108,0.921889,5
0.012879,0.998898,0.001572,0.999314,0.986204,0.999399,1
0.015074,0.847473,0.998289,0.000005,0.071777,0.804676,5
0.017973,0.030628,0.861905,0.675743,0.080412,0.156651,8
0.988893,0.183143,0.617688,0.350544,0.02562,0.003079,6
0.084431,0.995096,0.000229,0.845137,0.021456,0.08137,4
0.991452,0.883556,0.301916,0.000187,0.001634,0.006303,0
0.005522,0.276154,0.00028,0.988297,0.838271,0.090985,4
0.019548,0.025833,0.990736,0.98411,0.137426,0.341783,8
0.085454,0.021156,0.965614,0.999894,0.975497,0.005044,1
0.848604,0.01866,0.322644,0.45157,0.791267,0.99842,8
0.090364,0.734076,0.998994,0.000004,0.168912,0.461489,5
0.090427,0.047809,0.781341,0.968039,0.003196,0.995039,7
0.110936,0.987048,0.00056,0,0.342756,0.003189,0
0.000209,0.999998,0.001774,0.000025,0.999664,0.985583,9
0.976249,0.030163,0.021006,0.999408,0.813309,0.953776,3
0.020856,0.916842,0.998694,0.000003,0.037623,0.448596,5
0.9952,0.843735,0.228244,0.989446,0.10052,0.001653,4
0.736151,0.997047,0.013468,0.97228,0.923936,0.865209,9
0.084391,0.075328,0.988326,0.999851,0.065518,0.998784,2
0.037077,0.001056,0.822415,0.949635,0.055267,0.998726,7
0.014727,0.877744,0.996627,0.000003,0.042973,0.630111,5
0.994352,0.302296,0.352335,0.322854,0.013881,0.001268,6
0.772151,0.116673,0.003081,0.999845,0.414954,0.99701,3
0.074325,0.039389,0.00072,0.999594,0.873484,0.996326,3
0.999888,0.015647,0.995543,0.950278,0.317226,0.013117,6
0.83209,0.001024,0.014163,0.998896,0.867016,0.942134,3
0.043269,0.087722,0.994049,0.999653,0.08288,0.997137,2
0.003613,0.958917,0.987651,0.000001,0.01518,0.604186,5
0.024619,0.090592,0.000741,0.981801,0.982802,0.283646,4
0.968765,0.034825,0.00543,0.999707,0.559711,0.982259,3
0.010541,0.007142,0.040356,0.999058,0.998672,0.986685,1
0.939601,0.779975,0.041561,0.00004,0.033777,0.000414,0
0.02,0.228412,0.003156,0.998604,0.961109,0.99913,1
0.088429,0.998435,0.000381,0.430393,0.01608,0.017207,4
0.045889,0.939451,0.998307,0.000014,0.028539,0.135733,5
0.762641,0.015887,0.005913,0.998574,0.912089,0.993662,3
0.055719,0.222939,0.994842,0.999246,0.038874,0.99748,2
0.498157,0.926989,0.00322,0.000006,0.036329,0.014076,0
0.998026,0.02577,0.881319,0.952423,0.157684,0.000824,6
0.008562,0.00158,0.985918,0.998061,0.819958,0.380476,8
0.985645,0.125181,0.16813,0.999958,0.995153,0.996589,5
0.000474,0.996909,0.000059,0,0.972249,0.046571,0
0.984327,0.32664,0.059568,0.99919,0.530123,0.987798,3
0.025957,0.000775,0.768802,0.990754,0.400705,0.998709,7
0.107685,0.00453,0.999421,0.986344,0.278064,0.123829,8
0.852714,0.02697,0.22144,0.999922,0.995296,0.992858,5
0.995428,0.007123,0.958121,0.540276,0.518314,0.005084,6
0.031581,0.016167,0.993299,0.660338,0.034101,0.038619,8
0.996723,0.981652,0.833157,0.000001,0.913843,0.927932,8
0.92145,0.017085,0.00508,0.999943,0.77869,0.21179,9
0.167979,0.993416,0.000797,0.000001,0.324516,0.001622,0
0.925361,0.949468,0.020519,0.834421,0.007795,0.009919,4
0.026603,0.992542,0.000173,0.998878,0.90422,0.990265,1
0.996204,0.367782,0.340405,0.999862,0.99846,0.050402,9
0.089114,0.040119,0.975944,0.836351,0.004116,0.986349,7
0.948325,0.967774,0.052713,0.000006,0.006563,0.001697,0
0.998335,0.07612,0.834595,0.960648,0.055308,0.002966,6
0.944901,0.023214,0.00885,0.999697,0.920513,0.989302,3
0.707398,0.030864,0.000909,0.99965,0.819614,0.997866,3
0.764521,0.291432,0.999561,0.997247,0.027555,0.975351,2
0.975234,0.966087,0.090301,0.995962,0.0374,0.012664,4
0.086309,0.024449,0.996458,0.999483,0.271792,0.994199,1
0.997653,0.533112,0.726335,0.946759,0.005077,0.019968,6
0.026236,0.988887,0.99715,0.000005,0.024449,0.330632,5
0.000309,0.126113,0.953196,0.000021,0.017965,0.951951,5
0.989071,0.151814,0.255214,0.9909,0.021904,0.998241,7
0.463418,0.857796,0.001818,0.000012,0.054169,0.000343,0
0.593287,0.992554,0.034906,0.000008,0.28161,0.009261,0
0.168515,0.129736,0.000906,0.999841,0.991951,0.008361,9
0.092368,0.994388,0.99847,0.000004,0.019036,0.128857,5
0.99898,0.326092,0.783756,0.303733,0.009382,0.012861,6
0.622977,0.995012,0.004054,0.722391,0.004627,0.010777,4
0.929036,0.006823,0.012081,0.242219,0.067101,0.974128,7
0.139219,0.997453,0.020018,0.999902,0.633847,0.997523,1
0.651782,0.99768,0.008484,0,0.037281,0.006143,0
0.008646,0.953284,0.001659,0.999515,0.955784,0.999059,1
0.184765,0.99992,0.636382,0.97448,0.952965,0.992637,9
0.999321,0.067446,0.999628,0.97677,0.354511,0.016998,6
0.000637,0.185144,0.73491,0.999935,0.275942,0.998575,2
0.178526,0.911551,0.000538,0,0.120556,0.010298,0
0.966355,0.055934,0.004894,0.999584,0.762903,0.931658,3
0.664609,0.787326,0.001437,0.000011,0.005819,0.012865,0
0.998606,0.985319,0.995891,0.000001,0.818555,0.585741,8
0.001719,0.99812,0.000099,0,0.972675,0.106455,0
0.987886,0.004313,0.062301,0.999675,0.927799,0.979395,3
0.586367,0.997721,0.022157,0.000014,0.151068,0.020033,0
0.37469,0.968562,0.000514,0.000004,0.032161,0.000984,0
0.03218,0.953282,0.99855,0.000008,0.055816,0.100433,5
0.980992,0.994452,0.091923,0.998963,0.021774,0.508853,4
0.986014,0.029204,0.343326,0.93585,0.095214,0.001018,6
0.03516,0.991765,0.000527,0,0.279219,0.019286,0
0.999201,0.117956,0.884128,0.584069,0.072289,0.001398,6
0.991681,0.990001,0.477621,0.000004,0.07753,0.8365,8
0.961731,0.588662,0.005506,0.999658,0.997142,0.913867,9
0.62521,0.707508,0.001319,0.88719,0.063598,0.003312,4
0.018728,0.924974,0.992472,0.000005,0.0028,0.419751,5
0.99411,0.023844,0.999869,0.99925,0.949593,0.534803,6
0.172632,0.038894,0.999792,0.997959,0.213797,0.995446,2
0.918831,0.532543,0.00725,0.999397,0.987925,0.752427,9
0.925625,0.120543,0.977779,0.000051,0.43523,0.067307,8
0.00107,0.161127,0.955009,0.000093,0.019519,0.765871,5
0.504657,0.625672,0.001646,0.000014,0.066661,0.000453,0
0.010249,0.992533,0.000182,0,0.919334,0.04596,0
0.773559,0.957906,0.009197,0.000003,0.103296,0.000829,0
0.923295,0.996298,0.010226,0.986146,0.00131,0.059195,4
0.001629,0.581274,0.000427,0.999645,0.6568,0.843796,7
0.931165,0.003628,0.009747,0.998449,0.90359,0.827396,3
0.107094,0.058884,0.000282,0.999756,0.994427,0.033955,9
0.113584,0.120589,0.998915,0.999536,0.119244,0.994056,2
0.018396,0.968862,0.993895,0.000008,0.006778,0.294272,5
0.700479,0.979794,0.002138,0.983916,0.997038,0.850524,9
0.999281,0.806684,0.931994,0.00682,0.002164,0.002388,0
0.990866,0.001932,0.998707,0.995119,0.598792,0.031353,6
0.999642,0.45323,0.997241,0.644246,0.254688,0.022357,0
0.999957,0.114185,0.990529,0.998914,0.21698,0.032662,6
0.999411,0.022733,0.957098,0.914348,0.362606,0.004728,6
0.004555,0.999828,0.00017,0.986582,0.997015,0.989175,1
0.916292,0.871075,0.005319,0.988092,0.192087,0.001917,4
0.764107,0.99766,0.00864,0.000945,0.481732,0.000233,0
0.005325,0.97762,0.000213,0,0.613407,0.00347,0
0.999708,0.138589,0.95489,0.712339,0.151768,0.003253,6
0.299428,0.116401,0.999543,0.999784,0.166124,0.994901,2
0.369221,0.037538,0.006368,0.999953,0.995508,0.016213,9
