@relation 'pendigits_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N9-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.99937,0.52815,0.975828,0.00038,0.004399,0.056705,0.716141,0.046898,0.581596,8
0.505688,0.752823,0.98936,0.998897,0.007188,0.693488,0.992534,0.940942,0.572793,2
0.004804,0.665609,0.001103,0.99636,0.969526,0.377848,0.062032,0.962787,0.9942,1
0.688958,0.10371,0.956199,0.992808,0.032586,0.005918,0.244272,0.990546,0.019961,4
0.003226,0.448133,0.050724,0.998073,0.79813,0.730554,0.483258,0.853361,0.997895,1
0.635151,0.573387,0.997042,0.996824,0.299132,0.678875,0.997308,0.000598,0.125935,6
0.865643,0.013232,0.023944,0.45938,0.070642,0.049882,0.000783,0.993105,0.246065,4
0.991061,0.906507,0.074889,0.000047,0.996757,0.012806,0.001354,0.999576,0.542238,0
0.999487,0.595066,0.574225,0.000043,0.113954,0.997902,0.294188,0.92796,0.984536,5
0.998348,0.192225,0.970209,0.000375,0.316167,0.006753,0.372882,0.699521,0.004491,0
0.024387,0.249568,0.133611,0.99904,0.312032,0.001643,0.189477,0.370068,0.002129,9
0.999354,0.321743,0.98076,0.000264,0.144192,0.004341,0.17492,0.006113,0.959422,8
0.055633,0.024472,0.876096,0.99946,0.992919,0.783556,0.937561,0.027929,0.013639,5
0.021421,0.827071,0.850201,0.999547,0.697292,0.003662,0.250389,0.074318,0.002708,9
0.004779,0.157532,0.648394,0.955481,0.065751,0.432564,0.996209,0.989527,0.850801,7
0.003096,0.099648,0.362079,0.998105,0.972491,0.111718,0.991102,0.512089,0.946262,3
0.010957,0.058509,0.797998,0.997992,0.963704,0.014138,0.961775,0.341111,0.444873,3
0.002872,0.200608,0.122532,0.99713,0.963344,0.020539,0.801136,0.080514,0.008952,9
0.537419,0.975992,0.991438,0.995399,0.080517,0.962229,0.995752,0.870729,0.846467,2
0.009129,0.793103,0.192172,0.999657,0.0325,0.975178,0.9405,0.965899,0.963555,2
0.997863,0.769714,0.750678,0.000042,0.281118,0.998839,0.34783,0.928304,0.991883,5
