@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N12-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute Class {opel,saab,bus,van}

@data
0.01019,0.662067,0.522582,0.011922,0.917854,0.783429,0.95818,0.074437,0.993445,0.982497,0.986966,0.287913,van
0.001163,0.076693,0.817672,0.198343,0.732578,0.363014,0.515703,0.405867,0.999935,0.999962,0.493642,0.518315,van
0.894137,0.494288,0.408342,0.000027,0.438931,0.152239,0.679341,0.079199,0.999225,0.017431,0.999992,0.976428,saab
0.000045,0.032582,0.961691,0.743264,0.121031,0.193174,0.951693,0.009234,0.999997,0.999939,0.689566,0.078495,van
0,0.987977,0.001407,0.838852,1,0.969671,0.963864,0.955276,0,0,0.999998,0.901765,bus
0.999999,0.979263,0.011484,0,0.070526,0.041752,0.010096,0.998223,0.999996,0.001886,1,0.806966,bus
0.000366,0.410021,0.941806,0.32606,0.056504,0.027066,0.975281,0.005755,0.999998,0.999721,0.90363,0.917737,bus
0.000097,0.538539,0.736162,0.644538,0.616849,0.072623,0.97691,0.039356,0.999471,0.999985,0.254472,0.059477,van
0,0.052177,0.963504,0.998617,0.089394,0.472797,0.835325,0.009394,0.999999,1,0.007684,0.013699,van
0.014184,0.022598,0.487919,0.012702,0.061883,0.323765,0.627065,0.010223,0.999984,0.919375,0.99926,0.051168,saab
0.000005,0.084948,0.829776,0.980031,0.475854,0.216966,0.590675,0.032118,0.999934,0.999999,0.054363,0.020241,van
0.000003,0.035474,0.988218,0.993298,0.146727,0.919245,0.146195,0.042567,1,1,0.004233,0.07131,saab
0.003656,0.857032,0.183167,0.081094,0.757767,0.477888,0.879402,0.06717,0.999819,0.999834,0.781542,0.368946,bus
0.001895,0.089986,0.613356,0.126633,0.870216,0.326279,0.476968,0.4385,0.999535,0.999927,0.58907,0.424648,van
0.020335,0.948917,0.179383,0.010024,0.080883,0.077311,0.979518,0.00848,0.999977,0.966876,0.997896,0.570606,bus
0.988267,0.87127,0.019424,0.000006,0.567335,0.040827,0.905253,0.255489,0.9991,0.104076,0.999967,0.63648,opel
0.000016,0.882534,0.897316,0.983048,0.991285,0.417876,0.014427,0.977197,0.999249,1,0.000365,0.074433,van
0.00052,0.826061,0.691351,0.202433,0.027933,0.260111,0.389553,0.007523,0.999971,0.960629,0.998802,0.176223,bus
0.996297,0.716519,0.199284,0.000002,0.363438,0.189491,0.737977,0.762811,0.999882,0.035743,0.999987,0.318573,saab
0.975115,0.919444,0.06183,0.000007,0.619714,0.098421,0.891447,0.182328,0.994976,0.006882,0.999995,0.554566,opel
0.005379,0.925285,0.03821,0.101262,0.922262,0.085148,0.65838,0.383906,0.999547,0.999968,0.512767,0.061007,bus
0.000005,0.960845,0.480933,0.992437,0.998358,0.041528,0.023258,0.891387,0.988234,1,0.001363,0.66817,van
0.000076,0.674728,0.833184,0.619379,0.08976,0.049164,0.989704,0.005258,0.999938,0.999768,0.845068,0.658173,bus
0.000048,0.443308,0.557802,0.882768,0.531688,0.035998,0.601258,0.070692,0.999967,0.999997,0.176582,0.02565,bus
0.940655,0.594604,0.077721,0.000017,0.140948,0.099021,0.957756,0.030326,0.999684,0.043114,0.999988,0.028761,saab
0.001191,0.490412,0.155509,0.189196,0.872415,0.095141,0.916213,0.158859,0.998896,0.999943,0.553111,0.035231,van
0.000013,0.929374,0.353801,0.985036,0.99736,0.054865,0.013427,0.932904,0.985244,1,0.00209,0.548125,saab
0.993165,0.62253,0.343596,0.000003,0.098683,0.964819,0.648139,0.409836,0.999848,0.005813,0.999997,0.044255,saab
0.030983,0.898816,0.562519,0.006978,0.049461,0.085362,0.162538,0.095114,0.999971,0.723576,0.999793,0.482484,bus
0.000248,0.596925,0.120344,0.715289,0.9832,0.805793,0.008161,0.961462,0.993051,0.999999,0.029688,0.856136,saab
0.00264,0.318268,0.319149,0.064714,0.960802,0.240461,0.757803,0.251789,0.985384,0.999366,0.859901,0.177707,van
0.000194,0.030574,0.898035,0.552387,0.131632,0.217848,0.958174,0.030043,0.999999,0.999996,0.17867,0.546653,saab
0.000012,0.116253,0.971184,0.967153,0.078511,0.27777,0.317609,0.015096,1,0.999999,0.166971,0.083517,opel
0.810917,0.136477,0.307997,0.000047,0.05346,0.997991,0.346991,0.027445,0.999949,0.013347,0.999996,0.206918,opel
0.000157,0.015764,0.603744,0.626405,0.018087,0.907242,0.222754,0.005087,1,0.999874,0.920523,0.011789,opel
0.006667,0.195143,0.953985,0.022532,0.734943,0.126017,0.96645,0.021808,0.999906,0.993625,0.980512,0.984287,van
0.013866,0.869476,0.03952,0.074484,0.984128,0.028175,0.096887,0.990099,0.998202,0.999998,0.066514,0.171488,bus
0,0.999134,0.000404,0.616358,0.999999,0.998726,0.999612,0.002441,0,0,1,0.087126,van
0.998134,0.660151,0.305231,0.000002,0.086338,0.068928,0.581764,0.904335,0.999984,0.122916,0.999973,0.051724,saab
0.000542,0.966838,0.020093,0.362743,0.989619,0.084749,0.788704,0.097902,0.974841,0.999881,0.645766,0.753737,bus
0.630351,0.69631,0.032175,0.000193,0.539368,0.198319,0.216046,0.062477,0.998543,0.090129,0.99998,0.402669,opel
0.000011,0.908238,0.884715,0.984923,0.996778,0.588196,0.008076,0.993514,0.998008,1,0.000349,0.71081,van
0.193395,0.388647,0.521013,0.001788,0.959179,0.047798,0.817293,0.94972,0.998379,0.999543,0.789423,0.187835,van
0.000244,0.329179,0.657673,0.525724,0.277745,0.089879,0.1405,0.014465,0.999942,0.999387,0.961569,0.098269,saab
0.991491,0.328384,0.97848,0.000002,0.132228,0.011703,0.98027,0.023755,0.999887,0.000565,0.999999,0.997011,saab
0.047734,0.69972,0.312924,0.006136,0.961044,0.056977,0.770129,0.90335,0.981394,0.999185,0.853158,0.068456,van
0.000777,0.535965,0.844987,0.386258,0.800601,0.11724,0.716675,0.600117,0.99995,0.999999,0.026699,0.02543,van
0.002512,0.947797,0.121963,0.2058,0.986997,0.480582,0.021308,0.994416,0.989983,0.999997,0.053885,0.702731,bus
0.015656,0.577129,0.246083,0.01136,0.978805,0.52964,0.90779,0.799687,0.956442,0.999008,0.820218,0.353233,van
