@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N18-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute hidden_unit_15output numeric
@attribute hidden_unit_16output numeric
@attribute hidden_unit_17output numeric
@attribute Class {opel,saab,bus,van}

@data
0.00027,0.001543,0.513006,0.578315,0.825533,0.757138,0.556657,0.240611,0.579826,0.237566,0.542928,1,0.99911,0.000484,0.74848,0.120634,0.014271,0.269171,van
0.000261,0.016677,0.782443,0.176974,0.951985,0.419776,0.092744,0.756489,0.473794,0.986575,0.653909,1,0.849168,0.000002,0.678151,0.408664,0.04174,0.642647,van
0.512985,0.009424,0.853251,0.264471,0.000724,0.39686,0.18388,0.284466,0.185889,0.009729,0.176474,1,0.999952,0.15067,0.361965,0.404119,0.000003,0.065385,saab
0.000174,0.000029,0.456228,0.304102,0.972315,0.185765,0.970667,0.770006,0.380411,0.996121,0.859862,1,0.674633,0.000001,0.48062,0.79696,0.075969,0.666643,van
0,0.992685,0.679352,0.396839,0.999717,1,0.00003,0.761655,0.000124,0.000036,0.999986,0,1,0.497014,0.222184,0.715597,0.948986,0,bus
0.994571,0.99276,0.122653,0.538634,0.000003,0.096337,0.000029,0.328078,0.278637,0.000019,0.109072,1,1,0.997634,0.27272,0.218365,0,0.895653,bus
0.000426,0.000092,0.729632,0.322435,0.915007,0.096061,0.910055,0.516161,0.139509,0.968472,0.092987,1,0.934279,0.000007,0.074476,0.906153,0.019252,0.278679,bus
0.000007,0.000477,0.179776,0.391873,0.99837,0.256984,0.726582,0.379488,0.118916,0.965745,0.507149,1,0.95024,0.000002,0.605883,0.5996,0.581575,0.678829,van
0.000005,0.000055,0.173726,0.530102,0.999791,0.459905,0.927829,0.742123,0.491341,0.999975,0.875144,1,0.016826,0,0.555279,0.916507,0.9017,0.896197,van
0.06519,0.000188,0.161411,0.570133,0.030982,0.308869,0.864758,0.750116,0.283511,0.845322,0.899629,1,0.985494,0.000168,0.833006,0.759037,0.00011,0.43954,saab
0.000017,0.000799,0.143364,0.423162,0.998715,0.387882,0.571125,0.603944,0.225649,0.99974,0.888749,1,0.130317,0,0.740093,0.701829,0.608467,0.754761,van
0.00004,0.000929,0.282694,0.232213,0.998415,0.795622,0.502759,0.711268,0.920864,0.999994,0.765408,1,0.003437,0,0.543799,0.771366,0.552764,0.900248,saab
0.000081,0.007607,0.311946,0.783879,0.971064,0.413887,0.163424,0.151659,0.481375,0.749768,0.210293,1,0.992476,0.000038,0.774519,0.430996,0.067476,0.379837,bus
0.00024,0.031732,0.683045,0.213703,0.946185,0.414745,0.056414,0.720435,0.381236,0.972698,0.695264,1,0.920434,0.000003,0.808973,0.285431,0.038431,0.524211,van
0.001617,0.000492,0.262457,0.889646,0.485407,0.119571,0.693213,0.111401,0.175869,0.116878,0.114904,1,0.999614,0.00272,0.306787,0.886114,0.002316,0.273171,bus
0.089627,0.04347,0.355197,0.539072,0.005202,0.10862,0.048897,0.140155,0.094725,0.000555,0.13172,1,0.999998,0.658815,0.86311,0.460555,0.000019,0.25792,opel
0,0.852252,0.213138,0.269971,0.999963,0.639551,0.000536,0.253233,0.609537,0.99985,0.841219,1,0.060207,0,0.285548,0.025632,0.984009,0.940319,van
0.011926,0.000498,0.124946,0.907323,0.231576,0.461882,0.638886,0.173868,0.237049,0.924191,0.781263,1,0.969958,0.000046,0.070665,0.884155,0.000667,0.435471,bus
0.297702,0.041699,0.291106,0.407341,0.000964,0.306851,0.062099,0.453966,0.288327,0.000605,0.419331,1,0.999997,0.69685,0.585253,0.137778,0.000004,0.714709,saab
0.152977,0.014435,0.298056,0.673206,0.001958,0.222473,0.149681,0.12644,0.138642,0.000347,0.328318,1,0.999998,0.785866,0.595011,0.187906,0.00001,0.17065,opel
0.000025,0.111673,0.138754,0.825382,0.991882,0.147267,0.015321,0.097645,0.141021,0.710386,0.485534,1,0.994043,0.000031,0.897088,0.292133,0.209112,0.709729,bus
0,0.912036,0.574206,0.559272,0.999971,0.269157,0.000296,0.093138,0.096498,0.999701,0.58504,1,0.104781,0,0.242482,0.026094,0.985766,0.471201,van
0.00007,0.000076,0.481231,0.611949,0.984343,0.27834,0.922604,0.421185,0.068046,0.948905,0.123094,1,0.961897,0.000007,0.134844,0.917805,0.109943,0.389848,bus
0.000021,0.003474,0.117382,0.591685,0.997323,0.124769,0.259082,0.325126,0.085519,0.99708,0.803821,1,0.61617,0,0.630451,0.638272,0.407061,0.802031,bus
0.15135,0.00073,0.068315,0.532006,0.002755,0.221858,0.69993,0.166858,0.114061,0.00162,0.576016,1,0.999994,0.481833,0.913994,0.709204,0.000012,0.550017,saab
0.000024,0.007065,0.231127,0.579154,0.992858,0.199753,0.185682,0.297925,0.115599,0.831708,0.701122,1,0.989517,0.000017,0.931049,0.457151,0.250658,0.69467,van
0.000001,0.947229,0.422037,0.556481,0.99993,0.352093,0.000181,0.166712,0.090559,0.999636,0.613095,1,0.120315,0,0.348462,0.030634,0.966034,0.549445,saab
0.676882,0.00459,0.091254,0.655454,0.00019,0.941243,0.325793,0.440483,0.814639,0.00104,0.652064,1,0.999995,0.685067,0.727875,0.215713,0.000001,0.842377,saab
0.073679,0.010703,0.193497,0.813229,0.026222,0.186706,0.10997,0.197966,0.236186,0.453325,0.716533,1,0.997349,0.001029,0.04076,0.731898,0.000066,0.411479,bus
0.00003,0.967136,0.618603,0.752263,0.995985,0.810933,0.000104,0.663784,0.618616,0.998235,0.457031,1,0.378325,0,0.690696,0.072199,0.331315,0.41415,saab
0.000112,0.018635,0.471239,0.348232,0.956481,0.465373,0.100181,0.386345,0.18559,0.790526,0.750801,1,0.990901,0.00003,0.885758,0.183608,0.051431,0.381147,van
0.000083,0.000248,0.644204,0.19385,0.987693,0.15442,0.809524,0.881077,0.53398,0.996189,0.294326,1,0.66414,0,0.64564,0.865597,0.138189,0.557965,saab
0.00016,0.000314,0.168194,0.443746,0.987203,0.369757,0.746752,0.608736,0.427392,0.999904,0.746339,1,0.049801,0,0.224303,0.749248,0.119697,0.803801,opel
0.87687,0.000935,0.336168,0.812367,0.000126,0.983937,0.593181,0.460867,0.959179,0.048709,0.717749,1,0.999769,0.058582,0.898358,0.624915,0.000001,0.408924,opel
0.007846,0.000154,0.067301,0.82398,0.502241,0.687087,0.834043,0.771822,0.766837,0.999211,0.925983,1,0.281901,0,0.886963,0.91797,0.002288,0.745562,opel
0.001363,0.000466,0.961312,0.082609,0.64354,0.268303,0.783067,0.459604,0.29995,0.769309,0.122472,1,0.989482,0.000065,0.246804,0.355809,0.004523,0.080228,van
