@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N3-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute Class {opel,saab,bus,van}

@data
0.046975,0.023232,0.042234,van
0.000989,0.29745,0.990609,van
0.999996,0.021117,0.000053,saab
0.000176,0.000089,0.999516,van
0,0.560112,0,bus
1,0.999915,0,bus
0.001559,0.000171,0.947268,bus
0.000002,0.00546,0.96121,van
0,0.00048,1,van
0.985752,0.000276,0.794009,saab
0,0.011326,0.999974,van
0.000001,0.02986,1,saab
0.001007,0.161713,0.4087,bus
0.001037,0.484449,0.95607,van
0.446905,0.001223,0.008676,bus
0.999963,0.218029,0.000001,opel
0,0.999929,0.999986,van
0.629616,0.001188,0.911699,bus
1,0.389438,0.000009,saab
0.999994,0.077499,0.000001,opel
0.000077,0.914593,0.220411,bus
0,0.999923,0.999222,van
0.000076,0.000142,0.907216,bus
0.000002,0.073472,0.998385,bus
0.999985,0.001174,0.000026,saab
0.000034,0.14057,0.554042,van
0,0.999951,0.999132,saab
1,0.035932,0.000145,saab
0.996873,0.053189,0.122039,bus
0.000009,0.999931,0.997568,saab
0.000685,0.30898,0.326656,van
0.000064,0.001245,0.999229,saab
0.000023,0.003722,0.999997,opel
1,0.002007,0.026359,opel
0.111103,0.000477,0.999974,opel
0.042982,0.001917,0.25411,van
0.000016,0.999947,0.4041,bus
0.000001,0.000004,0,van
1,0.492926,0.000044,saab
0.000004,0.850756,0.042446,bus
0.999936,0.142145,0.000323,opel
0,0.999993,0.999971,van
0.015244,0.951309,0.022127,van
0.007694,0.015198,0.994421,saab
1,0.000097,0.000003,saab
0.003628,0.936556,0.018926,van
0.000003,0.696435,0.995605,van
0.000027,0.99999,0.868813,bus
0.001939,0.840262,0.028496,van
0.076905,0.000154,0.956607,saab
0,0.999913,0.998498,saab
0.002677,0.125915,0.999653,saab
0.999998,0.012333,0.000001,opel
0.001597,0.000022,0.998204,bus
1,0.999814,0.000002,bus
0.000001,0.000065,0.999984,van
0.981917,0.004831,0.363441,saab
0.002409,0.979963,0.129179,van
0.999997,0.00051,0.000025,opel
0,0.999362,0.999602,van
0.999827,0.000051,0.009919,opel
0,0.998792,0.999884,opel
0.000015,0.999737,0.997196,van
0.000002,0.981743,0.430091,bus
0.829546,0.007295,0.04872,bus
0.000047,0.987826,0.956098,opel
0.000026,0.999939,0.814777,bus
1,0.040313,0.000001,opel
0.000022,0.017527,0.867587,van
0.99094,0.002995,0.000783,bus
0.999995,0.940481,0.000008,opel
1,0.007856,0.000001,opel
0.919893,0.008614,0.995379,opel
0,0.999995,0.999821,opel
0.004703,0.214314,0.975373,van
0.99985,0.006003,0.000282,opel
0.115046,0.47944,0.963179,saab
0.000001,0.999489,0.75036,saab
0.999996,0.086793,0.000043,bus
0.000041,0.999995,0.255501,bus
0.000038,0.826502,0.145731,bus
0.999996,0.515033,0.000166,bus
0,0.140144,0.999989,van
0.000384,0.996511,0.999718,opel
0.000042,0.003946,0.949903,bus
1,0.999826,0,bus
0.001286,0.349558,0.991401,van
0,0.992069,0.999983,van
0.086407,0.000253,0.863186,bus
0,0.999963,0.999613,opel
1,0.004687,0.000001,saab
0.227464,0.311749,0.997081,opel
0.999992,0.027628,0.00037,saab
0.04177,0.59346,0.036853,van
0.000005,0.961177,0.51009,bus
1,0.043772,0.0012,opel
0.000214,0.928902,0.94864,saab
0.000066,0.833986,0.91064,bus
0.999999,0.002012,0.225039,opel
0.000026,0.999986,0.676096,bus
0,0.000879,0,bus
0.00097,0.000201,0.968882,van
0.000001,0.053524,0.989602,van
0,0.534439,0.999911,van
0.999916,0.335315,0.526912,bus
1,0.018832,0.000013,saab
0.999996,0.00022,0.773376,opel
0.000115,0.92373,0.998603,opel
0.000015,0.999612,0.606244,bus
0.966408,0.013397,0.040935,bus
0.000014,0.031387,0.983878,van
0.009566,0.421589,0.116492,van
0.000017,0.998799,0.998515,opel
0,0.997085,0.999961,opel
0.004809,0.908174,0.814361,van
0.046821,0.044072,0.11281,van
0.999901,0.03746,0.004016,opel
1,0.001955,0.000045,saab
0.000027,0.99988,0.801136,bus
0.620423,0.002185,0.09047,bus
0,0.99962,0.999884,saab
0.004442,0.954643,0.037365,van
0.000051,0.000103,0.996805,van
0,0.530161,0.999999,saab
0.00001,0.515838,0.567608,van
0.001492,0.726627,0.047081,van
0.000028,0.952377,0.900864,bus
0.000004,0.55993,0.493068,bus
0.029544,0.002257,0.592254,van
0.999909,0.021446,0.003078,bus
0.999953,0.096196,0.016512,saab
0.003286,0.006766,0.999998,saab
0.999974,0.001812,0.998083,saab
0.000003,0.997067,0.998068,van
1,0.803788,0.000919,opel
0,0,0,van
0.000299,0.974329,0.015657,van
0,0.008933,0.981815,van
0,0.993674,0.999958,saab
0.000104,0.037541,0.926521,van
0.009424,0.000047,0.999993,saab
