@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N6-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute Class {opel,saab,bus,van}

@data
0.521023,0.286882,0.194911,0.864,0.68441,0.692535,van
0.058329,0.05596,0.999536,0.185738,0.851538,0.232207,van
0.999977,0.571778,0.000002,0.869611,0.764207,0.011622,saab
0.369154,0.000723,0.999988,0.937323,0.956425,0.885887,van
0,1,0,0.999958,0.999996,0.999994,bus
1,0.992131,0,0.008053,0.000058,0.000378,bus
0.933603,0.009367,0.999859,0.993794,0.977876,0.046353,bus
0.017316,0.030693,0.999987,0.984188,0.479892,0.758096,van
0.002686,0.000944,1,0.736569,0.971929,0.992554,van
0.999272,0.008382,0.437807,0.781942,0.709345,0.948134,saab
0.004567,0.015311,1,0.705163,0.83307,0.975204,van
0.004412,0.002109,1,0.019288,0.990529,0.972899,saab
0.367887,0.508669,0.996107,0.851883,0.356978,0.484964,bus
0.043621,0.143235,0.998145,0.221972,0.717826,0.294172,van
0.99894,0.295441,0.645209,0.996777,0.31726,0.246694,bus
0.999932,0.779591,0.000003,0.962715,0.008798,0.021072,opel
0.000002,0.900735,1,0.004482,0.204691,0.53074,van
0.999229,0.31293,0.988598,0.926356,0.828065,0.933984,bus
0.999975,0.388248,0,0.497044,0.010161,0.0432,saab
0.999973,0.846365,0,0.967057,0.02768,0.071266,opel
0.062509,0.853038,0.999443,0.815048,0.01056,0.519023,bus
0.000002,0.996146,1,0.141965,0.362572,0.088069,van
0.702212,0.028034,0.999929,0.997665,0.949088,0.324057,bus
0.027274,0.090015,1,0.89166,0.233698,0.864668,bus
0.999988,0.086163,0.000008,0.985131,0.011468,0.705534,saab
0.033615,0.199143,0.999389,0.929786,0.076192,0.764712,van
0.000005,0.99582,1,0.065043,0.256227,0.129262,saab
0.999997,0.161181,0,0.10669,0.055385,0.853228,saab
0.999893,0.698736,0.294075,0.779069,0.39275,0.347117,bus
0.000465,0.993303,0.999992,0.002111,0.68987,0.177698,saab
0.044968,0.410559,0.968825,0.737257,0.374276,0.580824,van
0.147642,0.001279,0.999995,0.826757,0.962703,0.269632,saab
0.209288,0.005207,1,0.474424,0.954755,0.919293,opel
0.999998,0.107629,0.000001,0.035957,0.881002,0.978995,opel
0.981201,0.003708,0.999965,0.159268,0.921295,0.998081,opel
0.782657,0.030515,0.776015,0.962782,0.991208,0.010294,van
0.001342,0.975498,0.999882,0.080279,0.002446,0.04601,bus
0.000005,1,0,1,0.999997,1,van
0.999988,0.122231,0.000002,0.32677,0.001287,0.073592,saab
0.015873,0.990705,0.999103,0.973003,0.242969,0.182884,bus
0.99994,0.915186,0.000109,0.778114,0.108535,0.478268,opel
0.000001,0.986165,1,0.001376,0.653623,0.08333,van
0.048694,0.200595,0.585931,0.406078,0.020246,0.030623,van
0.901237,0.216382,0.999881,0.790791,0.729907,0.909324,saab
0.999999,0.019377,0,0.994754,0.950631,0.000272,saab
0.041609,0.55724,0.744343,0.622765,0.014188,0.192009,van
0.002112,0.0425,0.999998,0.412634,0.08122,0.513386,van
0.000668,0.996979,0.999873,0.005344,0.07608,0.051779,bus
0.018217,0.623434,0.544489,0.482744,0.215981,0.222839,van
0.983506,0.000737,0.998239,0.945999,0.205492,0.928106,saab
0.000268,0.954619,1,0.027025,0.015733,0.220603,saab
0.376777,0.415866,0.999928,0.083898,0.942506,0.984533,saab
0.999997,0.702755,0,0.985026,0.005568,0.438596,opel
0.947401,0.001976,0.999974,0.981736,0.979554,0.767966,bus
1,0.989478,0,0.00036,0.000859,0.012724,bus
0.055446,0.000592,1,0.978994,0.99116,0.635464,van
0.999174,0.073702,0.424008,0.827306,0.336713,0.760787,saab
0.011064,0.306601,0.911459,0.180337,0.036343,0.073362,van
0.999997,0.050846,0.000006,0.993364,0.00952,0.581238,opel
0.000082,0.670145,1,0.025934,0.297244,0.035187,van
0.999988,0.003763,0.005091,0.988442,0.260241,0.394863,opel
0.000061,0.959618,1,0.006995,0.976054,0.126309,opel
0.000286,0.82832,0.999985,0.006353,0.596655,0.018103,van
0.003968,0.990596,0.999879,0.783172,0.119085,0.443045,bus
0.999356,0.594461,0.642131,0.976014,0.078584,0.916406,bus
0.006704,0.864851,0.99992,0.180318,0.95854,0.001357,opel
0.000398,0.990349,0.999359,0.007023,0.137346,0.154624,bus
0.999996,0.744937,0,0.836762,0.054741,0.22337,opel
0.033514,0.12625,0.999577,0.925108,0.381046,0.955231,van
0.999891,0.814582,0.006889,0.99106,0.279042,0.664528,bus
0.999842,0.434116,0.000005,0.327058,0.000573,0.013522,opel
0.999998,0.230233,0,0.553621,0.32851,0.140589,opel
0.996338,0.059066,0.978403,0.117965,0.811802,0.98388,opel
0.000001,0.993192,1,0.002786,0.049288,0.652398,opel
0.043515,0.096821,0.980948,0.075092,0.976011,0.440473,van
0.999923,0.060982,0.000264,0.95993,0.047139,0.117794,opel
0.926295,0.608713,0.998037,0.26278,0.115908,0.941387,saab
0.001228,0.997284,0.999978,0.299999,0.038471,0.386646,saab
0.999998,0.821276,0.000048,0.928742,0.180838,0.005445,bus
0.000611,0.993948,0.999327,0.019609,0.010297,0.00493,bus
0.065196,0.874662,0.999533,0.936341,0.024557,0.290869,bus
0.999995,0.936875,0.000111,0.564014,0.029611,0.103662,bus
0.003902,0.008648,1,0.610691,0.312411,0.762497,van
0.003375,0.622198,0.999948,0.00064,0.844335,0.640571,opel
0.359904,0.735768,0.999883,0.980808,0.87959,0.983747,bus
1,0.987885,0,0.00439,0.000428,0.000134,bus
0.055227,0.053529,0.999371,0.108104,0.521779,0.770517,van
0.000029,0.270302,1,0.07501,0.167774,0.505204,van
0.996053,0.31356,0.992135,0.976318,0.869458,0.987213,bus
0.000003,0.991618,1,0.029203,0.397293,0.07114,opel
0.999998,0.271161,0,0.954702,0.021342,0.36652,saab
0.890448,0.155163,0.998758,0.065313,0.890404,0.365332,opel
0.999971,0.068481,0.000053,0.739352,0.216222,0.010737,saab
0.168541,0.41115,0.242368,0.439433,0.161317,0.464321,van
0.008565,0.923388,0.999942,0.794616,0.031876,0.377513,bus
0.999996,0.410767,0.000001,0.066529,0.539389,0.663101,opel
0.020688,0.787406,0.999554,0.157525,0.98024,0.007,saab
0.043695,0.775973,0.999899,0.496212,0.240397,0.517344,bus
0.999992,0.108611,0.000081,0.036197,0.921301,0.987158,opel
0.000707,0.996668,0.999733,0.012428,0.027299,0.081036,bus
0,1,0,1,0.999991,1,bus
0.636247,0.008085,0.999377,0.98256,0.981503,0.335102,van
0.004182,0.085978,0.999994,0.918326,0.982445,0.024756,van
0.00006,0.210521,1,0.676386,0.989566,0.026576,van
0.999948,0.856876,0.060223,0.036222,0.256119,0.973615,bus
0.999998,0.234604,0,0.788312,0.279414,0.014537,saab
0.99998,0.004372,0.001291,0.08527,0.701135,0.998007,opel
0.019126,0.617343,0.999982,0.049476,0.203181,0.967421,opel
0.000913,0.987114,0.999484,0.056662,0.152005,0.097028,bus
0.999545,0.539311,0.281089,0.934638,0.337508,0.487463,bus
0.040077,0.139685,0.999974,0.915487,0.287015,0.96303,van
0.130338,0.37326,0.710002,0.556525,0.24265,0.532499,van
0.001414,0.984778,0.999985,0.005479,0.986347,0.054743,opel
0.000002,0.898135,1,0.153573,0.997779,0.000816,opel
0.022855,0.156376,0.979459,0.075623,0.751119,0.019076,van
0.352842,0.092441,0.361407,0.744435,0.911437,0.066473,van
0.999976,0.719856,0.002499,0.860955,0.152681,0.429688,opel
0.999999,0.151017,0,0.288512,0.949136,0.17929,saab
0.000632,0.986651,0.999547,0.01662,0.295067,0.031405,bus
0.995924,0.034827,0.68339,0.953752,0.306941,0.393862,bus
0.000182,0.932864,1,0.007005,0.973709,0.004455,saab
0.021167,0.608816,0.601544,0.293637,0.337128,0.021681,van
0.411357,0.002667,0.999991,0.99135,0.961962,0.470413,van
0.000156,0.046826,1,0.019434,0.999922,0.009946,saab
0.014158,0.431309,0.999836,0.900402,0.062251,0.498218,van
0.02581,0.571816,0.755073,0.668006,0.928522,0.002359,van
0.016537,0.877448,0.999938,0.480901,0.089975,0.588741,bus
0.000098,0.95167,0.889878,0.536499,0.962208,0.970589,bus
0.658846,0.021902,0.882365,0.902228,0.886392,0.530531,van
0.999978,0.693349,0.001379,0.834103,0.391604,0.305274,bus
0.999871,0.325181,0.000959,0.300018,0.816164,0.027712,saab
0.57815,0.007603,0.999998,0.020515,0.939317,0.998998,saab
0.999867,0.00362,0.106887,0.003309,0.988112,0.979205,saab
0.000776,0.369364,1,0.112704,0.059587,0.050591,van
0.999939,0.096915,0.000001,0.005532,0.285277,0.007078,opel
0.000015,1,0,1,0.999998,1,van
0.013143,0.595447,0.962777,0.726135,0.006634,0.064866,van
0.00278,0.045424,0.999997,0.985212,0.825981,0.423589,van
0.000126,0.672576,1,0.009416,0.98665,0.047264,saab
0.12069,0.166207,0.999782,0.917488,0.395042,0.826052,van
0.944544,0.000276,0.999997,0.52173,0.962396,0.992568,saab
0.000153,0.997705,0.999872,0.038464,0.063163,0.027871,bus
0.999999,0.00126,0.000008,0.004554,0.319798,0.988633,opel
0.000305,0.995306,0.999798,0.026995,0.015382,0.07076,bus
0.994448,0.004185,0.98643,0.753014,0.980114,0.321378,opel
0.999999,0.034384,0,0.6426,0.016524,0.850646,opel
0.363111,0.152139,0.35073,0.973156,0.966873,0.001633,van
0.372499,0.087967,0.999958,0.578988,0.90744,0.966144,bus
0.927785,0.000359,0.999956,0.96767,0.996266,0.078745,saab
0.037984,0.021169,0.999997,0.204843,0.989118,0.998711,van
0.999943,0.006228,0.004038,0.987315,0.236716,0.710473,saab
0.999816,0.638843,0.386412,0.697893,0.910089,0.987593,bus
0.932941,0.000405,1,0.166578,0.998396,0.997406,opel
0.999998,0.027081,0.00002,0.208004,0.167397,0.947028,saab
0.0214,0.306442,0.999911,0.761529,0.862215,0.477056,van
1,0.998869,0,0.370378,0.000657,0.010949,bus
0.371854,0.002464,1,0.041663,0.993724,0.780109,opel
0.000669,0.240201,0.999998,0.469466,0.212019,0.107746,van
0.163444,0.106007,0.999975,0.00211,0.648144,0.987322,saab
0.372629,0.020026,0.999868,0.889912,0.912011,0.001705,opel
0.00001,0.999414,1,0.128982,0.013927,0.449538,opel
0.999995,0.005065,0.000028,0.996042,0.964483,0.005294,opel
0.989065,0.003331,0.99862,0.651703,0.992817,0.946439,saab
0.007745,0.074612,1,0.426595,0.321827,0.648454,saab
0.999971,0.174875,0.000001,0.032982,0.00857,0.538832,opel
0.999985,0.061261,0.000001,0.006288,0.023235,0.715091,opel
0.934961,0.000111,1,0.497515,0.983281,0.988008,saab
0.999993,0.030946,0.000004,0.88891,0.840725,0.000569,saab
0.001678,0.994732,0.999905,0.60285,0.004866,0.32205,bus
0.000416,0.331705,0.999999,0.017968,0.094343,0.668582,van
0.999993,0.033327,0.000025,0.916443,0.10064,0.06543,opel
1,0.982315,0,0.001828,0.000059,0.000647,bus
0.282019,0.013149,0.995723,0.911106,0.979612,0.287359,van
0.99999,0.835806,0.00008,0.005075,0.229009,0.134116,bus
0.057423,0.208585,0.283354,0.448664,0.426506,0.118648,van
0.834131,0.750661,0.999779,0.908373,0.683339,0.99077,bus
