@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N9-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute Class {opel,saab,bus,van}

@data
0.995075,0.871167,0.51765,0.991947,0.618463,0.751113,0.98634,0.265774,0.988734,van
0.883419,0.049417,0.944618,0.999525,0.576217,0.303869,0.727277,0.669427,0.99983,van
1,0.50619,0.060635,0.051504,0.276504,0.184671,0.796385,0.020277,0.009637,saab
0.461952,0.012484,0.618631,0.99996,0.01299,0.162493,0.997628,0.788293,0.99998,van
0.022226,0.999995,0.000011,1,1,0.999907,0.999246,0.000023,0,bus
1,0.995272,0.293383,0.000002,0.397292,0.020713,0.000332,0.929303,0.000006,bus
0.921167,0.051781,0.543181,0.999222,0.004332,0.010508,0.978361,0.030984,0.999917,bus
0.159906,0.62202,0.773328,0.99998,0.166195,0.042085,0.993705,0.720286,0.999985,van
0.000287,0.010089,0.857074,1,0.006615,0.360702,0.987656,0.968199,1,van
0.999727,0.075788,0.051946,0.984213,0.016937,0.54017,0.990232,0.914449,0.960373,saab
0.006506,0.053659,0.6941,0.999998,0.148177,0.229169,0.964184,0.963251,1,van
0.001364,0.001353,0.962065,0.999996,0.018886,0.858289,0.608564,0.970523,1,saab
0.928823,0.943593,0.68666,0.996073,0.272958,0.337932,0.840823,0.365105,0.999935,bus
0.920727,0.134711,0.915598,0.999424,0.808847,0.330043,0.744148,0.708819,0.99962,van
0.999291,0.967389,0.100245,0.962761,0.006017,0.037998,0.96385,0.102074,0.992686,bus
1,0.994854,0.157779,0.023725,0.39197,0.038557,0.868815,0.243669,0.01856,opel
0.000287,0.310366,0.99263,0.999996,0.993573,0.196097,0.006295,0.986675,1,van
0.988722,0.358757,0.008581,0.998767,0.004364,0.252521,0.770674,0.630764,0.996396,bus
1,0.949061,0.301258,0.007184,0.354556,0.151697,0.760133,0.754961,0.002548,saab
1,0.992174,0.035538,0.027769,0.436347,0.107986,0.919387,0.196367,0.003139,opel
0.841135,0.991224,0.704984,0.997758,0.802532,0.057641,0.57787,0.900428,0.999969,bus
0.000229,0.697469,0.942537,0.999995,0.998728,0.022315,0.005179,0.589372,1,van
0.599028,0.349777,0.413593,0.999943,0.006186,0.021965,0.991886,0.067298,0.999913,bus
0.06439,0.398884,0.547724,0.999977,0.219847,0.029047,0.898124,0.956313,0.999999,bus
1,0.979924,0.026604,0.149106,0.037384,0.135141,0.996249,0.859621,0.020666,saab
0.750628,0.917836,0.741381,0.999766,0.643815,0.087365,0.97512,0.894786,0.999899,van
0.000656,0.691123,0.944756,0.999994,0.998582,0.035812,0.003702,0.778178,1,saab
1,0.922572,0.108059,0.013499,0.044771,0.96456,0.894931,0.943712,0.000887,saab
0.999887,0.517961,0.016579,0.944735,0.02381,0.069814,0.227674,0.568614,0.834833,bus
0.123228,0.534808,0.976817,0.999905,0.99234,0.784887,0.001402,0.665582,0.999994,saab
0.947909,0.718343,0.675239,0.99935,0.92239,0.290721,0.941371,0.679139,0.998357,van
0.546293,0.018881,0.966511,0.999895,0.016386,0.125601,0.984318,0.414488,0.999993,saab
0.033139,0.006124,0.561463,0.999972,0.010948,0.203412,0.841569,0.924536,1,opel
1,0.424235,0.035514,0.088362,0.010157,0.999012,0.889295,0.747418,0.020456,opel
0.833209,0.019801,0.156956,0.999742,0.002263,0.949541,0.944183,0.988447,0.999984,opel
0.996707,0.039304,0.735266,0.981486,0.266055,0.078678,0.981724,0.006282,0.996616,van
0.802401,0.975771,0.98223,0.998853,0.994552,0.015807,0.016521,0.969315,0.999935,bus
