@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.15-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.294073,8
1.006357,2
1.987351,1
-0.522883,4
2.445308,1
1.028724,6
-1.730133,4
-3.688508,0
-3.227495,5
-3.716231,0
0.736351,9
-3.244403,8
1.707447,5
1.015395,9
1.631105,7
2.61222,3
1.862848,3
1.627657,9
1.076179,2
2.402603,2
-2.839974,5
1.900784,1
-2.987788,5
-0.383462,8
-1.77249,6
-1.149816,4
-3.704818,0
0.619189,4
0.377269,8
1.150582,1
0.952642,8
-3.169928,5
0.743491,7
-4.387849,0
-2.100125,9
1.830146,3
-3.476396,5
-1.075968,4
0.165342,9
2.086211,2
1.539418,7
-3.279348,5
-2.040163,6
2.292697,3
2.56335,3
-0.584951,6
2.142396,3
1.805308,2
-3.594061,5
1.024352,4
2.021352,3
2.767788,1
-3.924954,0
2.444372,1
-1.916095,4
-3.513177,5
2.219724,3
1.482077,2
-3.734189,0
-0.970454,6
1.423976,8
2.826682,5
-3.613979,0
1.519504,3
2.145778,7
0.360901,8
2.841379,5
-0.931709,6
-0.735441,8
-3.120356,8
1.755083,9
-4.448653,0
-1.590884,4
1.469373,1
1.237634,9
0.239979,7
-4.439093,0
-0.969418,6
2.337154,3
2.553584,3
0.649991,2
-0.795493,4
1.861227,1
-1.225328,6
-3.724527,5
-2.051848,5
1.065731,7
-4.026398,0
-3.872146,0
1.314361,9
-4.096463,5
-1.842073,6
-1.901193,4
0.17432,7
1.674416,1
-4.832991,0
2.209517,1
0.21757,9
-0.582424,6
2.489027,2
-4.05834,0
1.783816,3
-3.680112,0
-3.564018,8
-3.864437,0
2.319962,3
-3.831577,0
-4.248301,0
-3.614325,5
-0.156671,4
-0.943864,6
-4.243915,0
-1.652219,6
-3.373053,8
1.886857,9
-1.123107,4
-3.595347,5
1.148061,6
1.462197,2
1.504974,9
-2.657012,8
-2.090866,5
-3.80612,0
-3.812707,0
-4.282399,0
-1.249234,4
1.656151,7
