@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.35-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.294073,1.48633,8
1.006357,2.003248,2
1.987351,-2.512003,1
-0.522883,-0.853698,4
2.445308,-0.87696,1
1.028724,2.191497,6
-1.730133,-2.602285,4
-3.688508,-2.651591,0
-3.227495,1.930201,5
-3.716231,-0.120453,0
0.736351,-2.3941,9
-3.244403,0.306191,8
1.707447,-0.170265,5
1.015395,-1.569143,9
1.631105,0.812511,7
2.61222,-0.564513,3
1.862848,-0.932072,3
1.627657,-1.813256,9
1.076179,2.58411,2
2.402603,0.821787,2
-2.839974,2.113824,5
1.900784,-2.69754,1
-2.987788,2.07454,5
-0.383462,1.240576,8
-1.77249,0.437223,6
-1.149816,-2.348578,4
-3.704818,0.142168,0
0.619189,-2.181545,4
0.377269,1.90777,8
1.150582,0.533314,1
0.952642,0.432982,8
-3.169928,2.057946,5
0.743491,1.79046,7
-4.387849,-2.407136,0
-2.100125,-3.843219,9
1.830146,-0.713578,3
-3.476396,2.054499,5
-1.075968,-0.702057,4
0.165342,-2.146252,9
2.086211,2.113487,2
1.539418,2.068539,7
-3.279348,1.891748,5
-2.040163,0.096102,6
2.292697,-0.973971,3
2.56335,-1.39539,3
-0.584951,1.549743,6
2.142396,-0.38031,3
1.805308,2.194772,2
-3.594061,1.597866,5
1.024352,-2.043241,4
2.021352,-0.86311,3
2.767788,-0.785277,1
-3.924954,-0.810698,0
2.444372,-1.337593,1
-1.916095,-2.379111,4
-3.513177,1.874416,5
2.219724,-0.8937,3
1.482077,2.21321,2
-3.734189,-1.389235,0
-0.970454,0.676828,6
1.423976,1.737329,8
2.826682,-0.774162,5
-3.613979,-3.459016,0
1.519504,-0.556111,3
2.145778,1.686108,7
0.360901,2.616611,8
2.841379,-0.444137,5
-0.931709,1.040785,6
-0.735441,2.162345,8
-3.120356,-0.231742,8
1.755083,-1.197419,9
-4.448653,-2.451093,0
-1.590884,-0.990958,4
1.469373,-2.871419,1
1.237634,-1.324122,9
0.239979,2.364791,7
-4.439093,-0.722151,0
-0.969418,0.646714,6
2.337154,-0.945228,3
2.553584,-1.308803,3
0.649991,2.638024,2
-0.795493,-0.927988,4
1.861227,2.2675,1
-1.225328,0.57115,6
-3.724527,1.615595,5
-2.051848,2.031714,5
1.065731,0.639913,7
-4.026398,-1.674396,0
-3.872146,-1.44835,0
1.314361,-2.445005,9
-4.096463,1.621161,5
-1.842073,0.685796,6
-1.901193,-1.580133,4
0.17432,0.058353,7
1.674416,-1.587148,1
-4.832991,-1.628745,0
2.209517,-2.041002,1
0.21757,-1.257902,9
-0.582424,1.992227,6
2.489027,0.956839,2
-4.05834,-1.922243,0
1.783816,-1.142206,3
-3.680112,-1.197781,0
-3.564018,0.677344,8
-3.864437,-3.360738,0
2.319962,-0.293353,3
-3.831577,-1.579756,0
-4.248301,-2.049953,0
-3.614325,1.777823,5
-0.156671,-0.875679,4
-0.943864,0.144798,6
-4.243915,-2.319562,0
-1.652219,0.622266,6
-3.373053,-0.146206,8
1.886857,-2.167233,9
-1.123107,-1.722814,4
-3.595347,1.942225,5
1.148061,2.139254,6
1.462197,2.966294,2
1.504974,-1.919493,9
-2.657012,1.179603,8
-2.090866,1.85215,5
-3.80612,-1.548183,0
-3.812707,-2.972248,0
-4.282399,-1.515502,0
-1.249234,-1.212415,4
1.656151,-1.924386,7
1.785319,-0.761983,3
1.617891,-2.585709,9
1.566376,2.469598,2
-3.614347,1.725229,5
0.788984,-2.810339,9
-3.252839,0.900243,0
0.391508,2.094179,6
-1.361269,1.266592,0
-0.009094,1.127736,6
-0.775105,0.881784,6
0.957807,-3.792546,1
-0.842713,-1.764913,4
-3.55998,-2.307735,0
-4.045745,-2.643096,0
-1.42549,0.756299,6
1.717667,2.611413,2
1.747836,-1.866437,9
-3.471459,1.762936,5
2.701819,-0.923329,3
1.420188,-3.52533,1
-1.171209,-1.565047,4
0.390015,2.407138,2
-1.255763,0.619276,4
2.344461,-2.622079,1
2.0694,-2.250852,1
2.754532,0.816163,1
-1.987302,0.468446,6
2.124084,-1.529084,1
1.223579,-1.008031,9
-2.807025,0.537966,8
-0.644428,0.470485,4
0.53431,2.547106,7
2.437252,-0.744668,3
2.055339,-1.223985,1
1.910749,-1.099139,9
0.450432,0.502506,7
-0.758597,-2.584295,4
2.294241,-1.221555,3
-3.416531,0.624492,0
1.994951,2.319579,7
2.66747,-0.039434,5
-3.233558,1.115713,8
2.386523,-0.728459,3
-0.616134,0.721585,6
-3.538985,1.852234,5
2.891857,1.606597,1
-3.617398,1.991682,5
2.438255,-2.204897,1
1.815286,-1.027446,1
1.540018,-2.30817,1
1.745839,-2.482228,9
-1.506177,-0.974457,4
-3.070875,2.368761,5
1.870476,-2.396241,7
0.205839,0.072508,7
0.900941,2.479995,7
-4.226251,-0.448796,0
2.774054,-1.594096,3
-1.118114,1.129909,6
1.196264,-2.941875,9
-0.419932,1.905687,6
1.298287,-1.889132,9
-4.122599,-3.151253,0
0.42042,-2.320771,9
-0.267886,2.49907,7
2.239909,-2.250276,1
-4.09833,0.216187,0
1.73266,-0.806271,5
-3.635117,0.388873,0
1.54342,-0.786346,5
3.083232,-0.707448,1
1.443311,-2.37787,9
-0.886663,-0.601394,4
-0.647754,-2.879939,4
-0.197845,-2.558686,4
-3.850973,1.504044,5
2.471464,2.04334,2
0.548189,2.100381,6
-2.312856,0.422872,8
2.195661,0.186492,2
1.882042,-2.235982,1
1.365991,-3.316194,1
2.046434,-0.778696,3
-2.753134,0.576505,8
0.209343,-2.620039,4
1.408022,2.154342,7
1.754527,0.186232,1
-3.534599,1.537727,5
2.400354,-0.705114,7
-3.109088,1.82769,5
-3.159365,1.363104,8
-3.956704,1.668836,5
-1.370507,-0.799401,4
-0.541143,0.548035,6
2.355764,1.15259,2
2.576238,-0.853957,3
-0.87305,0.850084,4
-0.767459,-2.410487,4
0.184452,2.258212,8
-0.903032,0.852587,6
0.712187,2.52026,2
-3.258326,2.506357,5
-3.930543,1.569779,5
-0.96775,0.800235,6
-0.235985,2.061305,7
0.091096,2.279163,7
1.775095,-2.809601,1
1.914523,1.154439,7
1.598271,-1.103016,1
2.299108,-0.630486,3
-3.179449,0.87813,8
0.638616,-3.213563,9
-4.611739,-2.120013,0
2.316391,-0.685951,3
-4.469049,-0.573849,0
0.418521,2.150602,7
0.9018,2.36112,8
0.818671,2.330323,2
2.029017,-1.749118,9
-2.091178,-1.058692,0
-1.473454,-3.98457,9
1.416918,-0.404241,9
1.271349,-3.389067,1
-1.272901,-1.520324,4
-0.733502,1.506541,6
1.583139,-0.709449,3
2.392792,0.841857,2
-0.088288,1.855046,6
-3.698159,-1.56954,0
0.963588,-0.02983,8
-3.832432,-0.991634,0
-2.11523,1.762055,8
0.975556,-2.926802,9
1.950026,-0.9843,3
-3.274058,-0.575336,8
0.841798,1.960153,6
-1.167092,-0.333799,6
2.219215,1.947508,2
-4.548225,-1.792431,0
1.540603,-0.104468,9
2.274306,-1.812927,7
-3.90537,-1.874171,0
-3.349266,-0.410054,8
-1.357779,1.782783,8
-1.271262,-0.290311,4
-1.662972,0.046729,4
-0.859883,0.431696,6
-0.515509,1.631208,6
-0.809277,-0.528617,4
-4.288576,-2.201218,0
3.104457,-0.176775,1
2.264678,1.878418,2
1.478861,1.251145,7
2.156575,-1.273948,3
-2.712764,-2.004233,4
2.398755,-0.926067,9
-0.178455,1.028906,6
1.17254,0.020104,5
1.405543,2.167084,2
-0.89102,1.487807,6
1.647904,1.585715,7
-0.370602,1.104832,6
0.687336,-0.777712,5
2.702534,-0.88909,3
1.918829,2.287076,2
0.806782,-0.368775,5
-0.494771,1.896266,6
-0.620553,-2.097798,4
2.285761,-0.999871,3
0.77663,1.015684,8
1.352243,1.478468,2
-3.070212,2.118775,5
2.595358,-0.930907,3
3.035265,-0.173344,5
2.077129,1.4894,7
-0.934558,-0.644825,4
2.13029,-0.968335,3
1.431894,-0.87022,5
1.340724,-3.184252,1
2.415826,-1.130237,2
1.54581,-0.220609,5
0.042399,1.390751,8
2.084093,-1.400831,8
-1.596354,-0.645013,4
0.68085,0.956511,8
2.411225,-0.481281,5
0.403699,-2.314206,9
2.49957,-0.876576,3
-3.239937,-2.719153,0
2.090184,0.958725,2
0.303101,2.315127,7
1.650128,0.56578,1
2.45912,1.409105,1
1.24633,-2.655175,1
-0.997317,-0.518466,4
0.59279,1.878789,7
2.164896,0.100975,7
-3.340049,-0.678426,8
2.271499,-2.371956,1
1.512086,-2.226776,9
-4.233933,-1.813603,0
-0.287724,2.021716,6
0.03017,0.843381,6
-0.538307,2.081569,8
0.184403,2.340454,2
1.715286,-1.065937,3
-0.74058,2.137046,8
1.485999,1.330896,2
-2.103947,2.525087,5
1.927505,-0.371361,3
-0.601702,0.797121,6
2.080168,-1.2338,3
2.204082,1.315686,2
1.626499,1.364176,2
-0.709278,1.054149,6
0.421611,2.487127,2
-3.814303,0.185859,0
-0.24881,2.283364,8
1.516499,-2.061286,9
0.54422,2.709063,7
-3.034052,1.686236,5
-1.447817,-2.210597,4
2.034423,-1.23555,3
2.325107,-1.053391,1
1.394293,-2.396854,1
-0.044741,1.357439,6
1.159046,-2.610686,9
-3.473494,-3.680834,0
2.553009,1.62863,2
-4.321986,-2.860069,0
1.562008,2.062699,2
-0.971743,3.144138,8
-3.916505,-2.250245,0
1.308293,2.53411,2
-0.417472,1.511162,6
-1.349352,0.896994,6
0.839491,-3.539851,1
0.306414,2.520338,7
0.656143,-1.276723,9
1.351799,2.462748,2
1.267536,2.667573,2
-1.826655,-0.590092,4
-3.109309,2.000637,5
2.521978,-0.894157,3
-0.534667,-2.47269,4
1.515442,1.84524,2
1.305083,2.769501,2
-1.497225,2.639344,8
-3.480753,1.880714,5
-4.361914,-2.432258,0
-2.273989,1.031953,8
1.913024,-1.206824,3
-3.960894,-2.087402,0
0.75006,2.527763,7
2.089382,-0.482752,3
-1.695674,0.58047,6
1.700605,2.336216,7
1.309351,2.962937,2
1.513086,-3.132112,1
-0.525747,-1.853562,4
-3.925256,-1.687426,0
1.702856,-1.948515,7
1.353219,1.262993,7
-1.25321,0.451456,6
-2.440573,0.646621,0
1.54918,-1.048158,3
-0.307466,1.724748,8
-0.604115,1.477382,6
0.177196,2.084177,6
-4.636625,-1.299711,0
-3.610229,-0.691081,8
1.436902,2.213506,2
1.796929,-1.000501,3
2.174938,-1.034856,3
0.464473,-2.774265,9
-3.614275,1.353234,5
2.308153,-2.262763,1
-3.560149,0.920845,0
2.048591,-2.527797,9
-1.633558,0.755372,6
1.493715,0.034018,1
-1.127309,0.9543,6
2.084672,-0.961871,3
1.709523,1.571144,7
-1.267817,2.425473,8
2.640804,-0.420938,1
1.786029,2.020738,2
1.686801,0.036876,5
1.855703,-2.039249,9
0.686641,2.668599,2
2.642304,-1.060846,3
-1.360942,-1.725124,4
2.434693,-1.058878,7
0.29242,2.44951,7
-3.185375,-0.029259,8
-1.369111,-0.351409,4
1.932973,-0.939301,3
1.698845,-0.683032,9
0.722877,2.315409,7
-2.315021,2.107952,8
0.940969,0.083954,5
-4.806421,-1.015208,0
2.474137,-0.672981,3
-3.352058,-3.10416,0
1.011966,2.629671,8
-1.227473,-1.327327,4
1.68755,1.626471,7
-1.471739,-0.129477,6
-3.152433,2.306368,5
1.184771,1.919705,2
2.198172,-1.746688,2
-1.726926,-2.302044,4
-2.223647,0.898531,0
2.3026,-0.832713,3
-4.129707,-1.814228,0
0.405595,2.096398,7
2.227338,-0.892224,3
2.083736,-1.177235,3
-0.900602,-3.081786,4
2.724465,-0.425812,5
1.894995,0.584121,5
1.273516,-0.081911,7
1.678117,1.256535,7
-0.771014,-0.600433,4
2.918779,0.147773,5
-4.516621,-1.041818,0
1.696015,-2.474633,9
2.351579,-1.986845,1
1.597435,-0.169425,5
1.691572,2.471149,2
-0.362854,1.864163,6
2.224252,-0.657517,3
2.496182,-1.11594,1
1.457073,2.918097,2
2.830757,-0.612625,5
1.425349,-2.296063,9
2.279256,-1.852024,9
1.2168,1.044013,8
0.179515,2.536725,8
-1.41625,-2.068082,4
0.612418,0.889377,7
0.765557,2.169759,6
2.438082,-1.569868,9
-0.967095,-4.006855,0
-1.008372,0.301301,6
-0.109802,-3.135117,9
-0.104398,-3.411583,9
1.143768,1.772026,7
-1.497785,0.955847,6
-1.322697,1.623439,0
2.080949,2.43641,2
-3.436234,-2.110142,0
2.417797,1.921033,2
2.642614,-0.078576,5
0.647829,2.108121,6
1.94353,1.721142,7
-0.811187,0.448237,6
-2.249347,2.096491,5
-4.652863,-1.578754,0
-4.013195,-0.558852,0
-4.187996,-3.234003,0
1.250055,-0.041367,9
-2.966466,2.174263,5
1.470646,2.866847,7
-1.651255,-2.239631,4
2.243527,-1.436362,3
1.445795,1.71714,2
2.357105,1.073364,1
2.349796,-1.594093,1
-2.624801,1.849765,5
2.235138,0.981781,2
2.397208,-1.019013,3
-4.254774,0.24899,8
1.933691,-0.138443,5
1.847554,-2.214444,8
1.397913,1.483436,7
-4.248156,-1.043222,0
1.467174,2.19395,7
-2.573231,1.567997,5
-2.199792,2.535956,5
-3.839116,-0.846385,8
2.303488,-1.168959,1
-0.429673,-3.138435,4
-0.957138,-0.254824,4
0.152329,1.277229,8
2.517899,0.61505,2
1.275166,0.042885,5
0.653874,1.387445,7
3.447042,-0.687826,1
-0.808937,-2.26274,4
1.237884,2.409453,2
-3.040074,1.223641,8
2.745804,-1.69004,1
1.055353,0.409883,1
-2.296693,2.458488,5
1.075881,2.466433,1
0.114855,2.200946,7
3.384416,0.608681,1
-2.814645,0.754391,0
1.434463,2.466077,2
0.527094,2.356269,8
1.077221,2.04714,1
-2.86502,2.34072,5
2.042063,2.676251,7
-0.825054,-2.352022,4
-3.548014,1.923057,5
-1.941667,0.222821,6
1.705885,2.128225,2
2.38983,-0.462396,3
2.003736,1.996473,7
-2.123713,2.046323,8
0.364091,1.176306,8
-3.490236,0.19152,0
-0.922485,-0.70277,4
-2.918137,1.88738,5
0.779989,1.943469,7
1.444959,1.771397,7
-0.329726,0.738743,6
-4.046446,-0.661091,0
-0.953746,-0.462162,4
-3.652883,0.129429,0
-3.178431,0.314661,8
1.812649,-1.926579,7
1.82636,0.857877,7
-0.425387,0.44023,4
2.798438,-0.385452,1
2.282848,1.507073,2
-3.267881,1.490754,5
2.172964,-0.901735,1
1.893126,2.076739,2
1.864466,2.053417,2
3.064381,-1.30027,9
-0.671869,-2.115089,4
-1.772513,2.25297,8
1.869719,-1.191525,3
1.527838,-2.069721,9
2.418962,1.97228,2
-3.160041,1.209588,8
-4.002861,-1.988733,0
2.555825,-0.911635,3
1.853666,-0.838026,3
0.156407,2.073848,6
-0.359313,-1.527902,4
-1.092956,-1.113501,4
-0.916748,0.202406,6
-3.182727,-0.418552,8
-0.306767,1.005587,6
1.208186,2.643034,2
-0.166052,2.218787,8
-3.052695,2.557556,5
0.82121,1.878012,2
0.78207,2.183897,2
-2.607945,2.503385,5
-0.621263,1.115239,6
1.930952,-0.481491,3
-3.458896,-2.440042,8
-2.884556,-0.264125,8
-1.567643,2.119663,8
1.813856,-1.806406,9
0.377854,2.072734,2
-3.929047,-2.749853,0
-2.936774,2.051905,8
2.335309,-1.236247,3
1.291072,-1.821591,9
-1.163168,1.376134,8
-0.627003,-1.340898,4
-2.538435,1.367369,5
2.207155,-2.329544,1
-3.642214,0.187339,0
-0.091413,-0.735837,4
-4.172825,-1.988833,0
1.085992,-0.346148,5
1.832085,-0.90162,3
-1.200131,1.500365,6
0.226156,-2.419057,9
-1.035427,-1.965909,4
1.961728,0.940371,2
-1.115726,2.470308,8
-3.504315,0.290186,0
-3.418596,1.806533,5
-0.431703,-3.01412,4
-0.151172,1.28672,6
2.652593,0.229463,8
1.699765,-2.723569,1
-1.394775,-2.731377,4
1.501689,2.529474,1
1.743463,-2.6619,1
3.073285,0.528211,1
1.341374,-2.198507,9
-2.491398,1.846177,8
-3.284753,1.685563,5
2.040216,-1.15222,3
1.229563,2.53312,2
1.540775,-0.749804,3
1.763343,2.303985,2
-0.321602,2.660777,7
-4.356874,-1.736319,8
-1.475685,-2.157888,4
1.89128,-1.771711,9
2.967102,0.012871,8
-3.008491,-3.287205,0
1.69039,-1.106886,3
-3.750475,1.822583,5
-0.288254,1.603342,8
2.045352,-2.011734,1
2.042092,-0.578758,7
-2.450629,-4.350786,0
2.07854,-0.59834,3
-3.522885,1.402195,5
2.031138,-1.001392,3
1.207977,1.212742,7
1.833106,-0.014328,5
-0.298798,0.852449,6
1.100987,-1.776543,9
-2.72917,-2.878461,0
2.275867,-0.382408,5
2.266505,-0.744324,3
1.741972,-1.415577,9
2.092712,-0.944521,3
2.722014,0.085205,5
1.747913,1.224228,7
2.676696,-0.660726,3
2.149931,1.990037,2
1.294505,-1.93057,9
1.491397,-3.229976,1
0.415093,-1.98611,4
0.092255,1.748443,6
0.917118,1.53982,7
0.908597,-3.526831,1
2.055792,-0.744032,3
1.254845,-0.762252,7
-0.046997,-2.654273,4
0.626822,1.861541,6
-0.791137,1.174606,6
-0.625895,-2.74272,4
-1.076747,0.427009,6
1.54166,1.580244,2
2.223408,1.915429,2
1.88336,-2.220601,7
0.83355,0.956723,1
1.676302,-0.410207,5
2.310338,-0.734119,3
2.330125,-1.400526,3
-2.441264,0.080763,6
2.187428,-1.952954,1
2.058163,0.191778,1
0.91667,-2.464225,9
2.514031,1.398922,2
2.415611,2.118228,1
-4.003311,-2.520484,0
1.562197,-1.78909,9
-2.437116,-3.604947,0
-2.959326,0.619627,8
-1.008175,0.54427,6
-0.629146,1.894147,8
2.199338,-0.933732,3
0.672476,2.191117,2
-3.275386,1.832346,5
3.061874,-0.572064,1
0.314897,2.803487,2
1.841505,2.453198,1
0.127335,-1.128778,9
0.983587,-1.142901,9
-4.070129,-2.522228,0
2.137018,0.020233,3
-2.92885,-0.762622,8
-1.260595,-3.698707,9
2.821192,-0.987584,5
1.790535,-2.355383,7
