@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.55-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute '-0.451input1+0.4  input7-0.342input11-0.34input2+0.306input5...' numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.294073,1.48633,-0.496765,8
1.006357,2.003248,-0.024502,2
1.987351,-2.512003,2.476483,1
-0.522883,-0.853698,-1.029251,4
2.445308,-0.87696,2.080409,1
1.028724,2.191497,-2.596325,6
-1.730133,-2.602285,1.106317,4
-3.688508,-2.651591,2.136826,0
-3.227495,1.930201,2.925542,5
-3.716231,-0.120453,-1.405562,0
0.736351,-2.3941,-1.943763,9
-3.244403,0.306191,-0.716965,8
1.707447,-0.170265,-2.179639,5
1.015395,-1.569143,-2.510984,9
1.631105,0.812511,1.174938,7
2.61222,-0.564513,0.010025,3
1.862848,-0.932072,-1.243103,3
1.627657,-1.813256,-1.749225,9
1.076179,2.58411,0.537875,2
2.402603,0.821787,1.928862,2
-2.839974,2.113824,3.116334,5
1.900784,-2.69754,2.294887,1
-2.987788,2.07454,2.416895,5
-0.383462,1.240576,0.572704,8
-1.77249,0.437223,-1.913894,6
-1.149816,-2.348578,0.624165,4
-3.704818,0.142168,-0.962419,0
0.619189,-2.181545,0.614567,4
0.377269,1.90777,0.428035,8
1.150582,0.533314,-1.250084,1
0.952642,0.432982,0.559829,8
-3.169928,2.057946,1.625141,5
0.743491,1.79046,1.204402,7
-4.387849,-2.407136,1.220548,0
-2.100125,-3.843219,4.546753,9
1.830146,-0.713578,-1.067179,3
-3.476396,2.054499,2.164417,5
-1.075968,-0.702057,-2.482657,4
0.165342,-2.146252,0.24121,9
2.086211,2.113487,0.97522,2
1.539418,2.068539,1.41833,7
-3.279348,1.891748,2.361718,5
-2.040163,0.096102,-2.162013,6
