@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute '-0.451input1+0.4  input7-0.342input11-0.34input2+0.306input5...' numeric
@attribute 0.562input13+0.487input15-0.358input3-0.298input5-0.252input1... numeric
@attribute 0.452input2-0.417input3+0.392input9+0.361input7+0.305input4... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.294073,1.48633,-0.496765,0.341497,-1.2245,8
1.006357,2.003248,-0.024502,2.021497,0.325416,2
1.987351,-2.512003,2.476483,-0.380605,-0.327486,1
-0.522883,-0.853698,-1.029251,2.167862,1.222234,4
2.445308,-0.87696,2.080409,-0.307028,-0.502885,1
1.028724,2.191497,-2.596325,-0.531136,-1.15733,6
-1.730133,-2.602285,1.106317,1.150188,1.42463,4
-3.688508,-2.651591,2.136826,-0.667474,-0.382526,0
-3.227495,1.930201,2.925542,-0.608057,-0.340401,5
-3.716231,-0.120453,-1.405562,-0.137019,0.356868,0
0.736351,-2.3941,-1.943763,1.095399,0.770195,9
-3.244403,0.306191,-0.716965,-0.878808,-2.484858,8
1.707447,-0.170265,-2.179639,-1.787769,0.756109,5
1.015395,-1.569143,-2.510984,0.957346,-0.509835,9
1.631105,0.812511,1.174938,0.457972,1.275754,7
2.61222,-0.564513,0.010025,-1.428452,0.07952,3
1.862848,-0.932072,-1.243103,-1.057182,0.152072,3
1.627657,-1.813256,-1.749225,-0.887811,0.508137,9
1.076179,2.58411,0.537875,1.245116,-0.566704,2
2.402603,0.821787,1.928862,1.439,0.445212,2
-2.839974,2.113824,3.116334,-0.849656,-0.669996,5
1.900784,-2.69754,2.294887,1.367881,-1.324808,1
-2.987788,2.07454,2.416895,-0.593538,-0.854833,5
-0.383462,1.240576,0.572704,-0.344719,0.995256,8
-1.77249,0.437223,-1.913894,-0.188277,0.635177,6
-1.149816,-2.348578,0.624165,1.440963,1.621509,4
-3.704818,0.142168,-0.962419,0.522842,0.524559,0
0.619189,-2.181545,0.614567,-0.827127,1.713176,4
0.377269,1.90777,0.428035,-0.108648,0.568967,8
1.150582,0.533314,-1.250084,-0.882875,0.350115,1
0.952642,0.432982,0.559829,-1.268621,-0.958826,8
-3.169928,2.057946,1.625141,-0.939592,-1.075689,5
0.743491,1.79046,1.204402,0.363359,1.160094,7
-4.387849,-2.407136,1.220548,-1.137457,0.294468,0
-2.100125,-3.843219,4.546753,0.310133,-3.174137,9
1.830146,-0.713578,-1.067179,-0.708268,-0.134553,3
-3.476396,2.054499,2.164417,-0.334777,-0.685701,5
-1.075968,-0.702057,-2.482657,0.978157,0.402948,4
0.165342,-2.146252,0.24121,1.108843,-0.971728,9
2.086211,2.113487,0.97522,0.631371,0.176582,2
1.539418,2.068539,1.41833,-1.22736,0.858393,7
-3.279348,1.891748,2.361718,-0.463006,-0.612712,5
-2.040163,0.096102,-2.162013,0.055788,0.853225,6
2.292697,-0.973971,0.064079,0.044402,0.446715,3
2.56335,-1.39539,0.886735,-0.892405,0.756206,3
-0.584951,1.549743,-3.364364,-0.450181,-0.744778,6
2.142396,-0.38031,-0.756588,-1.747006,0.464315,3
1.805308,2.194772,1.092614,0.64832,0.04731,2
-3.594061,1.597866,2.863541,-0.227292,-0.204166,5
1.024352,-2.043241,0.374754,-1.558942,0.835559,4
2.021352,-0.86311,-0.840352,-0.468247,0.28021,3
2.767788,-0.785277,1.002258,-2.112553,-0.271553,1
-3.924954,-0.810698,-0.906148,-0.646714,0.695638,0
2.444372,-1.337593,1.665085,-0.686585,-0.054835,1
-1.916095,-2.379111,0.554402,1.548548,1.562162,4
-3.513177,1.874416,1.573417,-0.018716,-0.432534,5
2.219724,-0.8937,-0.077597,-1.194462,-0.019466,3
1.482077,2.21321,1.18596,0.933076,0.035942,2
-3.734189,-1.389235,0.639886,-0.59369,0.627967,0
-0.970454,0.676828,-3.040919,-0.507516,0.423881,6
1.423976,1.737329,0.255379,-1.310218,0.379676,8
2.826682,-0.774162,-0.953958,-0.574784,-1.620431,5
-3.613979,-3.459016,3.118139,-1.767397,-0.193519,0
1.519504,-0.556111,-0.723424,0.211925,-0.477219,3
2.145778,1.686108,1.296742,-1.56951,0.627931,7
0.360901,2.616611,-0.425428,-0.61431,0.297406,8
2.841379,-0.444137,-0.549369,-1.143294,-1.046757,5
-0.931709,1.040785,-2.437783,-1.365564,-0.151155,6
-0.735441,2.162345,0.110947,-0.328858,1.093651,8
-3.120356,-0.231742,0.443791,-1.136747,-3.121913,8
1.755083,-1.197419,-1.706888,-0.592145,0.971947,9
-4.448653,-2.451093,0.969105,-0.838081,0.230357,0
-1.590884,-0.990958,-1.091716,1.244481,1.136224,4
1.469373,-2.871419,1.59249,0.986948,-0.037742,1
1.237634,-1.324122,-2.587522,-0.499822,-1.594323,9
0.239979,2.364791,1.136896,0.130188,0.852043,7
-4.439093,-0.722151,-0.391016,0.089125,0.493389,0
-0.969418,0.646714,-2.781854,-0.031339,0.437679,6
2.337154,-0.945228,-0.671837,-0.895252,-0.25893,3
2.553584,-1.308803,0.156163,-0.746177,0.272683,3
0.649991,2.638024,-0.066877,1.097781,-0.616635,2
-0.795493,-0.927988,-1.66064,1.608064,0.625487,4
1.861227,2.2675,0.706647,0.059946,-0.271794,1
-1.225328,0.57115,-2.115658,0.969949,0.566797,6
-3.724527,1.615595,2.132842,0.276241,-0.694236,5
-2.051848,2.031714,3.384384,-1.217002,0.701194,5
1.065731,0.639913,-0.324103,0.616947,-0.014393,7
-4.026398,-1.674396,-0.076768,-0.941148,1.209787,0
-3.872146,-1.44835,0.556712,-0.193271,-0.564553,0
1.314361,-2.445005,-1.158249,-0.953845,0.931615,9
-4.096463,1.621161,1.681625,0.477357,-0.880995,5
-1.842073,0.685796,-2.182554,0.367517,0.27369,6
-1.901193,-1.580133,-0.360734,1.741627,1.392268,4
0.17432,0.058353,-0.035942,-1.351731,0.730656,7
1.674416,-1.587148,1.26449,2.10894,-0.680184,1
-4.832991,-1.628745,0.792115,-0.024784,-0.065178,0
2.209517,-2.041002,2.060837,0.59281,-0.378242,1
0.21757,-1.257902,1.55377,2.134062,-2.247321,9
-0.582424,1.992227,-2.868174,-0.029228,-1.03925,6
2.489027,0.956839,2.209451,0.673842,0.610485,2
-4.05834,-1.922243,1.133945,-1.391793,0.740216,0
1.783816,-1.142206,-1.012833,-0.553858,0.117136,3
-3.680112,-1.197781,0.358533,-0.650176,1.339952,0
-3.564018,0.677344,-0.186047,-0.590457,-3.255386,8
-3.864437,-3.360738,3.094797,-1.757258,-0.65029,0
2.319962,-0.293353,-1.30611,-1.297197,-0.391507,3
-3.831577,-1.579756,0.738258,0.252879,-0.527601,0
-4.248301,-2.049953,0.389191,-0.670488,1.194789,0
-3.614325,1.777823,1.658452,-0.150276,-0.606099,5
-0.156671,-0.875679,-0.963968,2.34197,0.03242,4
-0.943864,0.144798,-2.458875,-0.638537,1.060439,6
-4.243915,-2.319562,1.902683,-1.03159,0.228388,0
-1.652219,0.622266,-2.844863,-0.158965,0.140301,6
-3.373053,-0.146206,0.530878,0.079511,-1.55379,8
1.886857,-2.167233,-0.941214,-0.5266,-1.178742,9
-1.123107,-1.722814,-0.964274,0.212486,1.676995,4
-3.595347,1.942225,2.201131,0.104933,0.16935,5
1.148061,2.139254,-2.053314,-0.366799,-1.867968,6
1.462197,2.966294,0.674734,0.193559,-0.769373,2
1.504974,-1.919493,-0.874777,-0.429887,-0.668609,9
-2.657012,1.179603,-0.353011,-1.458252,-0.840411,8
-2.090866,1.85215,2.666205,-0.918061,0.774394,5
-3.80612,-1.548183,-0.171876,-1.32901,1.310684,0
-3.812707,-2.972248,2.33885,-1.701179,-0.359716,0
-4.282399,-1.515502,-0.09764,-0.665235,0.316933,0
-1.249234,-1.212415,-0.774694,2.538923,1.268763,4
1.656151,-1.924386,1.41128,0.153778,1.643336,7
1.785319,-0.761983,-1.114812,-1.563944,0.298679,3
1.617891,-2.585709,-0.814132,-1.332296,1.033479,9
1.566376,2.469598,0.732771,0.677434,-0.360108,2
-3.614347,1.725229,2.110587,0.275177,-0.090135,5
0.788984,-2.810339,0.084328,-0.099778,-1.316504,9
-3.252839,0.900243,-2.10092,0.906977,0.103047,0
0.391508,2.094179,-2.489222,-1.014008,-0.290892,6
-1.361269,1.266592,-2.5369,0.546071,-1.376134,0
-0.009094,1.127736,-3.595824,0.568035,-0.800907,6
-0.775105,0.881784,-3.031169,-0.675385,-0.299357,6
0.957807,-3.792546,2.409902,1.061548,-1.318427,1
-0.842713,-1.764913,-1.693856,0.665585,1.05254,4
-3.55998,-2.307735,-0.632969,0.237423,-0.067547,0
-4.045745,-2.643096,1.919829,-1.626949,0.676621,0
-1.42549,0.756299,-3.007535,-0.132556,-0.396834,6
1.717667,2.611413,0.376287,0.754926,-0.631541,2
1.747836,-1.866437,-1.505998,-1.142905,0.537834,9
-3.471459,1.762936,2.203316,-0.745446,0.104683,5
2.701819,-0.923329,0.410333,-0.933765,0.414825,3
1.420188,-3.52533,2.33658,0.84771,-1.192486,1
-1.171209,-1.565047,-0.791724,2.240539,1.337435,4
0.390015,2.407138,0.266888,2.318619,-0.266051,2
-1.255763,0.619276,-1.898411,2.048179,-0.197355,4
2.344461,-2.622079,2.459834,-1.36865,-1.686999,1
2.0694,-2.250852,1.943575,1.268145,-0.531749,1
2.754532,0.816163,2.70832,-0.321665,0.333009,1
-1.987302,0.468446,-2.333326,-0.285348,0.662527,6
2.124084,-1.529084,1.371918,-1.84237,0.741487,1
1.223579,-1.008031,0.521583,1.07225,-2.704666,9
-2.807025,0.537966,1.519938,-1.258465,-2.093714,8
-0.644428,0.470485,-2.439597,2.159616,-0.438576,4
0.53431,2.547106,1.363913,-0.631821,0.473209,7
2.437252,-0.744668,-0.930721,-1.024074,-0.164583,3
2.055339,-1.223985,0.191222,-0.624117,0.550736,1
1.910749,-1.099139,0.899534,-0.064051,-3.23853,9
0.450432,0.502506,-0.30895,-0.212119,0.174707,7
-0.758597,-2.584295,0.506837,2.269416,1.353445,4
2.294241,-1.221555,-0.104972,-0.585818,0.423194,3
-3.416531,0.624492,-1.495739,0.508531,0.621411,0
1.994951,2.319579,0.803952,-2.320337,0.402995,7
2.66747,-0.039434,-0.320092,-1.062604,-1.866825,5
-3.233558,1.115713,0.006538,0.023214,-0.312613,8
2.386523,-0.728459,-0.804779,-1.666487,-0.236566,3
-0.616134,0.721585,-2.709253,-0.846925,0.625251,6
-3.538985,1.852234,2.345844,-0.099784,-1.495482,5
2.891857,1.606597,1.238977,-0.034964,-0.78315,1
-3.617398,1.991682,2.135601,0.119842,-0.065476,5
2.438255,-2.204897,2.280678,-0.894251,-0.398574,1
1.815286,-1.027446,0.489602,2.339481,-0.971332,1
1.540018,-2.30817,1.423556,2.649886,-0.327978,1
1.745839,-2.482228,-0.956029,-0.910578,0.504183,9
-1.506177,-0.974457,-1.244923,1.76967,0.890167,4
-3.070875,2.368761,2.356341,-0.673166,0.081197,5
1.870476,-2.396241,1.573331,0.826029,0.80136,7
0.205839,0.072508,0.113324,0.477959,0.415323,7
0.900941,2.479995,1.330023,-1.266179,0.347071,7
-4.226251,-0.448796,-0.553882,0.435877,0.318671,0
2.774054,-1.594096,0.837661,-0.995806,0.02511,3
-1.118114,1.129909,-3.391042,0.592446,-0.90731,6
1.196264,-2.941875,-0.226791,-0.260907,0.489704,9
-0.419932,1.905687,-2.776331,-0.718704,-0.744593,6
