@relation 'pendigits_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.424input6-0.419input14+0.375input8-0.346input16+0.302input4... numeric
@attribute -0.475input10-0.445input9-0.387input11-0.316input12+0.301input15... numeric
@attribute '-0.451input1+0.4  input7-0.342input11-0.34input2+0.306input5...' numeric
@attribute 0.562input13+0.487input15-0.358input3-0.298input5-0.252input1... numeric
@attribute 0.452input2-0.417input3+0.392input9+0.361input7+0.305input4... numeric
@attribute -0.524input1+0.439input5+0.395input11+0.364input13-0.217input15... numeric
@attribute -0.671input2-0.359input12+0.355input9-0.343input10-0.247input5... numeric
@attribute -0.477input1-0.476input7-0.454input13-0.359input16-0.218input8... numeric
@attribute -0.643input3-0.497input15-0.405input9-0.266input12-0.174input4... numeric
@attribute -0.478input6-0.445input16+0.359input7-0.324input4-0.294input14... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.294073,1.48633,-0.496765,0.341497,-1.2245,1.197682,-0.73447,-1.351677,0.261156,-0.187978,8
1.006357,2.003248,-0.024502,2.021497,0.325416,0.431422,-0.228226,0.674073,0.459788,0.236554,2
1.987351,-2.512003,2.476483,-0.380605,-0.327486,-0.577735,0.028982,0.125622,0.858225,-0.287082,1
-0.522883,-0.853698,-1.029251,2.167862,1.222234,0.702508,-0.297783,1.095448,-0.072872,-0.626,4
2.445308,-0.87696,2.080409,-0.307028,-0.502885,0.00744,-0.419356,0.155027,0.145451,-0.311675,1
1.028724,2.191497,-2.596325,-0.531136,-1.15733,-0.471438,-0.513403,-0.755077,0.162428,0.523201,6
-1.730133,-2.602285,1.106317,1.150188,1.42463,0.123803,-1.428763,0.17822,-0.853292,0.406912,4
-3.688508,-2.651591,2.136826,-0.667474,-0.382526,-0.312548,1.878927,1.491036,0.110694,-0.373284,0
-3.227495,1.930201,2.925542,-0.608057,-0.340401,-0.362034,-0.889743,0.01942,0.370209,-0.106146,5
-3.716231,-0.120453,-1.405562,-0.137019,0.356868,0.568041,0.658078,-0.090245,-0.13109,-0.458406,0
0.736351,-2.3941,-1.943763,1.095399,0.770195,-0.458107,0.311726,-0.897756,-0.109537,0.092409,9
