@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.55-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute Class {opel,saab,bus,van}

@data
-0.330087,-0.214358,van
1.593224,-0.421883,van
-3.759058,0.187893,saab
1.74166,-2.821701,van
-0.550997,4.765978,bus
-6.398536,3.925695,bus
0.776696,-2.203236,bus
2.141057,-1.16627,van
4.45658,-3.086803,van
-1.170018,-1.996725,saab
3.494778,-1.758952,van
4.383207,-2.424415,saab
0.825455,0.029209,bus
1.412279,-0.018431,van
-1.198637,-0.861076,bus
-3.797042,1.29544,opel
5.277479,1.737606,van
-0.345889,-1.593432,bus
-4.158585,1.155934,saab
-4.210769,1.059629,opel
1.377018,1.188202,bus
5.104795,2.260032,van
1.158719,-2.050371,bus
2.756816,-0.853744,bus
-3.857133,-0.401091,saab
1.446727,-0.016462,van
4.828561,2.35169,saab
-4.595743,0.140064,saab
-1.541268,-0.290081,bus
3.210859,2.204527,saab
0.891656,0.306096,van
2.019511,-2.173004,saab
3.011781,-2.404288,opel
-3.913707,-1.114956,opel
1.168095,-2.771683,opel
-0.162728,-1.20596,van
2.242452,2.912416,bus
-3.059955,2.233875,van
-4.021695,1.022519,saab
1.571449,1.362051,bus
-2.956815,0.642282,opel
5.326414,2.399977,van
0.217977,1.405048,van
1.103409,-1.214077,saab
-5.233037,-1.012502,saab
0.399671,1.464124,van
2.765568,0.007221,van
2.578548,3.113261,bus
0.488817,1.18671,van
0.137897,-2.308105,saab
3.856565,2.099878,saab
1.799576,-0.916237,saab
-4.52402,0.59105,opel
1.110482,-3.050016,bus
-6.031585,3.302343,bus
3.105544,-3.21414,van
-1.205551,-1.057957,saab
0.838187,1.472776,van
-4.167872,-0.639576,opel
4.02339,1.39715,van
-2.815017,-1.895783,opel
4.197598,1.199638,opel
3.033316,1.778702,van
2.176197,1.620192,bus
-1.141708,-0.556667,bus
2.220858,1.104625,opel
2.402707,2.713388,bus
-4.909764,0.808828,opel
1.59876,-0.707765,van
-2.28995,-0.352887,bus
-3.596902,1.949081,opel
-5.493241,0.282838,opel
-0.098782,-1.524073,opel
5.270306,2.760874,opel
1.165106,-0.405484,van
-3.027449,-0.3,opel
0.634822,-0.018372,saab
2.679995,2.364084,saab
