@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute '-0.643PR.AXIS ASPECT RATIO-0.592MAX.LENGTH ASPECT RATIO-0.285SKEWNESS ABOUT_MAJOR-0.275RADIUS RATIO+0.119COMPACTNESS...' numeric
@attribute Class {opel,saab,bus,van}

@data
-0.330087,-0.214358,-0.996691,van
1.593224,-0.421883,0.368658,van
-3.759058,0.187893,-0.088627,saab
1.74166,-2.821701,-0.112459,van
-0.550997,4.765978,-11.679348,bus
-6.398536,3.925695,2.067952,bus
0.776696,-2.203236,0.123031,bus
2.141057,-1.16627,-0.651456,van
4.45658,-3.086803,-0.104909,van
-1.170018,-1.996725,-0.175796,saab
3.494778,-1.758952,-0.291258,van
4.383207,-2.424415,0.774103,saab
0.825455,0.029209,-0.445542,bus
1.412279,-0.018431,0.119183,van
-1.198637,-0.861076,-0.536371,bus
-3.797042,1.29544,-0.172146,opel
5.277479,1.737606,0.549555,van
-0.345889,-1.593432,-0.500656,bus
-4.158585,1.155934,0.405032,saab
-4.210769,1.059629,-0.593377,opel
1.377018,1.188202,-0.328299,bus
5.104795,2.260032,-0.070717,van
1.158719,-2.050371,-0.595831,bus
2.756816,-0.853744,-0.146857,bus
-3.857133,-0.401091,-0.55521,saab
1.446727,-0.016462,-0.607235,van
4.828561,2.35169,0.041114,saab
-4.595743,0.140064,-0.01816,saab
-1.541268,-0.290081,0.089666,bus
3.210859,2.204527,0.323431,saab
0.891656,0.306096,-0.67667,van
2.019511,-2.173004,0.430174,saab
3.011781,-2.404288,0.469415,opel
-3.913707,-1.114956,-0.287043,opel
1.168095,-2.771683,0.099809,opel
-0.162728,-1.20596,-0.082277,van
2.242452,2.912416,0.548085,bus
-3.059955,2.233875,-13.750911,van
-4.021695,1.022519,0.931121,saab
1.571449,1.362051,-1.132815,bus
-2.956815,0.642282,-0.502465,opel
5.326414,2.399977,0.6503,van
0.217977,1.405048,0.375258,van
1.103409,-1.214077,-0.234078,saab
-5.233037,-1.012502,0.29713,saab
0.399671,1.464124,-0.215138,van
2.765568,0.007221,0.384999,van
2.578548,3.113261,0.42842,bus
0.488817,1.18671,-0.573122,van
0.137897,-2.308105,0.157813,saab
3.856565,2.099878,0.764985,saab
1.799576,-0.916237,-0.375539,saab
-4.52402,0.59105,-0.732276,opel
1.110482,-3.050016,-0.121516,bus
-6.031585,3.302343,1.811665,bus
3.105544,-3.21414,0.084176,van
-1.205551,-1.057957,-0.005387,saab
0.838187,1.472776,0.304435,van
-4.167872,-0.639576,-0.36949,opel
4.02339,1.39715,1.006422,van
-2.815017,-1.895783,0.104495,opel
4.197598,1.199638,0.251301,opel
3.033316,1.778702,0.908529,van
2.176197,1.620192,-0.861772,bus
-1.141708,-0.556667,-0.695399,bus
2.220858,1.104625,0.648634,opel
2.402707,2.713388,0.08626,bus
-4.909764,0.808828,-0.575225,opel
1.59876,-0.707765,-1.008164,van
-2.28995,-0.352887,-1.040916,bus
-3.596902,1.949081,0.906397,opel
-5.493241,0.282838,-0.360273,opel
-0.098782,-1.524073,0.065141,opel
5.270306,2.760874,0.18878,opel
1.165106,-0.405484,-0.12052,van
-3.027449,-0.3,0.113507,opel
0.634822,-0.018372,-0.008139,saab
2.679995,2.364084,-0.459894,saab
-3.725047,0.555841,0.389952,bus
2.15451,3.557778,0.744276,bus
1.372386,1.055198,-0.425374,bus
-3.376356,1.058748,0.274332,bus
3.836061,-1.273252,0.659376,van
2.645016,0.86512,0.605704,opel
1.533733,-1.096394,-1.564345,bus
-6.767026,3.667714,2.219229,bus
1.569119,-0.344,0.173046,van
4.865465,0.512946,0.691108,van
-0.050279,-1.832499,-1.140863,bus
4.982659,2.29949,0.27205,opel
-4.954278,0.202625,-0.515643,saab
0.832099,-0.6057,0.70243,opel
-3.357072,-0.055363,0.7154,saab
-0.061514,0.790956,-0.476361,van
2.077675,1.306014,-0.381957,bus
-3.998691,-0.011585,-0.004362,opel
1.827525,0.66353,0.369237,saab
1.851773,0.599375,-0.221161,bus
-3.013904,-1.320592,-0.287997,opel
2.400484,3.163859,0.269833,bus
-0.875201,3.683378,-13.969457,bus
0.933941,-2.16106,-0.342849,van
2.576332,-0.797311,-0.033098,van
4.421821,-0.471179,0.216563,van
-1.714287,0.025648,0.013137,bus
-4.648387,0.20313,0.302823,saab
-2.541557,-2.145843,-0.158119,opel
2.407384,0.369062,-0.103761,opel
2.235853,2.380853,-0.07598,bus
-1.407414,-0.467279,-0.304769,bus
2.031286,-0.790526,-0.751295,van
0.312947,0.510856,-0.521251,van
2.99069,1.411155,0.25373,opel
5.323988,0.883401,0.6245,opel
1.100903,0.655123,0.613093,van
-0.124479,-0.26827,-0.282232,van
-2.620095,-0.023931,-0.145288,opel
-5.191941,-0.501797,-0.26689,saab
2.354539,2.527508,0.264406,bus
-0.933212,-1.063018,-0.063468,bus
4.031177,1.378806,1.060361,saab
0.493791,1.425671,-0.013699,van
1.691265,-2.552735,-0.19403,van
4.400276,-1.120647,0.964188,saab
1.78537,0.454265,-0.430032,van
0.579204,0.88348,-0.072662,van
2.066743,0.992864,-0.26204,bus
1.870799,0.76403,-2.351024,bus
0.094967,-1.251425,-0.465837,van
-2.706484,-0.156881,-0.172199,bus
-2.460737,-0.057078,0.542007,saab
2.290748,-2.329546,0.150012,saab
