@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute '-0.643PR.AXIS ASPECT RATIO-0.592MAX.LENGTH ASPECT RATIO-0.285SKEWNESS ABOUT_MAJOR-0.275RADIUS RATIO+0.119COMPACTNESS...' numeric
@attribute '0.666KURTOSIS ABOUT_MAJOR-0.608SKEWNESS ABOUT_MINOR-0.199SCALED RADIUS OF GYRATION-0.185MAX.LENGTH RECTANGULARITY-0.184CIRCULARITY...' numeric
@attribute '-0.726SKEWNESS ABOUT_MINOR-0.604KURTOSIS ABOUT_MAJOR-0.216MAX.LENGTH ASPECT RATIO-0.144SKEWNESS ABOUT_MAJOR+0.102KURTOSIS ABOUT_MINOR...' numeric
@attribute '0.465MAX.LENGTH RECTANGULARITY+0.436MAX.LENGTH ASPECT RATIO+0.281CIRCULARITY-0.257RADIUS RATIO+0.247HOLLOWS RATIO...' numeric
@attribute '-0.489MAX.LENGTH ASPECT RATIO-0.464COMPACTNESS+0.39 PR.AXIS ASPECT RATIO+0.385SCALED RADIUS OF GYRATION+0.287KURTOSIS ABOUT_MAJOR...' numeric
@attribute Class {opel,saab,bus,van}

@data
-0.330087,-0.214358,-0.996691,-0.171888,-0.082605,0.726466,0.914613,van
1.593224,-0.421883,0.368658,-0.232147,-0.691904,0.528331,-0.356461,van
-3.759058,0.187893,-0.088627,-1.200462,-0.718805,-0.704362,0.010309,saab
1.74166,-2.821701,-0.112459,-0.373859,0.368148,0.506501,-0.45118,van
-0.550997,4.765978,-11.679348,-0.166435,-3.242123,0.298604,-2.661052,bus
-6.398536,3.925695,2.067952,0.384041,0.571227,-0.899196,-0.777306,bus
0.776696,-2.203236,0.123031,-2.109649,0.212144,-0.777781,0.122031,bus
2.141057,-1.16627,-0.651456,-0.818254,1.242265,0.657562,0.160343,van
4.45658,-3.086803,-0.104909,0.550539,0.571267,0.304295,-0.268711,van
-1.170018,-1.996725,-0.175796,0.678936,0.445302,0.140904,-0.48856,saab
3.494778,-1.758952,-0.291258,0.422234,0.684765,0.324841,-0.476119,van
4.383207,-2.424415,0.774103,1.305785,-0.850274,0.053266,-0.326675,saab
0.825455,0.029209,-0.445542,-0.295749,0.570224,0.031753,1.318125,bus
1.412279,-0.018431,0.119183,-0.143724,-0.505877,0.642632,-0.268705,van
-1.198637,-0.861076,-0.536371,-1.185114,1.399177,-0.828171,1.172557,bus
-3.797042,1.29544,-0.172146,-1.025054,1.119106,0.132573,0.705622,opel
5.277479,1.737606,0.549555,0.86021,-0.158968,0.104805,-0.786679,van
-0.345889,-1.593432,-0.500656,0.408759,0.798262,-1.697273,-0.257367,bus
-4.158585,1.155934,0.405032,-0.110536,0.489809,0.528538,-0.205085,saab
-4.210769,1.059629,-0.593377,-0.728165,0.863905,-0.111038,0.428797,opel
1.377018,1.188202,-0.328299,-0.067609,1.663957,0.240602,0.804554,bus
5.104795,2.260032,-0.070717,-0.586837,0.075241,-0.895737,-0.29751,van
1.158719,-2.050371,-0.595831,-1.701685,0.770587,-0.556566,0.422914,bus
2.756816,-0.853744,-0.146857,-0.078714,1.50125,-0.01653,-0.349576,bus
-3.857133,-0.401091,-0.55521,0.00318,1.797478,0.586226,0.247791,saab
1.446727,-0.016462,-0.607235,-0.250497,1.383244,0.900679,0.389635,van
4.828561,2.35169,0.041114,-0.220111,0.053903,-0.755736,-0.440698,saab
-4.595743,0.140064,-0.01816,1.696908,-0.029186,0.662545,0.15978,saab
-1.541268,-0.290081,0.089666,0.015038,0.626356,-1.754588,-0.650634,bus
3.210859,2.204527,0.323431,0.791193,-1.408821,-0.478767,0.251399,saab
0.891656,0.306096,-0.67667,-0.217767,0.256249,0.777402,0.080486,van
2.019511,-2.173004,0.430174,-0.966293,-0.220385,0.626962,0.179066,saab
3.011781,-2.404288,0.469415,0.386921,0.241362,-0.550823,-0.623079,opel
-3.913707,-1.114956,-0.287043,2.299046,-1.255244,-0.007728,0.795916,opel
1.168095,-2.771683,0.099809,2.051553,0.158978,-0.13241,-0.033481,opel
-0.162728,-1.20596,-0.082277,-2.208228,-1.069597,-0.04633,0.219468,van
2.242452,2.912416,0.548085,-0.110866,0.995191,0.493627,-0.209424,bus
-3.059955,2.233875,-13.750911,0.882477,-1.419253,-0.098635,-0.664149,van
-4.021695,1.022519,0.931121,0.287525,1.168966,0.725503,-0.959672,saab
1.571449,1.362051,-1.132815,-1.128679,0.870949,-0.57447,1.519899,bus
-2.956815,0.642282,-0.502465,0.32279,0.592938,-0.843268,0.207734,opel
5.326414,2.399977,0.6503,0.35625,-1.276911,-0.342271,-0.543016,van
