@relation pendigits-weka.filters.unsupervised.attribute.RandomProjection-N15-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
256.34352,242.487113,420.888346,308.305044,-581.969071,32.908965,-86.60254,140.296115,-90.066642,-531.739598,145.492268,-244.219164,122.975607,322.16145,-188.793538,8
471.11782,249.415316,96.994845,57.157677,-410.496041,38.105118,-72.746134,173.205081,-181.865335,-484.974226,197.453792,-197.453792,69.282032,96.994845,43.30127,2
372.390924,-46.765372,48.497423,142.028166,-341.214009,57.157677,-183.597386,117.779455,-232.094808,-280.592231,161.080725,-311.769145,112.583302,263.271723,-136.832014,1
365.46272,211.310199,96.994845,90.066642,-341.214009,-138.564065,-71.014083,159.348674,-199.185843,-637.394697,133.367912,-249.415316,-15.588457,138.564065,-168.008928,4
448.601159,58.889727,57.157677,154.152522,-433.012702,150.68842,-188.793538,143.760217,-245.951215,-297.912739,180.133284,-258.07557,138.564065,206.114046,-34.641016,1
439.940905,126.439709,154.152522,187.061487,-464.189616,213.042249,-180.133284,171.47303,-271.931977,-602.753681,173.205081,-344.678111,91.798693,13.856406,29.444864,6
304.840942,226.898656,192.25764,173.205081,-342.94606,-197.453792,-128.17176,124.707658,-240.755062,-497.098582,148.956369,-183.597386,19.052559,441.672956,-330.821704,4
110.851252,67.549981,233.826859,273.664028,-292.716586,-206.114046,-77.942286,107.38715,-41.569219,-375.855025,142.028166,-169.740979,27.712813,363.73067,-400.103737,0
280.592231,327.357603,316.965298,299.64479,-538.667801,91.798693,-50.229473,86.60254,67.549981,-192.25764,154.152522,31.176915,228.630707,498.830633,-173.205081,5
207.846097,218.238402,237.290961,271.931977,-445.137058,-45.033321,-60.621778,124.707658,-43.30127,-639.126748,145.492268,-209.578148,31.176915,242.487113,-259.807621,0
368.926822,71.014083,38.105118,121.243557,-325.625552,64.08588,-190.525589,173.205081,-334.285806,-696.284425,143.760217,-398.371686,-53.693575,96.994845,-202.649944,9
219.970453,166.276878,426.084499,370.658873,-578.50497,24.248711,-164.544827,112.583302,-190.525589,-543.863954,91.798693,-285.788383,83.138439,247.683265,-193.98969,8
389.711432,79.674337,-81.406388,150.68842,-410.496041,306.572993,-206.114046,171.47303,-235.55891,-550.792157,148.956369,-297.912739,24.248711,19.052559,-41.569219,5
405.299889,62.353829,71.014083,161.080725,-301.376841,110.851252,-209.578148,173.205081,-346.410162,-704.944679,96.994845,-375.855025,-15.588457,-24.248711,-190.525589,9
498.830633,233.826859,-15.588457,107.38715,-502.294734,138.564065,-86.60254,173.205081,-136.832014,-438.208854,303.108891,-178.401233,90.066642,169.740979,81.406388,7
386.24733,17.320508,-69.282032,143.760217,-507.490887,303.108891,-164.544827,173.205081,-190.525589,-427.816549,225.166605,-342.94606,17.320508,24.248711,91.798693,3
375.855025,57.157677,-65.817931,148.956369,-460.725515,235.55891,-187.061487,173.205081,-259.807621,-555.988309,188.793538,-346.410162,-38.105118,-25.980762,34.641016,3
400.103737,20.78461,-39.837169,176.669182,-382.783228,230.362757,-216.506351,173.205081,-282.324282,-639.126748,202.649944,-384.515279,-36.373067,38.105118,-103.923048,9
469.385769,239.023011,119.511506,95.262794,-391.443483,91.798693,-76.210236,173.205081,-174.937132,-387.979381,230.362757,-148.956369,84.87049,90.066642,81.406388,2
504.026785,173.205081,55.425626,64.08588,-422.620397,143.760217,-116.047404,171.47303,-195.721741,-294.448637,209.578148,-204.381995,164.544827,237.290961,10.392305,2
315.233247,306.572993,318.697349,318.697349,-549.060106,107.38715,-64.08588,107.38715,69.282032,-180.133284,164.544827,25.980762,239.023011,465.921667,-174.937132,5
523.079344,60.621778,98.726896,169.740979,-325.625552,-13.856406,-214.7743,110.851252,-344.678111,-417.424245,154.152522,-259.807621,45.033321,147.224319,-121.243557,1
346.410162,322.16145,336.017857,351.606314,-554.256258,69.282032,-103.923048,114.315353,10.392305,-263.271723,128.17176,0,223.434554,433.012702,-211.310199,5
488.438328,195.721741,39.837169,278.86018,-443.405007,133.367912,-91.798693,173.205081,-19.052559,-488.438328,315.233247,-174.937132,197.453792,254.611469,-122.975607,8
270.199926,216.506351,83.138439,143.760217,-349.874263,-8.660254,-58.889727,129.903811,-98.726896,-601.02163,129.903811,-162.812776,-19.052559,69.282032,-117.779455,6
315.233247,206.114046,122.975607,116.047404,-318.697349,-145.492268,-112.583302,119.511506,-235.55891,-517.883191,157.616623,-209.578148,3.464102,368.926822,-259.807621,4
218.238402,221.702503,245.951215,265.003774,-476.313972,-69.282032,-22.51666,143.760217,5.196152,-633.930596,178.401233,-226.898656,45.033321,252.879418,-244.219164,0
294.448637,39.837169,55.425626,110.851252,-375.855025,79.674337,-159.348674,143.760217,-197.453792,-398.371686,174.937132,-315.233247,72.746134,384.515279,-223.434554,4
519.615242,202.649944,3.464102,230.362757,-396.639635,157.616623,-100.458947,173.205081,-36.373067,-446.869108,249.415316,-129.903811,207.846097,148.956369,-84.87049,8
348.142212,24.248711,64.08588,114.315353,-318.697349,206.114046,-145.492268,173.205081,-145.492268,-398.371686,95.262794,-294.448637,155.884573,169.740979,-181.865335,1
344.678111,22.51666,145.492268,233.826859,-557.72036,193.98969,-91.798693,173.205081,-83.138439,-455.529362,310.037095,-353.338365,98.726896,114.315353,45.033321,8
375.855025,344.678111,386.24733,384.515279,-585.433173,74.478185,-135.099963,114.315353,-51.961524,-330.821704,135.099963,-20.78461,204.381995,443.405007,-216.506351,5
481.510125,270.199926,93.530744,157.616623,-536.93575,77.942286,-62.353829,173.205081,-93.530744,-396.639635,290.984536,-159.348674,168.008928,285.788383,34.641016,7
79.674337,126.439709,221.702503,273.664028,-358.534517,-129.903811,-71.014083,72.746134,-20.78461,-413.960143,124.707658,-154.152522,13.856406,410.496041,-360.266568,0
306.572993,46.765372,239.023011,337.749907,-245.951215,-93.530744,-190.525589,25.980762,-176.669182,-209.578148,41.569219,-76.210236,51.961524,271.931977,-342.94606,9
375.855025,62.353829,-8.660254,154.152522,-464.189616,183.597386,-185.329436,173.205081,-273.664028,-575.040868,195.721741,-356.802466,-39.837169,-19.052559,34.641016,3
296.180688,330.821704,360.266568,322.16145,-543.863954,77.942286,-57.157677,98.726896,48.497423,-239.023011,117.779455,6.928203,230.362757,472.84987,-211.310199,5
375.855025,200.917894,174.937132,180.133284,-341.214009,-77.942286,-126.439709,173.205081,-259.807621,-717.069034,131.635861,-273.664028,5.196152,128.17176,-244.219164,4
337.749907,36.373067,322.16145,117.779455,-445.137058,-3.464102,-121.243557,116.047404,-287.520434,-448.601159,148.956369,-407.03194,5.196152,322.16145,-133.367912,9
528.275496,244.219164,69.282032,100.458947,-488.438328,171.47303,-143.760217,173.205081,-230.362757,-358.534517,219.970453,-176.669182,142.028166,180.133284,90.066642,2
504.026785,235.55891,0,171.47303,-571.576766,219.970453,-116.047404,173.205081,-77.942286,-355.070416,284.056332,-124.707658,135.099963,173.205081,103.923048,7
296.180688,323.893501,353.338365,306.572993,-533.471649,84.87049,-55.425626,95.262794,43.30127,-252.879418,157.616623,6.928203,218.238402,469.385769,-192.25764,5
193.98969,197.453792,103.923048,109.119201,-322.16145,-36.373067,-34.641016,131.635861,-114.315353,-609.681884,148.956369,-204.381995,-36.373067,109.119201,-126.439709,6
360.266568,41.569219,-15.588457,72.746134,-469.385769,161.080725,-124.707658,173.205081,-211.310199,-474.581921,209.578148,-361.998619,-6.928203,55.425626,53.693575,3
