@relation pendigits-weka.filters.unsupervised.attribute.RandomProjection-N3-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
256.34352,242.487113,420.888346,8
471.11782,249.415316,96.994845,2
372.390924,-46.765372,48.497423,1
365.46272,211.310199,96.994845,4
448.601159,58.889727,57.157677,1
439.940905,126.439709,154.152522,6
304.840942,226.898656,192.25764,4
110.851252,67.549981,233.826859,0
280.592231,327.357603,316.965298,5
207.846097,218.238402,237.290961,0
368.926822,71.014083,38.105118,9
219.970453,166.276878,426.084499,8
389.711432,79.674337,-81.406388,5
405.299889,62.353829,71.014083,9
498.830633,233.826859,-15.588457,7
386.24733,17.320508,-69.282032,3
375.855025,57.157677,-65.817931,3
400.103737,20.78461,-39.837169,9
469.385769,239.023011,119.511506,2
504.026785,173.205081,55.425626,2
315.233247,306.572993,318.697349,5
523.079344,60.621778,98.726896,1
346.410162,322.16145,336.017857,5
488.438328,195.721741,39.837169,8
270.199926,216.506351,83.138439,6
315.233247,206.114046,122.975607,4
218.238402,221.702503,245.951215,0
294.448637,39.837169,55.425626,4
519.615242,202.649944,3.464102,8
348.142212,24.248711,64.08588,1
344.678111,22.51666,145.492268,8
375.855025,344.678111,386.24733,5
481.510125,270.199926,93.530744,7
79.674337,126.439709,221.702503,0
306.572993,46.765372,239.023011,9
375.855025,62.353829,-8.660254,3
296.180688,330.821704,360.266568,5
375.855025,200.917894,174.937132,4
337.749907,36.373067,322.16145,9
528.275496,244.219164,69.282032,2
504.026785,235.55891,0,7
296.180688,323.893501,353.338365,5
193.98969,197.453792,103.923048,6
360.266568,41.569219,-15.588457,3
389.711432,15.588457,13.856406,3
360.266568,131.635861,169.740979,6
384.515279,64.08588,-100.458947,3
495.366531,226.898656,60.621778,2
266.735824,325.625552,315.233247,5
329.089653,39.837169,36.373067,4
372.390924,57.157677,-31.176915,3
413.960143,-6.928203,19.052559,1
188.793538,204.381995,245.951215,0
403.567838,24.248711,39.837169,1
322.16145,239.023011,195.721741,4
334.285806,339.481958,403.567838,5
374.122974,48.497423,-36.373067,3
486.706277,237.290961,107.38715,2
135.099963,135.099963,213.042249,0
278.86018,148.956369,98.726896,6
595.825478,174.937132,-93.530744,8
472.84987,-8.660254,81.406388,5
74.478185,65.817931,185.329436,0
355.070416,60.621778,71.014083,3
471.11782,143.760217,3.464102,7
521.347293,237.290961,64.08588,8
469.385769,6.928203,83.138439,5
285.788383,131.635861,119.511506,6
467.653718,258.07557,81.406388,8
230.362757,145.492268,407.03194,8
377.587076,31.176915,-25.980762,9
96.994845,138.564065,232.094808,0
336.017857,237.290961,121.243557,4
448.601159,53.693575,95.262794,1
433.012702,36.373067,93.530744,9
479.778074,280.592231,122.975607,7
171.47303,218.238402,261.539672,0
271.931977,161.080725,100.458947,6
389.711432,39.837169,-41.569219,3
368.926822,19.052559,-71.014083,3
465.921667,275.396078,133.367912,2
356.802466,200.917894,142.028166,4
545.596004,225.166605,39.837169,1
219.970453,168.008928,95.262794,6
294.448637,329.089653,382.783228,5
303.108891,294.448637,211.310199,5
426.084499,155.884573,121.243557,7
129.903811,173.205081,213.042249,0
155.884573,116.047404,251.147367,0
410.496041,8.660254,32.908965,9
270.199926,325.625552,372.390924,5
228.630707,147.224319,138.564065,6
294.448637,240.755062,121.243557,4
313.501196,117.779455,93.530744,7
524.811395,136.832014,121.243557,1
126.439709,192.25764,268.467875,0
458.993464,39.837169,76.210236,1
450.33321,114.315353,353.338365,9
332.553755,168.008928,168.008928,6
469.385769,166.276878,-19.052559,2
105.655099,157.616623,214.7743,0
370.658873,57.157677,-48.497423,3
129.903811,188.793538,188.793538,0
226.898656,174.937132,431.280651,8
72.746134,83.138439,216.506351,0
427.816549,64.08588,-3.464102,3
171.47303,145.492268,258.07557,0
131.635861,204.381995,235.55891,0
313.501196,336.017857,381.051178,5
462.457566,230.362757,142.028166,4
271.931977,162.812776,76.210236,6
88.334591,152.420471,211.310199,0
235.55891,135.099963,148.956369,6
173.205081,166.276878,410.496041,8
391.443483,19.052559,55.425626,9
239.023011,152.420471,48.497423,4
270.199926,346.410162,323.893501,5
465.921667,100.458947,169.740979,6
505.758836,244.219164,90.066642,2
349.874263,5.196152,-8.660254,9
218.238402,159.348674,403.567838,8
327.357603,284.056332,247.683265,5
133.367912,173.205081,193.98969,0
110.851252,84.87049,213.042249,0
126.439709,157.616623,239.023011,0
344.678111,271.931977,121.243557,4
389.711432,39.837169,77.942286,7
372.390924,83.138439,-72.746134,3
424.352448,3.464102,31.176915,9
509.222937,233.826859,91.798693,2
289.252485,336.017857,348.142212,5
310.037095,-22.51666,133.367912,9
280.592231,268.467875,244.219164,0
348.142212,98.726896,116.047404,6
393.175533,157.616623,235.55891,0
353.338365,107.38715,166.276878,6
275.396078,129.903811,110.851252,6
403.567838,1.732051,112.583302,1
346.410162,173.205081,116.047404,4
247.683265,197.453792,275.396078,0
88.334591,145.492268,209.578148,0
268.467875,145.492268,150.68842,6
523.079344,239.023011,116.047404,2
441.672956,3.464102,13.856406,9
304.840942,342.94606,306.572993,5
382.783228,3.464102,-86.60254,3
408.763991,-22.51666,81.406388,1
336.017857,244.219164,102.190998,4
429.5486,232.094808,142.028166,2
417.424245,313.501196,190.525589,4
382.783228,-107.38715,46.765372,1
519.615242,77.942286,96.994845,1
502.294734,168.008928,-96.994845,1
207.846097,159.348674,117.779455,6
316.965298,-19.052559,17.320508,1
467.653718,48.497423,325.625552,9
206.114046,152.420471,355.070416,8
426.084499,249.415316,195.721741,4
526.543446,282.324282,131.635861,7
398.371686,39.837169,-48.497423,3
445.137058,102.190998,25.980762,1
457.261413,-24.248711,244.219164,9
290.984536,83.138439,102.190998,7
386.24733,233.826859,161.080725,4
351.606314,20.78461,-72.746134,3
247.683265,247.683265,218.238402,0
552.524208,214.7743,-13.856406,7
486.706277,-5.196152,185.329436,5
164.544827,173.205081,420.888346,8
417.424245,50.229473,-48.497423,3
299.64479,157.616623,83.138439,6
290.984536,301.376841,337.749907,5
571.576766,169.740979,0,1
268.467875,346.410162,356.802466,5
387.979381,-51.961524,51.961524,1
549.060106,155.884573,138.564065,1
510.954988,117.779455,143.760217,1
393.175533,-1.732051,6.928203,9
