@relation pendigits-weka.filters.unsupervised.attribute.RandomProjection-N9-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
256.34352,242.487113,420.888346,308.305044,-581.969071,32.908965,-86.60254,140.296115,-90.066642,8
471.11782,249.415316,96.994845,57.157677,-410.496041,38.105118,-72.746134,173.205081,-181.865335,2
372.390924,-46.765372,48.497423,142.028166,-341.214009,57.157677,-183.597386,117.779455,-232.094808,1
365.46272,211.310199,96.994845,90.066642,-341.214009,-138.564065,-71.014083,159.348674,-199.185843,4
448.601159,58.889727,57.157677,154.152522,-433.012702,150.68842,-188.793538,143.760217,-245.951215,1
439.940905,126.439709,154.152522,187.061487,-464.189616,213.042249,-180.133284,171.47303,-271.931977,6
304.840942,226.898656,192.25764,173.205081,-342.94606,-197.453792,-128.17176,124.707658,-240.755062,4
110.851252,67.549981,233.826859,273.664028,-292.716586,-206.114046,-77.942286,107.38715,-41.569219,0
280.592231,327.357603,316.965298,299.64479,-538.667801,91.798693,-50.229473,86.60254,67.549981,5
207.846097,218.238402,237.290961,271.931977,-445.137058,-45.033321,-60.621778,124.707658,-43.30127,0
368.926822,71.014083,38.105118,121.243557,-325.625552,64.08588,-190.525589,173.205081,-334.285806,9
219.970453,166.276878,426.084499,370.658873,-578.50497,24.248711,-164.544827,112.583302,-190.525589,8
389.711432,79.674337,-81.406388,150.68842,-410.496041,306.572993,-206.114046,171.47303,-235.55891,5
405.299889,62.353829,71.014083,161.080725,-301.376841,110.851252,-209.578148,173.205081,-346.410162,9
498.830633,233.826859,-15.588457,107.38715,-502.294734,138.564065,-86.60254,173.205081,-136.832014,7
386.24733,17.320508,-69.282032,143.760217,-507.490887,303.108891,-164.544827,173.205081,-190.525589,3
375.855025,57.157677,-65.817931,148.956369,-460.725515,235.55891,-187.061487,173.205081,-259.807621,3
400.103737,20.78461,-39.837169,176.669182,-382.783228,230.362757,-216.506351,173.205081,-282.324282,9
469.385769,239.023011,119.511506,95.262794,-391.443483,91.798693,-76.210236,173.205081,-174.937132,2
504.026785,173.205081,55.425626,64.08588,-422.620397,143.760217,-116.047404,171.47303,-195.721741,2
315.233247,306.572993,318.697349,318.697349,-549.060106,107.38715,-64.08588,107.38715,69.282032,5
523.079344,60.621778,98.726896,169.740979,-325.625552,-13.856406,-214.7743,110.851252,-344.678111,1
346.410162,322.16145,336.017857,351.606314,-554.256258,69.282032,-103.923048,114.315353,10.392305,5
488.438328,195.721741,39.837169,278.86018,-443.405007,133.367912,-91.798693,173.205081,-19.052559,8
270.199926,216.506351,83.138439,143.760217,-349.874263,-8.660254,-58.889727,129.903811,-98.726896,6
315.233247,206.114046,122.975607,116.047404,-318.697349,-145.492268,-112.583302,119.511506,-235.55891,4
218.238402,221.702503,245.951215,265.003774,-476.313972,-69.282032,-22.51666,143.760217,5.196152,0
294.448637,39.837169,55.425626,110.851252,-375.855025,79.674337,-159.348674,143.760217,-197.453792,4
519.615242,202.649944,3.464102,230.362757,-396.639635,157.616623,-100.458947,173.205081,-36.373067,8
348.142212,24.248711,64.08588,114.315353,-318.697349,206.114046,-145.492268,173.205081,-145.492268,1
344.678111,22.51666,145.492268,233.826859,-557.72036,193.98969,-91.798693,173.205081,-83.138439,8
375.855025,344.678111,386.24733,384.515279,-585.433173,74.478185,-135.099963,114.315353,-51.961524,5
481.510125,270.199926,93.530744,157.616623,-536.93575,77.942286,-62.353829,173.205081,-93.530744,7
79.674337,126.439709,221.702503,273.664028,-358.534517,-129.903811,-71.014083,72.746134,-20.78461,0
306.572993,46.765372,239.023011,337.749907,-245.951215,-93.530744,-190.525589,25.980762,-176.669182,9
375.855025,62.353829,-8.660254,154.152522,-464.189616,183.597386,-185.329436,173.205081,-273.664028,3
296.180688,330.821704,360.266568,322.16145,-543.863954,77.942286,-57.157677,98.726896,48.497423,5
375.855025,200.917894,174.937132,180.133284,-341.214009,-77.942286,-126.439709,173.205081,-259.807621,4
337.749907,36.373067,322.16145,117.779455,-445.137058,-3.464102,-121.243557,116.047404,-287.520434,9
528.275496,244.219164,69.282032,100.458947,-488.438328,171.47303,-143.760217,173.205081,-230.362757,2
504.026785,235.55891,0,171.47303,-571.576766,219.970453,-116.047404,173.205081,-77.942286,7
296.180688,323.893501,353.338365,306.572993,-533.471649,84.87049,-55.425626,95.262794,43.30127,5
193.98969,197.453792,103.923048,109.119201,-322.16145,-36.373067,-34.641016,131.635861,-114.315353,6
360.266568,41.569219,-15.588457,72.746134,-469.385769,161.080725,-124.707658,173.205081,-211.310199,3
389.711432,15.588457,13.856406,138.564065,-479.778074,150.68842,-181.865335,169.740979,-245.951215,3
360.266568,131.635861,169.740979,225.166605,-481.510125,155.884573,-116.047404,173.205081,-154.152522,6
384.515279,64.08588,-100.458947,155.884573,-498.830633,278.86018,-174.937132,173.205081,-218.238402,3
495.366531,226.898656,60.621778,84.87049,-433.012702,166.276878,-98.726896,173.205081,-185.329436,2
266.735824,325.625552,315.233247,290.984536,-521.347293,45.033321,-48.497423,93.530744,76.210236,5
329.089653,39.837169,36.373067,152.420471,-420.888346,161.080725,-197.453792,126.439709,-247.683265,4
372.390924,57.157677,-31.176915,121.243557,-476.313972,150.68842,-164.544827,173.205081,-259.807621,3
413.960143,-6.928203,19.052559,187.061487,-462.457566,278.86018,-221.702503,157.616623,-239.023011,1
188.793538,204.381995,245.951215,278.86018,-424.352448,-86.60254,-71.014083,124.707658,-43.30127,0
