@relation vehicle-weka.filters.unsupervised.attribute.RandomProjection-N3-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute Class {opel,saab,bus,van}

@data
859.097201,301.376841,285.788383,van
810.599778,258.07557,284.056332,van
950.895893,363.73067,270.199926,saab
852.168997,204.381995,268.467875,van
881.613861,235.55891,200.917894,bus
848.704896,446.869108,315.233247,bus
867.757455,287.520434,242.487113,bus
808.867727,268.467875,259.807621,van
793.27927,181.865335,261.539672,van
917.986928,244.219164,270.199926,saab
795.011321,204.381995,254.611469,van
791.547219,193.98969,277.128129,saab
834.848489,322.16145,265.003774,bus
810.599778,261.539672,280.592231,van
904.130522,348.142212,247.683265,bus
914.522826,410.496041,273.664028,opel
692.820323,206.114046,285.788383,van
886.810013,251.147367,237.290961,bus
878.149759,363.73067,308.305044,saab
933.575385,368.926822,278.86018,opel
789.815168,308.305044,252.879418,bus
718.801085,221.702503,240.755062,van
845.240794,294.448637,235.55891,bus
791.547219,232.094808,244.219164,bus
947.431792,368.926822,277.128129,saab
810.599778,285.788383,263.271723,van
711.872882,230.362757,245.951215,saab
900.66642,355.070416,322.16145,saab
886.810013,271.931977,249.415316,bus
739.585695,261.539672,277.128129,saab
827.920286,282.324282,273.664028,van
836.58054,259.807621,277.128129,saab
810.599778,197.453792,252.879418,opel
963.020249,336.017857,311.769145,opel
867.757455,211.310199,265.003774,opel
890.274115,303.108891,265.003774,van
720.533136,294.448637,277.128129,bus
1075.603552,261.539672,187.061487,van
853.901048,360.266568,313.501196,saab
815.79593,311.769145,235.55891,bus
937.039487,334.285806,256.34352,opel
692.820323,207.846097,287.520434,van
788.083117,303.108891,304.840942,van
857.36515,226.898656,239.023011,saab
985.53691,381.051178,273.664028,saab
788.083117,308.305044,292.716586,van
770.762609,256.34352,290.984536,van
727.461339,290.984536,287.520434,bus
800.207473,306.572993,304.840942,van
855.633099,294.448637,275.396078,saab
706.676729,242.487113,258.07557,saab
833.116438,213.042249,265.003774,saab
950.895893,408.763991,275.396078,opel
846.972845,275.396078,251.147367,bus
866.025404,387.979381,337.749907,bus
826.188235,192.25764,251.147367,van
904.130522,270.199926,254.611469,saab
775.958762,285.788383,308.305044,van
947.431792,348.142212,266.735824,opel
744.781847,237.290961,280.592231,van
947.431792,304.840942,275.396078,opel
772.49466,232.094808,280.592231,opel
749.978,226.898656,297.912739,van
784.619016,263.271723,247.683265,bus
893.738217,304.840942,237.290961,bus
807.135676,258.07557,261.539672,opel
734.389542,284.056332,297.912739,bus
940.503589,355.070416,308.305044,opel
829.652337,280.592231,266.735824,van
928.379233,349.874263,247.683265,bus
827.920286,365.46272,315.233247,opel
971.680503,358.534517,339.481958,opel
890.274115,247.683265,270.199926,opel
685.89212,244.219164,280.592231,opel
827.920286,263.271723,294.448637,van
928.379233,348.142212,277.128129,opel
829.652337,249.415316,247.683265,saab
743.049796,287.520434,239.023011,saab
930.111284,368.926822,266.735824,bus
711.872882,315.233247,287.520434,bus
800.207473,316.965298,247.683265,bus
904.130522,361.998619,277.128129,bus
767.298508,188.793538,259.807621,van
777.690813,237.290961,304.840942,opel
872.953607,244.219164,226.898656,bus
869.489505,434.744753,323.893501,bus
800.207473,265.003774,292.716586,van
725.729288,214.7743,275.396078,van
917.986928,268.467875,230.362757,bus
715.336984,218.238402,254.611469,opel
954.359995,377.587076,294.448637,saab
831.384388,252.879418,258.07557,opel
909.326674,389.711432,285.788383,saab
831.384388,304.840942,303.108891,van
782.886965,296.180688,254.611469,bus
943.96769,360.266568,303.108891,opel
829.652337,284.056332,268.467875,saab
789.815168,271.931977,263.271723,bus
957.824097,332.553755,301.376841,opel
723.997238,285.788383,285.788383,bus
943.96769,230.362757,143.760217,bus
883.345912,244.219164,252.879418,van
824.456184,263.271723,266.735824,van
782.886965,228.630707,259.807621,van
878.149759,280.592231,282.324282,bus
924.915131,353.338365,292.716586,saab
938.771538,256.34352,308.305044,opel
791.547219,216.506351,268.467875,opel
753.442101,285.788383,280.592231,bus
888.542064,285.788383,259.807621,bus
817.527981,232.094808,252.879418,van
826.188235,306.572993,285.788383,van
800.207473,225.166605,273.664028,opel
749.978,230.362757,249.415316,opel
793.27927,268.467875,303.108891,van
855.633099,301.376841,292.716586,van
926.647182,313.501196,245.951215,opel
973.412554,346.410162,318.697349,saab
739.585695,285.788383,289.252485,bus
862.561302,323.893501,278.86018,bus
732.657492,244.219164,270.199926,saab
789.815168,301.376841,303.108891,van
862.561302,221.702503,244.219164,van
788.083117,218.238402,287.520434,saab
789.815168,296.180688,263.271723,van
810.599778,303.108891,284.056332,van
781.154914,252.879418,261.539672,bus
789.815168,230.362757,266.735824,bus
872.953607,254.611469,285.788383,van
926.647182,334.285806,256.34352,bus
907.594623,327.357603,271.931977,saab
836.58054,214.7743,284.056332,saab
907.594623,275.396078,308.305044,saab
744.781847,219.970453,282.324282,van
853.901048,330.821704,349.874263,opel
1094.65611,221.702503,185.329436,van
762.102355,303.108891,292.716586,van
803.671575,258.07557,254.611469,van
770.762609,242.487113,284.056332,saab
827.920286,240.755062,254.611469,van
860.829251,183.597386,266.735824,saab
727.461339,284.056332,280.592231,bus
907.594623,278.86018,342.94606,opel
720.533136,290.984536,282.324282,bus
893.738217,296.180688,278.86018,opel
942.235639,323.893501,316.965298,opel
862.561302,275.396078,278.86018,van
843.508743,237.290961,256.34352,bus
872.953607,259.807621,268.467875,saab
819.260032,206.114046,282.324282,van
935.307436,320.429399,268.467875,saab
926.647182,256.34352,259.807621,bus
859.097201,204.381995,268.467875,opel
935.307436,303.108891,301.376841,saab
822.724134,242.487113,254.611469,van
935.307436,405.299889,284.056332,bus
829.652337,219.970453,278.86018,opel
775.958762,251.147367,284.056332,van
793.27927,232.094808,301.376841,saab
834.848489,301.376841,266.735824,opel
703.212628,244.219164,239.023011,opel
980.340757,313.501196,273.664028,opel
895.470268,211.310199,265.003774,saab
788.083117,251.147367,265.003774,saab
881.613861,358.534517,337.749907,opel
845.240794,323.893501,348.142212,opel
853.901048,200.917894,263.271723,saab
926.647182,308.305044,280.592231,saab
751.71005,308.305044,251.147367,bus
751.71005,214.7743,296.180688,van
914.522826,304.840942,273.664028,opel
824.456184,412.228092,318.697349,bus
862.561302,294.448637,275.396078,van
886.810013,353.338365,304.840942,bus
815.79593,306.572993,313.501196,van
864.293353,245.951215,230.362757,bus
867.757455,239.023011,289.252485,opel
831.384388,280.592231,254.611469,bus
843.508743,221.702503,254.611469,bus
782.886965,277.128129,273.664028,van
949.163843,393.175533,308.305044,saab
713.604933,199.185843,270.199926,opel
838.312591,263.271723,237.290961,bus
739.585695,214.7743,292.716586,saab
949.163843,346.410162,258.07557,saab
900.66642,252.879418,247.683265,bus
888.542064,261.539672,258.07557,bus
843.508743,310.037095,277.128129,opel
935.307436,370.658873,299.64479,opel
852.168997,232.094808,247.683265,opel
947.431792,311.769145,277.128129,opel
827.920286,254.611469,258.07557,van
817.527981,292.716586,258.07557,saab
888.542064,412.228092,282.324282,bus
855.633099,237.290961,266.735824,saab
739.585695,287.520434,282.324282,bus
994.197164,356.802466,290.984536,saab
777.690813,294.448637,275.396078,bus
741.317746,318.697349,294.448637,bus
763.834406,304.840942,284.056332,bus
834.848489,289.252485,296.180688,van
848.704896,199.185843,259.807621,saab
881.613861,329.089653,316.965298,opel
904.130522,360.266568,315.233247,opel
788.083117,247.683265,271.931977,van
801.939524,297.912739,277.128129,van
846.972845,294.448637,270.199926,opel
711.872882,285.788383,280.592231,bus
784.619016,306.572993,261.539672,bus
841.776692,368.926822,308.305044,opel
911.058725,193.98969,268.467875,opel
791.547219,200.917894,247.683265,van
829.652337,259.807621,261.539672,bus
829.652337,336.017857,306.572993,bus
777.690813,213.042249,237.290961,opel
834.848489,242.487113,263.271723,opel
800.207473,297.912739,258.07557,saab
933.575385,360.266568,285.788383,opel
767.298508,297.912739,254.611469,bus
788.083117,240.755062,278.86018,van
909.326674,346.410162,304.840942,opel
789.815168,284.056332,308.305044,van
892.006166,332.553755,256.34352,bus
758.638254,297.912739,284.056332,bus
755.174152,270.199926,278.86018,saab
836.58054,218.238402,278.86018,van
937.039487,355.070416,273.664028,saab
808.867727,183.597386,242.487113,van
963.020249,360.266568,306.572993,saab
769.030559,290.984536,258.07557,saab
691.088272,235.55891,259.807621,van
708.40878,214.7743,278.86018,saab
720.533136,297.912739,282.324282,bus
888.542064,323.893501,315.233247,saab
814.06388,278.86018,266.735824,van
758.638254,301.376841,325.625552,van
881.613861,226.898656,200.917894,bus
723.997238,308.305044,282.324282,bus
892.006166,348.142212,332.553755,opel
774.226711,332.553755,277.128129,bus
855.633099,204.381995,252.879418,opel
840.044642,313.501196,284.056332,opel
734.389542,285.788383,268.467875,bus
964.7523,349.874263,294.448637,saab
732.657492,289.252485,316.965298,van
756.906203,245.951215,297.912739,van
876.417709,204.381995,228.630707,bus
848.704896,233.826859,270.199926,saab
931.843334,412.228092,296.180688,opel
737.853644,209.578148,273.664028,saab
760.370305,228.630707,287.520434,van
964.7523,407.03194,287.520434,opel
782.886965,285.788383,311.769145,van
852.168997,296.180688,254.611469,bus
822.724134,287.520434,282.324282,van
928.379233,332.553755,320.429399,saab
829.652337,200.917894,252.879418,saab
836.58054,278.86018,290.984536,opel
916.254877,327.357603,258.07557,saab
917.986928,353.338365,299.64479,opel
706.676729,235.55891,268.467875,saab
