@relation vehicle-weka.filters.unsupervised.attribute.RandomProjection-N6-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute Class {opel,saab,bus,van}

@data
859.097201,301.376841,285.788383,-64.08588,10.392305,-1117.172771,van
810.599778,258.07557,284.056332,-50.229473,-17.320508,-1020.177926,van
950.895893,363.73067,270.199926,-129.903811,43.30127,-1214.167616,saab
852.168997,204.381995,268.467875,15.588457,-57.157677,-1065.211247,van
881.613861,235.55891,200.917894,-20.78461,95.262794,-1023.642027,bus
848.704896,446.869108,315.233247,-178.401233,90.066642,-1176.062498,bus
867.757455,287.520434,242.487113,-64.08588,-34.641016,-1084.263806,bus
808.867727,268.467875,259.807621,-25.980762,-43.30127,-1032.302281,van
793.27927,181.865335,261.539672,10.392305,-105.655099,-963.020249,van
917.986928,244.219164,270.199926,-22.51666,-29.444864,-1158.74199,saab
795.011321,204.381995,254.611469,0,-79.674337,-976.876655,van
791.547219,193.98969,277.128129,-43.30127,-107.38715,-942.235639,saab
834.848489,322.16145,265.003774,-93.530744,-13.856406,-1077.335602,bus
810.599778,261.539672,280.592231,-48.497423,-12.124356,-1025.374078,van
904.130522,348.142212,247.683265,-95.262794,-5.196152,-1172.598397,bus
914.522826,410.496041,273.664028,-136.832014,48.497423,-1215.899667,opel
692.820323,206.114046,285.788383,-10.392305,-46.765372,-866.025404,van
886.810013,251.147367,237.290961,-34.641016,-32.908965,-1118.904822,bus
878.149759,363.73067,308.305044,-91.798693,62.353829,-1191.650956,saab
933.575385,368.926822,278.86018,-95.262794,53.693575,-1240.148378,opel
789.815168,308.305044,252.879418,-62.353829,-13.856406,-1037.498434,bus
718.801085,221.702503,240.755062,-19.052559,-34.641016,-883.345912,van
845.240794,294.448637,235.55891,-65.817931,-39.837169,-1063.479196,bus
791.547219,232.094808,244.219164,-1.732051,-55.425626,-1001.125367,bus
947.431792,368.926822,277.128129,-93.530744,17.320508,-1250.540683,saab
810.599778,285.788383,263.271723,-38.105118,-22.51666,-1049.622789,van
711.872882,230.362757,245.951215,-29.444864,-32.908965,-878.149759,saab
900.66642,355.070416,322.16145,-116.047404,38.105118,-1208.971464,saab
886.810013,271.931977,249.415316,-41.569219,0,-1139.689431,bus
739.585695,261.539672,277.128129,-86.60254,-6.928203,-923.18308,saab
827.920286,282.324282,273.664028,-45.033321,-0,-1061.747145,van
836.58054,259.807621,277.128129,-50.229473,-50.229473,-1042.694586,saab
810.599778,197.453792,252.879418,-6.928203,-79.674337,-994.197164,opel
963.020249,336.017857,311.769145,-143.760217,12.124356,-1231.488124,opel
867.757455,211.310199,265.003774,-32.908965,-77.942286,-1072.13945,opel
890.274115,303.108891,265.003774,-84.87049,-1.732051,-1110.244568,van
720.533136,294.448637,277.128129,-46.765372,12.124356,-959.556147,bus
1075.603552,261.539672,187.061487,-17.320508,77.942286,-1267.861191,van
853.901048,360.266568,313.501196,-81.406388,48.497423,-1169.134295,saab
815.79593,311.769145,235.55891,-71.014083,1.732051,-1047.890739,bus
937.039487,334.285806,256.34352,-96.994845,20.78461,-1202.04326,opel
692.820323,207.846097,287.520434,-27.712813,-24.248711,-857.36515,van
788.083117,303.108891,304.840942,-39.837169,27.712813,-1051.35484,van
857.36515,226.898656,239.023011,-13.856406,-46.765372,-1063.479196,saab
985.53691,381.051178,273.664028,-128.17176,51.961524,-1259.200937,saab
788.083117,308.305044,292.716586,-41.569219,22.51666,-1047.890739,van
770.762609,256.34352,290.984536,-19.052559,-41.569219,-994.197164,van
727.461339,290.984536,287.520434,-81.406388,15.588457,-943.96769,bus
800.207473,306.572993,304.840942,-57.157677,29.444864,-1058.283043,van
855.633099,294.448637,275.396078,-55.425626,-50.229473,-1105.048415,saab
706.676729,242.487113,258.07557,-27.712813,-32.908965,-902.398471,saab
833.116438,213.042249,265.003774,-31.176915,-43.30127,-1035.766383,saab
950.895893,408.763991,275.396078,-129.903811,38.105118,-1266.12914,opel
846.972845,275.396078,251.147367,-65.817931,-58.889727,-1063.479196,bus
866.025404,387.979381,337.749907,-150.68842,86.60254,-1189.918905,bus
826.188235,192.25764,251.147367,20.78461,-77.942286,-1006.321519,van
904.130522,270.199926,254.611469,-41.569219,-22.51666,-1144.885584,saab
775.958762,285.788383,308.305044,-32.908965,22.51666,-1030.570231,van
947.431792,348.142212,266.735824,-67.549981,10.392305,-1247.076581,opel
744.781847,237.290961,280.592231,-31.176915,-29.444864,-931.843334,van
947.431792,304.840942,275.396078,-43.30127,-3.464102,-1229.756073,opel
772.49466,232.094808,280.592231,-65.817931,-22.51666,-942.235639,opel
749.978,226.898656,297.912739,-22.51666,-3.464102,-945.699741,van
784.619016,263.271723,247.683265,-24.248711,-1.732051,-1009.785621,bus
893.738217,304.840942,237.290961,-60.621778,-20.78461,-1150.081736,bus
807.135676,258.07557,261.539672,-60.621778,1.732051,-992.465113,opel
734.389542,284.056332,297.912739,-72.746134,17.320508,-957.824097,bus
940.503589,355.070416,308.305044,-81.406388,71.014083,-1262.665039,opel
829.652337,280.592231,266.735824,-46.765372,-31.176915,-1063.479196,van
928.379233,349.874263,247.683265,-102.190998,5.196152,-1202.04326,bus
827.920286,365.46272,315.233247,-77.942286,65.817931,-1150.081736,opel
971.680503,358.534517,339.481958,-96.994845,86.60254,-1307.69836,opel
890.274115,247.683265,270.199926,-55.425626,-38.105118,-1111.976618,opel
685.89212,244.219164,280.592231,-50.229473,-34.641016,-864.293353,opel
827.920286,263.271723,294.448637,-71.014083,-5.196152,-1037.498434,van
928.379233,348.142212,277.128129,-84.87049,17.320508,-1217.631718,opel
829.652337,249.415316,247.683265,-34.641016,-34.641016,-1049.622789,saab
743.049796,287.520434,239.023011,-65.817931,-13.856406,-949.163843,saab
930.111284,368.926822,266.735824,-116.047404,41.569219,-1217.631718,bus
711.872882,315.233247,287.520434,-79.674337,29.444864,-942.235639,bus
800.207473,316.965298,247.683265,-67.549981,-15.588457,-1042.694586,bus
904.130522,361.998619,277.128129,-114.315353,34.641016,-1196.847108,bus
767.298508,188.793538,259.807621,34.641016,-83.138439,-954.359995,van
777.690813,237.290961,304.840942,-69.282032,-15.588457,-973.412554,opel
872.953607,244.219164,226.898656,-27.712813,-45.033321,-1084.263806,bus
869.489505,434.744753,323.893501,-176.669182,96.994845,-1195.115057,bus
800.207473,265.003774,292.716586,-51.961524,-20.78461,-1021.909976,van
725.729288,214.7743,275.396078,-3.464102,-62.353829,-909.326674,van
917.986928,268.467875,230.362757,-55.425626,-41.569219,-1148.349685,bus
715.336984,218.238402,254.611469,-24.248711,-31.176915,-878.149759,opel
954.359995,377.587076,294.448637,-100.458947,48.497423,-1271.325293,saab
831.384388,252.879418,258.07557,-69.282032,-36.373067,-1023.642027,opel
909.326674,389.711432,285.788383,-150.68842,24.248711,-1182.990702,saab
831.384388,304.840942,303.108891,-58.889727,22.51666,-1094.65611,van
782.886965,296.180688,254.611469,-55.425626,-19.052559,-1016.713824,bus
943.96769,360.266568,303.108891,-152.420471,27.712813,-1217.631718,opel
829.652337,284.056332,268.467875,-95.262794,-1.732051,-1023.642027,saab
789.815168,271.931977,263.271723,-48.497423,-19.052559,-1014.981773,bus
957.824097,332.553755,301.376841,-150.68842,-3.464102,-1212.435565,opel
723.997238,285.788383,285.788383,-64.08588,17.320508,-952.627944,bus
943.96769,230.362757,143.760217,15.588457,65.817931,-1101.584314,bus
883.345912,244.219164,252.879418,-22.51666,-34.641016,-1094.65611,van
824.456184,263.271723,266.735824,-48.497423,-31.176915,-1018.445875,van
782.886965,228.630707,259.807621,-32.908965,-51.961524,-943.96769,van
878.149759,280.592231,282.324282,-74.478185,-1.732051,-1143.153533,bus
924.915131,353.338365,292.716586,-98.726896,58.889727,-1219.363769,saab
938.771538,256.34352,308.305044,-50.229473,-19.052559,-1203.775311,opel
791.547219,216.506351,268.467875,-12.124356,-38.105118,-999.393316,opel
753.442101,285.788383,280.592231,-67.549981,12.124356,-976.876655,bus
888.542064,285.788383,259.807621,-43.30127,3.464102,-1157.009939,bus
817.527981,232.094808,252.879418,3.464102,-43.30127,-1035.766383,van
826.188235,306.572993,285.788383,-72.746134,5.196152,-1075.603552,van
800.207473,225.166605,273.664028,-58.889727,1.732051,-976.876655,opel
749.978,230.362757,249.415316,-62.353829,-41.569219,-874.685658,opel
793.27927,268.467875,303.108891,-46.765372,20.78461,-1018.445875,van
855.633099,301.376841,292.716586,-72.746134,13.856406,-1094.65611,van
926.647182,313.501196,245.951215,-76.210236,5.196152,-1181.258651,opel
973.412554,346.410162,318.697349,-124.707658,60.621778,-1260.932988,saab
739.585695,285.788383,289.252485,-76.210236,15.588457,-954.359995,bus
862.561302,323.893501,278.86018,-76.210236,-1.732051,-1136.22533,bus
732.657492,244.219164,270.199926,-76.210236,-20.78461,-893.738217,saab
789.815168,301.376841,303.108891,-60.621778,34.641016,-1039.230485,van
862.561302,221.702503,244.219164,5.196152,-53.693575,-1065.211247,van
