@relation vehicle-weka.filters.unsupervised.attribute.RandomProjection-N9-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute Class {opel,saab,bus,van}

@data
859.097201,301.376841,285.788383,-64.08588,10.392305,-1117.172771,159.348674,-363.73067,-1337.143223,van
810.599778,258.07557,284.056332,-50.229473,-17.320508,-1020.177926,131.635861,-313.501196,-1169.134295,van
950.895893,363.73067,270.199926,-129.903811,43.30127,-1214.167616,154.152522,-413.960143,-1868.882821,saab
852.168997,204.381995,268.467875,15.588457,-57.157677,-1065.211247,142.028166,-252.879418,-1155.277889,van
881.613861,235.55891,200.917894,-20.78461,95.262794,-1023.642027,211.310199,-434.744753,-1347.535528,bus
848.704896,446.869108,315.233247,-178.401233,90.066642,-1176.062498,135.099963,-483.242175,-2362.517302,bus
867.757455,287.520434,242.487113,-64.08588,-34.641016,-1084.263806,145.492268,-310.037095,-1267.861191,bus
808.867727,268.467875,259.807621,-25.980762,-43.30127,-1032.302281,143.760217,-304.840942,-1085.995856,van
793.27927,181.865335,261.539672,10.392305,-105.655099,-963.020249,135.099963,-230.362757,-940.503589,van
917.986928,244.219164,270.199926,-22.51666,-29.444864,-1158.74199,145.492268,-306.572993,-1584.826489,saab
795.011321,204.381995,254.611469,0,-79.674337,-976.876655,136.832014,-252.879418,-1034.034332,van
791.547219,193.98969,277.128129,-43.30127,-107.38715,-942.235639,124.707658,-259.807621,-935.307436,saab
834.848489,322.16145,265.003774,-93.530744,-13.856406,-1077.335602,150.68842,-361.998619,-1259.200937,bus
810.599778,261.539672,280.592231,-48.497423,-12.124356,-1025.374078,133.367912,-318.697349,-1202.04326,van
904.130522,348.142212,247.683265,-95.262794,-5.196152,-1172.598397,159.348674,-368.926822,-1531.132914,bus
914.522826,410.496041,273.664028,-136.832014,48.497423,-1215.899667,152.420471,-445.137058,-1832.509754,opel
692.820323,206.114046,285.788383,-10.392305,-46.765372,-866.025404,119.511506,-251.147367,-852.168997,van
886.810013,251.147367,237.290961,-34.641016,-32.908965,-1118.904822,155.884573,-289.252485,-1548.453422,bus
878.149759,363.73067,308.305044,-91.798693,62.353829,-1191.650956,147.224319,-417.424245,-1900.059736,saab
933.575385,368.926822,278.86018,-95.262794,53.693575,-1240.148378,161.080725,-412.228092,-1903.523838,opel
789.815168,308.305044,252.879418,-62.353829,-13.856406,-1037.498434,143.760217,-334.285806,-1238.416327,bus
718.801085,221.702503,240.755062,-19.052559,-34.641016,-883.345912,131.635861,-240.755062,-919.718979,van
845.240794,294.448637,235.55891,-65.817931,-39.837169,-1063.479196,152.420471,-320.429399,-1231.488124,bus
791.547219,232.094808,244.219164,-1.732051,-55.425626,-1001.125367,136.832014,-259.807621,-1122.368923,bus
947.431792,368.926822,277.128129,-93.530744,17.320508,-1250.540683,154.152522,-417.424245,-1853.294364,saab
810.599778,285.788383,263.271723,-38.105118,-22.51666,-1049.622789,143.760217,-323.893501,-1184.722752,van
711.872882,230.362757,245.951215,-29.444864,-32.908965,-878.149759,129.903811,-256.34352,-942.235639,saab
900.66642,355.070416,322.16145,-116.047404,38.105118,-1208.971464,155.884573,-441.672956,-1945.093057,saab
886.810013,271.931977,249.415316,-41.569219,0,-1139.689431,148.956369,-304.840942,-1700.873893,bus
739.585695,261.539672,277.128129,-86.60254,-6.928203,-923.18308,128.17176,-320.429399,-1103.316364,saab
827.920286,282.324282,273.664028,-45.033321,-0,-1061.747145,143.760217,-336.017857,-1257.468886,van
836.58054,259.807621,277.128129,-50.229473,-50.229473,-1042.694586,131.635861,-306.572993,-1099.852263,saab
810.599778,197.453792,252.879418,-6.928203,-79.674337,-994.197164,133.367912,-240.755062,-1110.244568,opel
